comparable_boundary_group_id	n_species_observed	mapping_coverage	exact_near_proportion	raw_signed_distances	cross_species_difference	distance_range	dominant_class	domain_annotation_availability	mapping_confidence_distribution
CBG3	0.067	0.067		{'species_id': 'homo_sapiens', 'signed_distance': 27, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'takifugu_rubripes', 'signed_distance': 28, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True}	1	[27, 28]	outside_annotated_domains		"{""min"": 0.067, ""max"": 0.067}"
CBG15	0.733	0.733		{'species_id': 'pan_troglodytes', 'signed_distance': -8, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'pongo_abelii', 'signed_distance': -8, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'macaca_mulatta', 'signed_distance': -8, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'callithrix_jacchus', 'signed_distance': -8, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'rattus_norvegicus', 'signed_distance': -8, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'oryctolagus_cuniculus', 'signed_distance': -8, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'felis_catus', 'signed_distance': -8, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'bos_taurus', 'signed_distance': -8, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'sus_scrofa', 'signed_distance': -8, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'equus_caballus', 'signed_distance': -8, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'ovis_aries', 'signed_distance': -8, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'monodelphis_domestica', 'signed_distance': -9, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'ornithorhynchus_anatinus', 'signed_distance': -13, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'gallus_gallus', 'signed_distance': -8, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'taeniopygia_guttata', 'signed_distance': -8, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'anolis_carolinensis', 'signed_distance': -8, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'alligator_mississippiensis', 'signed_distance': -8, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'chrysemys_picta_bellii', 'signed_distance': -8, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'ambystoma_mexicanum', 'signed_distance': -2, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'danio_rerio', 'signed_distance': -14, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'oryzias_latipes', 'signed_distance': -10, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'oreochromis_niloticus', 'signed_distance': -10, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True}	12	[-14, -2]	outside_annotated_domains		"{""min"": 0.733, ""max"": 0.733}"
CBG16	0.733	0.733		{'species_id': 'pan_troglodytes', 'signed_distance': 16, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'pongo_abelii', 'signed_distance': 16, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'macaca_mulatta', 'signed_distance': 16, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'callithrix_jacchus', 'signed_distance': 16, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'rattus_norvegicus', 'signed_distance': 17, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'oryctolagus_cuniculus', 'signed_distance': 17, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'felis_catus', 'signed_distance': 17, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'bos_taurus', 'signed_distance': 17, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'sus_scrofa', 'signed_distance': 17, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'equus_caballus', 'signed_distance': 17, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'ovis_aries', 'signed_distance': 17, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'monodelphis_domestica', 'signed_distance': 3, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'ornithorhynchus_anatinus', 'signed_distance': 8, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'gallus_gallus', 'signed_distance': 17, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'taeniopygia_guttata', 'signed_distance': 17, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'anolis_carolinensis', 'signed_distance': 13, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'alligator_mississippiensis', 'signed_distance': 17, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'chrysemys_picta_bellii', 'signed_distance': 17, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'ambystoma_mexicanum', 'signed_distance': 1, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'danio_rerio', 'signed_distance': 13, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'oryzias_latipes', 'signed_distance': 15, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'oreochromis_niloticus', 'signed_distance': 15, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True}	16	[1, 17]	outside_annotated_domains		"{""min"": 0.733, ""max"": 0.733}"
CBG17	0.733	0.733		{'species_id': 'pan_troglodytes', 'signed_distance': -19, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'pongo_abelii', 'signed_distance': -19, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'macaca_mulatta', 'signed_distance': -19, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'callithrix_jacchus', 'signed_distance': -19, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'rattus_norvegicus', 'signed_distance': -19, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'oryctolagus_cuniculus', 'signed_distance': -19, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'felis_catus', 'signed_distance': -19, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'bos_taurus', 'signed_distance': -19, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'sus_scrofa', 'signed_distance': -19, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'equus_caballus', 'signed_distance': -19, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'ovis_aries', 'signed_distance': -19, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'monodelphis_domestica', 'signed_distance': -19, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'ornithorhynchus_anatinus', 'signed_distance': -19, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'gallus_gallus', 'signed_distance': -19, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'taeniopygia_guttata', 'signed_distance': -19, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'anolis_carolinensis', 'signed_distance': -19, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'alligator_mississippiensis', 'signed_distance': -19, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'chrysemys_picta_bellii', 'signed_distance': -19, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'ambystoma_mexicanum', 'signed_distance': -19, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'danio_rerio', 'signed_distance': -18, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'oryzias_latipes', 'signed_distance': -19, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'oreochromis_niloticus', 'signed_distance': -18, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True}	1	[-19, -18]	outside_annotated_domains		"{""min"": 0.733, ""max"": 0.733}"
CBG18	0.733	0.733		{'species_id': 'pan_troglodytes', 'signed_distance': 37, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'pongo_abelii', 'signed_distance': 37, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'macaca_mulatta', 'signed_distance': 37, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'callithrix_jacchus', 'signed_distance': 37, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'rattus_norvegicus', 'signed_distance': 37, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'oryctolagus_cuniculus', 'signed_distance': 37, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'felis_catus', 'signed_distance': 37, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'bos_taurus', 'signed_distance': 37, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'sus_scrofa', 'signed_distance': 37, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'equus_caballus', 'signed_distance': 37, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'ovis_aries', 'signed_distance': 37, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'monodelphis_domestica', 'signed_distance': 37, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'ornithorhynchus_anatinus', 'signed_distance': 37, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'gallus_gallus', 'signed_distance': 37, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'taeniopygia_guttata', 'signed_distance': 37, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'anolis_carolinensis', 'signed_distance': 37, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'alligator_mississippiensis', 'signed_distance': 37, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'chrysemys_picta_bellii', 'signed_distance': 37, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'ambystoma_mexicanum', 'signed_distance': 37, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'danio_rerio', 'signed_distance': 38, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'oryzias_latipes', 'signed_distance': 37, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'oreochromis_niloticus', 'signed_distance': 38, 'boundary_class': 'inside_domain', 'domain_annotation_available': True}	1	[37, 38]	inside_domain		"{""min"": 0.733, ""max"": 0.733}"
CBG19	0.733	0.733		{'species_id': 'pan_troglodytes', 'signed_distance': 2, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'pongo_abelii', 'signed_distance': 2, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'macaca_mulatta', 'signed_distance': 2, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'callithrix_jacchus', 'signed_distance': 2, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'rattus_norvegicus', 'signed_distance': 2, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'oryctolagus_cuniculus', 'signed_distance': 2, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'felis_catus', 'signed_distance': 2, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'bos_taurus', 'signed_distance': 2, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'sus_scrofa', 'signed_distance': 2, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'equus_caballus', 'signed_distance': 2, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'ovis_aries', 'signed_distance': 2, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'monodelphis_domestica', 'signed_distance': 2, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'ornithorhynchus_anatinus', 'signed_distance': 2, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'gallus_gallus', 'signed_distance': 2, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'taeniopygia_guttata', 'signed_distance': 2, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'anolis_carolinensis', 'signed_distance': 2, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'alligator_mississippiensis', 'signed_distance': 2, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'chrysemys_picta_bellii', 'signed_distance': 2, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'ambystoma_mexicanum', 'signed_distance': 2, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'danio_rerio', 'signed_distance': 2, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'oryzias_latipes', 'signed_distance': 2, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'oreochromis_niloticus', 'signed_distance': 2, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True}		[2, 2]	near_domain_edge		"{""min"": 0.733, ""max"": 0.733}"
CBG20	0.733	0.733		{'species_id': 'pan_troglodytes', 'signed_distance': -33, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'pongo_abelii', 'signed_distance': -33, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'macaca_mulatta', 'signed_distance': -33, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'callithrix_jacchus', 'signed_distance': -33, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'rattus_norvegicus', 'signed_distance': -33, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'oryctolagus_cuniculus', 'signed_distance': -33, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'felis_catus', 'signed_distance': -33, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'bos_taurus', 'signed_distance': -33, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'sus_scrofa', 'signed_distance': -33, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'equus_caballus', 'signed_distance': -33, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'ovis_aries', 'signed_distance': -33, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'monodelphis_domestica', 'signed_distance': -33, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'ornithorhynchus_anatinus', 'signed_distance': -33, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'gallus_gallus', 'signed_distance': -33, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'taeniopygia_guttata', 'signed_distance': -33, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'anolis_carolinensis', 'signed_distance': -46, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'alligator_mississippiensis', 'signed_distance': -46, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'chrysemys_picta_bellii', 'signed_distance': -33, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'ambystoma_mexicanum', 'signed_distance': -46, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'danio_rerio', 'signed_distance': -46, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'oryzias_latipes', 'signed_distance': -46, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'oreochromis_niloticus', 'signed_distance': -46, 'boundary_class': 'inside_domain', 'domain_annotation_available': True}	13	[-46, -33]	inside_domain		"{""min"": 0.733, ""max"": 0.733}"
CBG21	0.533	0.533		{'species_id': 'pan_troglodytes', 'signed_distance': 17, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'macaca_mulatta', 'signed_distance': 17, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'callithrix_jacchus', 'signed_distance': 17, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'rattus_norvegicus', 'signed_distance': 17, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'oryctolagus_cuniculus', 'signed_distance': 17, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'felis_catus', 'signed_distance': 17, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'bos_taurus', 'signed_distance': 17, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'sus_scrofa', 'signed_distance': 17, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'equus_caballus', 'signed_distance': 17, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'ovis_aries', 'signed_distance': 17, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'monodelphis_domestica', 'signed_distance': 17, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'ornithorhynchus_anatinus', 'signed_distance': 17, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'gallus_gallus', 'signed_distance': 17, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'taeniopygia_guttata', 'signed_distance': 17, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'alligator_mississippiensis', 'signed_distance': 4, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'ambystoma_mexicanum', 'signed_distance': 3, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True}	14	[3, 17]	outside_annotated_domains		"{""min"": 0.533, ""max"": 0.533}"
CBG22	0.233	0.233		{'species_id': 'pan_troglodytes', 'signed_distance': -6, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'callithrix_jacchus', 'signed_distance': -6, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'rattus_norvegicus', 'signed_distance': -6, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'bos_taurus', 'signed_distance': -6, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'sus_scrofa', 'signed_distance': -6, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'ovis_aries', 'signed_distance': -6, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'taeniopygia_guttata', 'signed_distance': -6, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True}		[-6, -6]	outside_annotated_domains		"{""min"": 0.233, ""max"": 0.233}"
CBG23	0.5	0.5		{'species_id': 'pan_troglodytes', 'signed_distance': 44, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'macaca_mulatta', 'signed_distance': 44, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'callithrix_jacchus', 'signed_distance': 44, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'rattus_norvegicus', 'signed_distance': 44, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'oryctolagus_cuniculus', 'signed_distance': 44, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'felis_catus', 'signed_distance': 44, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'bos_taurus', 'signed_distance': 44, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'sus_scrofa', 'signed_distance': 44, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'equus_caballus', 'signed_distance': 44, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'ovis_aries', 'signed_distance': 44, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'monodelphis_domestica', 'signed_distance': 44, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'ornithorhynchus_anatinus', 'signed_distance': 44, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'gallus_gallus', 'signed_distance': 44, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'taeniopygia_guttata', 'signed_distance': 44, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'alligator_mississippiensis', 'signed_distance': 44, 'boundary_class': 'inside_domain', 'domain_annotation_available': True}		[44, 44]	inside_domain		"{""min"": 0.5, ""max"": 0.5}"
