distance_threshold_aa	consensus_threshold	n_pass	n_proteins	pass_fraction
0.0	0.5	0	58	0.0
0.0	0.51	0	58	0.0
0.0	0.52	0	58	0.0
0.0	0.53	0	58	0.0
0.0	0.54	0	58	0.0
0.0	0.55	0	58	0.0
0.0	0.56	0	58	0.0
0.0	0.57	0	58	0.0
0.0	0.58	0	58	0.0
0.0	0.59	0	58	0.0
0.0	0.6	0	58	0.0
0.0	0.61	0	58	0.0
0.0	0.62	0	58	0.0
0.0	0.63	0	58	0.0
0.0	0.64	0	58	0.0
0.0	0.65	0	58	0.0
0.0	0.66	0	58	0.0
0.0	0.67	0	58	0.0
0.0	0.68	0	58	0.0
0.0	0.69	0	58	0.0
0.0	0.7	0	58	0.0
0.0	0.71	0	58	0.0
0.0	0.72	0	58	0.0
0.0	0.73	0	58	0.0
0.0	0.74	0	58	0.0
0.0	0.75	0	58	0.0
0.0	0.76	0	58	0.0
0.0	0.77	0	58	0.0
0.0	0.78	0	58	0.0
0.0	0.79	0	58	0.0
0.0	0.8	0	58	0.0
0.0	0.81	0	58	0.0
0.0	0.82	0	58	0.0
0.0	0.83	0	58	0.0
0.0	0.84	0	58	0.0
0.0	0.85	0	58	0.0
0.0	0.86	0	58	0.0
0.0	0.87	0	58	0.0
0.0	0.88	0	58	0.0
0.0	0.89	0	58	0.0
0.0	0.9	0	58	0.0
0.0	0.91	0	58	0.0
0.0	0.92	0	58	0.0
0.0	0.93	0	58	0.0
0.0	0.94	0	58	0.0
0.0	0.95	0	58	0.0
0.0	0.96	0	58	0.0
0.0	0.97	0	58	0.0
0.0	0.98	0	58	0.0
0.0	0.99	0	58	0.0
0.0	1.0	0	58	0.0
1.0	0.5	2	58	0.034482758620689655
1.0	0.51	2	58	0.034482758620689655
1.0	0.52	2	58	0.034482758620689655
1.0	0.53	2	58	0.034482758620689655
1.0	0.54	2	58	0.034482758620689655
1.0	0.55	2	58	0.034482758620689655
1.0	0.56	2	58	0.034482758620689655
1.0	0.57	2	58	0.034482758620689655
1.0	0.58	2	58	0.034482758620689655
1.0	0.59	2	58	0.034482758620689655
1.0	0.6	2	58	0.034482758620689655
1.0	0.61	0	58	0.0
1.0	0.62	0	58	0.0
1.0	0.63	0	58	0.0
1.0	0.64	0	58	0.0
1.0	0.65	0	58	0.0
1.0	0.66	0	58	0.0
1.0	0.67	0	58	0.0
1.0	0.68	0	58	0.0
1.0	0.69	0	58	0.0
1.0	0.7	0	58	0.0
1.0	0.71	0	58	0.0
1.0	0.72	0	58	0.0
1.0	0.73	0	58	0.0
