species	isoform	display_species_name	taxon_group	final_claim_status_after_rescue	visual_review_flag	label_reconciliation	label_reconciliation_raw	rescue_status	rescue_status_raw	orthology_status	orthology_status_raw	coordinate_validation_status	coordinate_validation_status_raw	MSA_full_length_status	MSA_full_length_status_raw	boundary_robustness_class	boundary_robustness_class_raw	reference_agreement	reference_agreement_raw	synteny_validation_class	synteny_validation_class_raw	pre_interpro_readiness_class	pre_interpro_readiness_class_raw
homo_sapiens	IIIb	Homo sapiens	Primates	primary_claim_supported_with_minor_flags	false	review	swapped_relative_to_upstream	rescued_ok	current_candidate_confirmed_after_exhaustive_screen	pass	fgfr2_ortholog_high_confidence	review	moderate_native_offset_review	pass	full_length_msa_pass	robust	robust_boundary	pass	1.0	strong	synteny_strong	minor	ready_for_interpro_with_minor_flags
homo_sapiens	IIIc	Homo sapiens	Primates	primary_claim_supported_with_minor_flags	false	review	swapped_relative_to_upstream	rescued_ok	current_candidate_confirmed_after_exhaustive_screen	pass	fgfr2_ortholog_high_confidence	review	moderate_native_offset_review	pass	full_length_msa_pass	robust	robust_boundary	pass	1.0	strong	synteny_strong	minor	ready_for_interpro_with_minor_flags
pan_troglodytes	IIIb	Pan troglodytes	Primates	primary_claim_supported_with_minor_flags	false	review	swapped_relative_to_upstream	rescued_ok	current_candidate_confirmed_after_exhaustive_screen	pass	fgfr2_ortholog_high_confidence	pass	same_native_coordinate	pass	full_length_msa_pass	robust	robust_boundary	pass	1.0	strong	synteny_strong	minor	ready_for_interpro_with_minor_flags
pan_troglodytes	IIIc	Pan troglodytes	Primates	primary_claim_supported_with_minor_flags	false	review	swapped_relative_to_upstream	rescued_ok	current_candidate_confirmed_after_exhaustive_screen	pass	fgfr2_ortholog_high_confidence	pass	same_native_coordinate	pass	full_length_msa_pass	robust	robust_boundary	pass	1.0	strong	synteny_strong	minor	ready_for_interpro_with_minor_flags
gorilla_gorilla_gorilla	IIIb	Gorilla gorilla gorilla	Primates	primary_claim_supported_with_minor_flags	false	review	swapped_relative_to_upstream	rescued_ok	current_candidate_confirmed_after_exhaustive_screen	pass	fgfr2_ortholog_high_confidence	fail	major_native_offset_review	pass	full_length_msa_pass	minor	supported_boundary_with_minor_flags	pass	1.0	minor	synteny_supported_with_minor_rearrangement	minor	ready_for_interpro_with_minor_flags
gorilla_gorilla_gorilla	IIIc	Gorilla gorilla gorilla	Primates	primary_claim_supported_with_minor_flags	false	minor	unresolved_no_sequence	rescued_ok	rescued_with_external_validated_candidate_pair	pass	fgfr2_ortholog_high_confidence	fail	major_native_offset_review	pass	full_length_msa_pass	minor	supported_boundary_with_minor_flags	pass	1.0	minor	synteny_supported_with_minor_rearrangement	minor	ready_for_interpro_with_minor_flags
pongo_abelii	IIIb	Pongo abelii	Primates	supplement_review	true	minor	unresolved_no_sequence	pass	sequence_support_only_keep_supplement	pass	fgfr2_ortholog_high_confidence	pass	same_native_coordinate	pass	full_length_msa_pass	minor	supported_boundary_with_minor_flags	review	0.6957	minor	synteny_supported_with_minor_rearrangement	supplement	supplement_review_only
pongo_abelii	IIIc	Pongo abelii	Primates	primary_claim_supported_with_minor_flags	false	minor	ambiguous_label_review	rescued_ok	current_candidate_confirmed_after_exhaustive_screen	pass	fgfr2_ortholog_supported_with_warnings	pass	same_native_coordinate	pass	full_length_msa_pass	minor	supported_boundary_with_minor_flags	pass	1.0	minor	synteny_supported_with_minor_rearrangement	minor	ready_for_interpro_with_minor_flags
macaca_mulatta	IIIb	Macaca mulatta	Primates	primary_claim_supported_with_minor_flags	false	review	swapped_relative_to_upstream	rescued_ok	current_candidate_confirmed_after_exhaustive_screen	pass	fgfr2_ortholog_high_confidence	pass	same_native_coordinate	pass	full_length_msa_pass	robust	robust_boundary	pass	1.0	strong	synteny_strong	minor	ready_for_interpro_with_minor_flags
macaca_mulatta	IIIc	Macaca mulatta	Primates	primary_claim_supported_with_minor_flags	false	review	swapped_relative_to_upstream	rescued_ok	current_candidate_confirmed_after_exhaustive_screen	pass	fgfr2_ortholog_high_confidence	pass	same_native_coordinate	pass	full_length_msa_pass	robust	robust_boundary	pass	1.0	strong	synteny_strong	minor	ready_for_interpro_with_minor_flags
callithrix_jacchus	IIIb	Callithrix jacchus	Primates	primary_claim_supported_with_minor_flags	false	review	swapped_relative_to_upstream	rescued_ok	current_candidate_confirmed_after_exhaustive_screen	pass	fgfr2_ortholog_high_confidence	pass	same_native_coordinate	pass	full_length_msa_pass	robust	robust_boundary	pass	1.0	minor	synteny_partial_blast_supported	minor	ready_for_interpro_with_minor_flags
callithrix_jacchus	IIIc	Callithrix jacchus	Primates	primary_claim_supported_with_minor_flags	false	review	swapped_relative_to_upstream	rescued_ok	current_candidate_confirmed_after_exhaustive_screen	pass	fgfr2_ortholog_high_confidence	pass	same_native_coordinate	pass	full_length_msa_pass	robust	robust_boundary	pass	1.0	minor	synteny_partial_blast_supported	minor	ready_for_interpro_with_minor_flags
mus_musculus	IIIb	Mus musculus	Other mammals	primary_claim_supported_with_minor_flags	false	review	swapped_relative_to_upstream	rescued_ok	current_candidate_confirmed_after_exhaustive_screen	pass	fgfr2_ortholog_high_confidence	review	moderate_native_offset_review	pass	full_length_msa_pass	robust	robust_boundary	pass	0.9783	strong	synteny_strong	minor	ready_for_interpro_with_minor_flags
mus_musculus	IIIc	Mus musculus	Other mammals	primary_claim_supported_with_minor_flags	false	review	swapped_relative_to_upstream	rescued_ok	current_candidate_confirmed_after_exhaustive_screen	pass	fgfr2_ortholog_high_confidence	review	moderate_native_offset_review	pass	full_length_msa_pass	robust	robust_boundary	pass	1.0	strong	synteny_strong	minor	ready_for_interpro_with_minor_flags
rattus_norvegicus	IIIb	Rattus norvegicus	Other mammals	primary_claim_supported_with_minor_flags	false	review	swapped_relative_to_upstream	rescued_ok	current_candidate_confirmed_after_exhaustive_screen	pass	fgfr2_ortholog_high_confidence	pass	same_native_coordinate	pass	full_length_msa_pass	robust	robust_boundary	pass	0.9783	minor	synteny_supported_with_minor_rearrangement	minor	ready_for_interpro_with_minor_flags
rattus_norvegicus	IIIc	Rattus norvegicus	Other mammals	primary_claim_supported_with_minor_flags	false	review	swapped_relative_to_upstream	rescued_ok	current_candidate_confirmed_after_exhaustive_screen	pass	fgfr2_ortholog_high_confidence	pass	same_native_coordinate	pass	full_length_msa_pass	robust	robust_boundary	pass	1.0	minor	synteny_supported_with_minor_rearrangement	minor	ready_for_interpro_with_minor_flags
oryctolagus_cuniculus	IIIb	Oryctolagus cuniculus	Other mammals	primary_claim_supported_with_minor_flags	false	review	swapped_relative_to_upstream	rescued_ok	current_candidate_confirmed_after_exhaustive_screen	pass	fgfr2_ortholog_high_confidence	pass	same_native_coordinate	pass	full_length_msa_pass	robust	robust_boundary	pass	1.0	strong	synteny_strong	minor	ready_for_interpro_with_minor_flags
oryctolagus_cuniculus	IIIc	Oryctolagus cuniculus	Other mammals	primary_claim_supported_with_minor_flags	false	review	swapped_relative_to_upstream	rescued_ok	current_candidate_confirmed_after_exhaustive_screen	pass	fgfr2_ortholog_high_confidence	pass	same_native_coordinate	pass	full_length_msa_pass	robust	robust_boundary	pass	1.0	strong	synteny_strong	minor	ready_for_interpro_with_minor_flags
canis_lupus_familiaris	IIIb	Canis lupus familiaris	Other mammals	primary_claim_supported_with_minor_flags	false	minor	unresolved_no_sequence	rescued_ok	rescued_with_external_validated_candidate	pass	fgfr2_ortholog_high_confidence	pass	same_native_coordinate	pass	full_length_msa_pass	minor	supported_boundary_with_minor_flags	pass	0.9783	strong	synteny_strong	minor	ready_for_interpro_with_minor_flags
canis_lupus_familiaris	IIIc	Canis lupus familiaris	Other mammals	supplement_review	true	minor	unresolved_no_sequence	pass	sequence_support_only_keep_supplement	pass	fgfr2_ortholog_supported_with_warnings	pass	same_native_coordinate	pass	full_length_msa_pass	minor	supported_boundary_with_minor_flags	review	0.3958	strong	synteny_strong	supplement	supplement_review_only
felis_catus	IIIb	Felis catus	Other mammals	primary_claim_supported_with_minor_flags	false	review	swapped_relative_to_upstream	rescued_ok	current_candidate_confirmed_after_exhaustive_screen	pass	fgfr2_ortholog_high_confidence	pass	same_native_coordinate	pass	full_length_msa_pass	robust	robust_boundary	pass	1.0	strong	synteny_strong	minor	ready_for_interpro_with_minor_flags
felis_catus	IIIc	Felis catus	Other mammals	primary_claim_supported_with_minor_flags	false	review	swapped_relative_to_upstream	rescued_ok	current_candidate_confirmed_after_exhaustive_screen	pass	fgfr2_ortholog_high_confidence	pass	same_native_coordinate	pass	full_length_msa_pass	robust	robust_boundary	pass	1.0	strong	synteny_strong	minor	ready_for_interpro_with_minor_flags
equus_caballus	IIIb	Equus caballus	Other mammals	primary_claim_supported_with_minor_flags	false	review	swapped_relative_to_upstream	rescued_ok	current_candidate_confirmed_after_exhaustive_screen	pass	fgfr2_ortholog_high_confidence	pass	same_native_coordinate	pass	full_length_msa_pass	robust	robust_boundary	pass	1.0	strong	synteny_strong	minor	ready_for_interpro_with_minor_flags
equus_caballus	IIIc	Equus caballus	Other mammals	primary_claim_supported_with_minor_flags	false	review	swapped_relative_to_upstream	rescued_ok	current_candidate_confirmed_after_exhaustive_screen	pass	fgfr2_ortholog_high_confidence	pass	same_native_coordinate	pass	full_length_msa_pass	robust	robust_boundary	pass	1.0	strong	synteny_strong	minor	ready_for_interpro_with_minor_flags
sus_scrofa	IIIb	Sus scrofa	Other mammals	primary_claim_supported_with_minor_flags	false	review	swapped_relative_to_upstream	rescued_ok	current_candidate_confirmed_after_exhaustive_screen	pass	fgfr2_ortholog_high_confidence	pass	same_native_coordinate	pass	full_length_msa_pass	robust	robust_boundary	pass	1.0	strong	synteny_strong	minor	ready_for_interpro_with_minor_flags
sus_scrofa	IIIc	Sus scrofa	Other mammals	primary_claim_supported_with_minor_flags	false	review	swapped_relative_to_upstream	rescued_ok	current_candidate_confirmed_after_exhaustive_screen	pass	fgfr2_ortholog_high_confidence	pass	same_native_coordinate	pass	full_length_msa_pass	robust	robust_boundary	pass	1.0	strong	synteny_strong	minor	ready_for_interpro_with_minor_flags
bos_taurus	IIIb	Bos taurus	Other mammals	primary_claim_supported_with_minor_flags	false	review	swapped_relative_to_upstream	rescued_ok	current_candidate_confirmed_after_exhaustive_screen	pass	fgfr2_ortholog_high_confidence	pass	same_native_coordinate	pass	full_length_msa_pass	robust	robust_boundary	pass	1.0	strong	synteny_strong	minor	ready_for_interpro_with_minor_flags
bos_taurus	IIIc	Bos taurus	Other mammals	primary_claim_supported_with_minor_flags	false	review	swapped_relative_to_upstream	rescued_ok	current_candidate_confirmed_after_exhaustive_screen	pass	fgfr2_ortholog_high_confidence	pass	same_native_coordinate	pass	full_length_msa_pass	robust	robust_boundary	pass	1.0	strong	synteny_strong	minor	ready_for_interpro_with_minor_flags
ovis_aries	IIIb	Ovis aries	Other mammals	primary_claim_supported_with_minor_flags	false	review	swapped_relative_to_upstream	rescued_ok	current_candidate_confirmed_after_exhaustive_screen	pass	fgfr2_ortholog_high_confidence	pass	same_native_coordinate	pass	full_length_msa_pass	robust	robust_boundary	pass	1.0	strong	synteny_strong	minor	ready_for_interpro_with_minor_flags
