exon_label	exon_number	protein_start_aa	protein_end_aa	length_aa	genomic_start	genomic_end	transcript_id
E1	1	1	59	59			XM_006266126.4
E2	2	59	148	90			XM_006266126.4
E3	3	148	173	26			XM_006266126.4
E4	4	173	229	57			XM_006266126.4
E5	5	230	271	42			XM_006266126.4
E6	6	271	334	64			XM_006266126.4
E7	7	335	384	50			XM_006266126.4
E8	8	384	451	68			XM_006266126.4
E9	9	452	502	51			XM_006266126.4
E10	10	502	543	42			XM_006266126.4
E11	11	543	580	38			XM_006266126.4
E12	12	580	643	64			XM_006266126.4
E13	13	644	684	41			XM_006266126.4
E14	14	685	708	24			XM_006266126.4
E15	15	708	754	47			XM_006266126.4
E16	16	754	789	36			XM_006266126.4
E17	17	790	815	26			XM_006266126.4
E18	18	815	868	54			XM_006266126.4
