exon_label	exon_number	protein_start_aa	protein_end_aa	length_aa	genomic_start	genomic_end	transcript_id
E1	1	1	55	55			ENST00001142305
E2	2	56	91	36			ENST00001142305
E3	3	91	137	47			ENST00001142305
E4	4	137	160	24			ENST00001142305
E5	5	161	201	41			ENST00001142305
E6	6	202	265	64			ENST00001142305
E7	7	265	302	38			ENST00001142305
E8	8	302	343	42			ENST00001142305
E9	9	343	393	51			ENST00001142305
E10	10	394	461	68			ENST00001142305
E11	11	461	509	49			ENST00001142305
E12	12	510	573	64			ENST00001142305
E13	13	573	614	42			ENST00001142305
E14	14	615	671	57			ENST00001142305
E15	15	671	697	27			ENST00001142305
E16	16	697	786	90			ENST00001142305
E17	17	786	822	37			ENST00001142305
