species_a	protein_a	species_b	protein_b	n_compared_columns	n_identical	percent_identity
alligator_mississippiensis	XP_006266188.1	alligator_mississippiensis	XP_006266188.1	868	868	100.0
alligator_mississippiensis	XP_006266188.1	ambystoma_mexicanum	XP_069468056.1	837	695	83.03
alligator_mississippiensis	XP_006266188.1	anolis_carolinensis	XP_062832081.1	836	740	88.52
alligator_mississippiensis	XP_006266188.1	bos_taurus	XP_059737724.1	838	739	88.19
alligator_mississippiensis	XP_006266188.1	callithrix_jacchus	XP_078202765.1	838	744	88.78
alligator_mississippiensis	XP_006266188.1	canis_lupus_familiaris	NP_001003336.1	703	625	88.9
alligator_mississippiensis	XP_006266188.1	chrysemys_picta_bellii	XP_065408413.1	839	773	92.13
alligator_mississippiensis	XP_006266188.1	danio_rerio	XP_068081038.1	834	629	75.42
alligator_mississippiensis	XP_006266188.1	equus_caballus	XP_014588430.1	835	745	89.22
alligator_mississippiensis	XP_006266188.1	felis_catus	XP_044896695.1	838	743	88.66
alligator_mississippiensis	XP_006266188.1	gallus_gallus	NP_990650.2	841	789	93.82
alligator_mississippiensis	XP_006266188.1	gasterosteus_aculeatus	ENSGACP00000061458	804	598	74.38
alligator_mississippiensis	XP_006266188.1	gorilla_gorilla_gorilla	XP_004050253.1	722	662	91.69
alligator_mississippiensis	XP_006266188.1	homo_sapiens	ENSP00000351276	819	734	89.62
alligator_mississippiensis	XP_006266188.1	macaca_mulatta	XP_077803775.1	836	745	89.11
alligator_mississippiensis	XP_006266188.1	meleagris_gallopavo	ENSMGAP00000031571	626	522	83.39
alligator_mississippiensis	XP_006266188.1	monodelphis_domestica	XP_056659242.1	838	755	90.1
alligator_mississippiensis	XP_006266188.1	mus_musculus	ENSMUSP00000112430	838	740	88.31
alligator_mississippiensis	XP_006266188.1	oreochromis_niloticus	ENSONIP00000063320	803	624	77.71
alligator_mississippiensis	XP_006266188.1	ornithorhynchus_anatinus	XP_028936644.1	838	747	89.14
alligator_mississippiensis	XP_006266188.1	oryctolagus_cuniculus	XP_069913096.1	838	740	88.31
alligator_mississippiensis	XP_006266188.1	oryzias_latipes	XP_078787744.1	827	631	76.3
alligator_mississippiensis	XP_006266188.1	ovis_aries	XP_060260490.1	838	739	88.19
alligator_mississippiensis	XP_006266188.1	pan_troglodytes	XP_054516514.1	838	747	89.14
alligator_mississippiensis	XP_006266188.1	pongo_abelii	XP_024108704.1	836	745	89.11
alligator_mississippiensis	XP_006266188.1	rattus_norvegicus	XP_063137149.1	838	743	88.66
alligator_mississippiensis	XP_006266188.1	sus_scrofa	XP_084849197.1	838	738	88.07
alligator_mississippiensis	XP_006266188.1	taeniopygia_guttata	XP_072787409.1	841	783	93.1
alligator_mississippiensis	XP_006266188.1	takifugu_rubripes	ENSTRUP00000045145	830	636	76.63
alligator_mississippiensis	XP_006266188.1	xenopus_tropicalis	ENSXETP00000069725	831	635	76.41
ambystoma_mexicanum	XP_069468056.1	ambystoma_mexicanum	XP_069468056.1	838	838	100.0
ambystoma_mexicanum	XP_069468056.1	anolis_carolinensis	XP_062832081.1	834	702	84.17
ambystoma_mexicanum	XP_069468056.1	bos_taurus	XP_059737724.1	838	710	84.73
ambystoma_mexicanum	XP_069468056.1	callithrix_jacchus	XP_078202765.1	838	712	84.96
ambystoma_mexicanum	XP_069468056.1	canis_lupus_familiaris	NP_001003336.1	703	600	85.35
ambystoma_mexicanum	XP_069468056.1	chrysemys_picta_bellii	XP_065408413.1	836	719	86.0
ambystoma_mexicanum	XP_069468056.1	danio_rerio	XP_068081038.1	834	623	74.7
ambystoma_mexicanum	XP_069468056.1	equus_caballus	XP_014588430.1	834	711	85.25
ambystoma_mexicanum	XP_069468056.1	felis_catus	XP_044896695.1	838	715	85.32
ambystoma_mexicanum	XP_069468056.1	gallus_gallus	NP_990650.2	838	717	85.56
ambystoma_mexicanum	XP_069468056.1	gasterosteus_aculeatus	ENSGACP00000061458	803	580	72.23
ambystoma_mexicanum	XP_069468056.1	gorilla_gorilla_gorilla	XP_004050253.1	722	631	87.4
ambystoma_mexicanum	XP_069468056.1	homo_sapiens	ENSP00000351276	819	702	85.71
ambystoma_mexicanum	XP_069468056.1	macaca_mulatta	XP_077803775.1	836	712	85.17
ambystoma_mexicanum	XP_069468056.1	meleagris_gallopavo	ENSMGAP00000031571	626	469	74.92
ambystoma_mexicanum	XP_069468056.1	monodelphis_domestica	XP_056659242.1	838	718	85.68
ambystoma_mexicanum	XP_069468056.1	mus_musculus	ENSMUSP00000112430	838	708	84.49
ambystoma_mexicanum	XP_069468056.1	oreochromis_niloticus	ENSONIP00000063320	803	612	76.21
ambystoma_mexicanum	XP_069468056.1	ornithorhynchus_anatinus	XP_028936644.1	838	724	86.4
ambystoma_mexicanum	XP_069468056.1	oryctolagus_cuniculus	XP_069913096.1	838	711	84.84
ambystoma_mexicanum	XP_069468056.1	oryzias_latipes	XP_078787744.1	827	631	76.3
ambystoma_mexicanum	XP_069468056.1	ovis_aries	XP_060260490.1	838	710	84.73
ambystoma_mexicanum	XP_069468056.1	pan_troglodytes	XP_054516514.1	838	714	85.2
ambystoma_mexicanum	XP_069468056.1	pongo_abelii	XP_024108704.1	836	712	85.17
ambystoma_mexicanum	XP_069468056.1	rattus_norvegicus	XP_063137149.1	838	711	84.84
ambystoma_mexicanum	XP_069468056.1	sus_scrofa	XP_084849197.1	838	708	84.49
ambystoma_mexicanum	XP_069468056.1	taeniopygia_guttata	XP_072787409.1	838	714	85.2
ambystoma_mexicanum	XP_069468056.1	takifugu_rubripes	ENSTRUP00000045145	830	627	75.54
ambystoma_mexicanum	XP_069468056.1	xenopus_tropicalis	ENSXETP00000069725	830	637	76.75
anolis_carolinensis	XP_062832081.1	anolis_carolinensis	XP_062832081.1	873	873	100.0
anolis_carolinensis	XP_062832081.1	bos_taurus	XP_059737724.1	835	739	88.5
anolis_carolinensis	XP_062832081.1	callithrix_jacchus	XP_078202765.1	835	741	88.74
anolis_carolinensis	XP_062832081.1	canis_lupus_familiaris	NP_001003336.1	704	629	89.35
anolis_carolinensis	XP_062832081.1	chrysemys_picta_bellii	XP_065408413.1	835	765	91.62
anolis_carolinensis	XP_062832081.1	danio_rerio	XP_068081038.1	831	634	76.29
anolis_carolinensis	XP_062832081.1	equus_caballus	XP_014588430.1	866	744	85.91
anolis_carolinensis	XP_062832081.1	felis_catus	XP_044896695.1	835	738	88.38
anolis_carolinensis	XP_062832081.1	gallus_gallus	NP_990650.2	837	764	91.28
anolis_carolinensis	XP_062832081.1	gasterosteus_aculeatus	ENSGACP00000061458	801	587	73.28
anolis_carolinensis	XP_062832081.1	gorilla_gorilla_gorilla	XP_004050253.1	723	664	91.84
anolis_carolinensis	XP_062832081.1	homo_sapiens	ENSP00000351276	816	730	89.46
anolis_carolinensis	XP_062832081.1	macaca_mulatta	XP_077803775.1	833	742	89.08
anolis_carolinensis	XP_062832081.1	meleagris_gallopavo	ENSMGAP00000031571	623	497	79.78
anolis_carolinensis	XP_062832081.1	monodelphis_domestica	XP_056659242.1	835	749	89.7
anolis_carolinensis	XP_062832081.1	mus_musculus	ENSMUSP00000112430	835	742	88.86
anolis_carolinensis	XP_062832081.1	oreochromis_niloticus	ENSONIP00000063320	808	623	77.1
anolis_carolinensis	XP_062832081.1	ornithorhynchus_anatinus	XP_028936644.1	835	748	89.58
anolis_carolinensis	XP_062832081.1	oryctolagus_cuniculus	XP_069913096.1	835	736	88.14
anolis_carolinensis	XP_062832081.1	oryzias_latipes	XP_078787744.1	825	634	76.85
anolis_carolinensis	XP_062832081.1	ovis_aries	XP_060260490.1	835	739	88.5
anolis_carolinensis	XP_062832081.1	pan_troglodytes	XP_054516514.1	835	744	89.1
anolis_carolinensis	XP_062832081.1	pongo_abelii	XP_024108704.1	833	742	89.08
anolis_carolinensis	XP_062832081.1	rattus_norvegicus	XP_063137149.1	835	743	88.98
anolis_carolinensis	XP_062832081.1	sus_scrofa	XP_084849197.1	835	735	88.02
anolis_carolinensis	XP_062832081.1	taeniopygia_guttata	XP_072787409.1	870	775	89.08
anolis_carolinensis	XP_062832081.1	takifugu_rubripes	ENSTRUP00000045145	828	638	77.05
anolis_carolinensis	XP_062832081.1	xenopus_tropicalis	ENSXETP00000069725	863	657	76.13
bos_taurus	XP_059737724.1	bos_taurus	XP_059737724.1	840	840	100.0
bos_taurus	XP_059737724.1	callithrix_jacchus	XP_078202765.1	840	810	96.43
bos_taurus	XP_059737724.1	canis_lupus_familiaris	NP_001003336.1	704	667	94.74
bos_taurus	XP_059737724.1	chrysemys_picta_bellii	XP_065408413.1	837	760	90.8
bos_taurus	XP_059737724.1	danio_rerio	XP_068081038.1	835	643	77.01
bos_taurus	XP_059737724.1	equus_caballus	XP_014588430.1	836	813	97.25
bos_taurus	XP_059737724.1	felis_catus	XP_044896695.1	839	812	96.78
bos_taurus	XP_059737724.1	gallus_gallus	NP_990650.2	839	769	91.66
bos_taurus	XP_059737724.1	gasterosteus_aculeatus	ENSGACP00000061458	804	593	73.76
bos_taurus	XP_059737724.1	gorilla_gorilla_gorilla	XP_004050253.1	723	708	97.93
bos_taurus	XP_059737724.1	homo_sapiens	ENSP00000351276	821	797	97.08
bos_taurus	XP_059737724.1	macaca_mulatta	XP_077803775.1	838	813	97.02
bos_taurus	XP_059737724.1	meleagris_gallopavo	ENSMGAP00000031571	627	510	81.34
bos_taurus	XP_059737724.1	monodelphis_domestica	XP_056659242.1	839	786	93.68
bos_taurus	XP_059737724.1	mus_musculus	ENSMUSP00000112430	840	804	95.71
bos_taurus	XP_059737724.1	oreochromis_niloticus	ENSONIP00000063320	804	626	77.86
bos_taurus	XP_059737724.1	ornithorhynchus_anatinus	XP_028936644.1	839	786	93.68
bos_taurus	XP_059737724.1	oryctolagus_cuniculus	XP_069913096.1	840	804	95.71
bos_taurus	XP_059737724.1	oryzias_latipes	XP_078787744.1	828	636	76.81
bos_taurus	XP_059737724.1	ovis_aries	XP_060260490.1	840	840	100.0
bos_taurus	XP_059737724.1	pan_troglodytes	XP_054516514.1	840	816	97.14
bos_taurus	XP_059737724.1	pongo_abelii	XP_024108704.1	838	813	97.02
bos_taurus	XP_059737724.1	rattus_norvegicus	XP_063137149.1	840	801	95.36
bos_taurus	XP_059737724.1	sus_scrofa	XP_084849197.1	840	821	97.74
bos_taurus	XP_059737724.1	taeniopygia_guttata	XP_072787409.1	839	771	91.9
bos_taurus	XP_059737724.1	takifugu_rubripes	ENSTRUP00000045145	831	644	77.5
bos_taurus	XP_059737724.1	xenopus_tropicalis	ENSXETP00000069725	831	642	77.26
callithrix_jacchus	XP_078202765.1	callithrix_jacchus	XP_078202765.1	840	840	100.0
callithrix_jacchus	XP_078202765.1	canis_lupus_familiaris	NP_001003336.1	704	670	95.17
callithrix_jacchus	XP_078202765.1	chrysemys_picta_bellii	XP_065408413.1	837	766	91.52
callithrix_jacchus	XP_078202765.1	danio_rerio	XP_068081038.1	835	646	77.37
callithrix_jacchus	XP_078202765.1	equus_caballus	XP_014588430.1	836	813	97.25
callithrix_jacchus	XP_078202765.1	felis_catus	XP_044896695.1	839	809	96.42
callithrix_jacchus	XP_078202765.1	gallus_gallus	NP_990650.2	839	775	92.37
callithrix_jacchus	XP_078202765.1	gasterosteus_aculeatus	ENSGACP00000061458	804	594	73.88
callithrix_jacchus	XP_078202765.1	gorilla_gorilla_gorilla	XP_004050253.1	723	717	99.17
callithrix_jacchus	XP_078202765.1	homo_sapiens	ENSP00000351276	821	812	98.9
callithrix_jacchus	XP_078202765.1	macaca_mulatta	XP_077803775.1	838	830	99.05
callithrix_jacchus	XP_078202765.1	meleagris_gallopavo	ENSMGAP00000031571	627	511	81.5
callithrix_jacchus	XP_078202765.1	monodelphis_domestica	XP_056659242.1	839	791	94.28
callithrix_jacchus	XP_078202765.1	mus_musculus	ENSMUSP00000112430	840	815	97.02
callithrix_jacchus	XP_078202765.1	oreochromis_niloticus	ENSONIP00000063320	804	629	78.23
callithrix_jacchus	XP_078202765.1	ornithorhynchus_anatinus	XP_028936644.1	839	789	94.04
callithrix_jacchus	XP_078202765.1	oryctolagus_cuniculus	XP_069913096.1	840	810	96.43
callithrix_jacchus	XP_078202765.1	oryzias_latipes	XP_078787744.1	828	640	77.29
callithrix_jacchus	XP_078202765.1	ovis_aries	XP_060260490.1	840	810	96.43
callithrix_jacchus	XP_078202765.1	pan_troglodytes	XP_054516514.1	840	831	98.93
callithrix_jacchus	XP_078202765.1	pongo_abelii	XP_024108704.1	838	829	98.93
callithrix_jacchus	XP_078202765.1	rattus_norvegicus	XP_063137149.1	840	811	96.55
callithrix_jacchus	XP_078202765.1	sus_scrofa	XP_084849197.1	840	812	96.67
callithrix_jacchus	XP_078202765.1	taeniopygia_guttata	XP_072787409.1	839	773	92.13
callithrix_jacchus	XP_078202765.1	takifugu_rubripes	ENSTRUP00000045145	831	646	77.74
callithrix_jacchus	XP_078202765.1	xenopus_tropicalis	ENSXETP00000069725	831	642	77.26
canis_lupus_familiaris	NP_001003336.1	canis_lupus_familiaris	NP_001003336.1	707	707	100.0
canis_lupus_familiaris	NP_001003336.1	chrysemys_picta_bellii	XP_065408413.1	704	642	91.19
canis_lupus_familiaris	NP_001003336.1	danio_rerio	XP_068081038.1	700	561	80.14
canis_lupus_familiaris	NP_001003336.1	equus_caballus	XP_014588430.1	700	669	95.57
canis_lupus_familiaris	NP_001003336.1	felis_catus	XP_044896695.1	704	676	96.02
canis_lupus_familiaris	NP_001003336.1	gallus_gallus	NP_990650.2	704	647	91.9
canis_lupus_familiaris	NP_001003336.1	gasterosteus_aculeatus	ENSGACP00000061458	672	515	76.64
canis_lupus_familiaris	NP_001003336.1	gorilla_gorilla_gorilla	XP_004050253.1	702	671	95.58
canis_lupus_familiaris	NP_001003336.1	homo_sapiens	ENSP00000351276	704	671	95.31
canis_lupus_familiaris	NP_001003336.1	macaca_mulatta	XP_077803775.1	702	670	95.44
canis_lupus_familiaris	NP_001003336.1	meleagris_gallopavo	ENSMGAP00000031571	567	478	84.3
canis_lupus_familiaris	NP_001003336.1	monodelphis_domestica	XP_056659242.1	704	658	93.47
canis_lupus_familiaris	NP_001003336.1	mus_musculus	ENSMUSP00000112430	704	670	95.17
canis_lupus_familiaris	NP_001003336.1	oreochromis_niloticus	ENSONIP00000063320	683	547	80.09
canis_lupus_familiaris	NP_001003336.1	ornithorhynchus_anatinus	XP_028936644.1	704	656	93.18
canis_lupus_familiaris	NP_001003336.1	oryctolagus_cuniculus	XP_069913096.1	704	663	94.18
canis_lupus_familiaris	NP_001003336.1	oryzias_latipes	XP_078787744.1	696	556	79.89
canis_lupus_familiaris	NP_001003336.1	ovis_aries	XP_060260490.1	704	667	94.74
canis_lupus_familiaris	NP_001003336.1	pan_troglodytes	XP_054516514.1	704	672	95.45
canis_lupus_familiaris	NP_001003336.1	pongo_abelii	XP_024108704.1	702	670	95.44
canis_lupus_familiaris	NP_001003336.1	rattus_norvegicus	XP_063137149.1	704	668	94.89
canis_lupus_familiaris	NP_001003336.1	sus_scrofa	XP_084849197.1	704	668	94.89
canis_lupus_familiaris	NP_001003336.1	taeniopygia_guttata	XP_072787409.1	704	645	91.62
canis_lupus_familiaris	NP_001003336.1	takifugu_rubripes	ENSTRUP00000045145	699	557	79.69
canis_lupus_familiaris	NP_001003336.1	xenopus_tropicalis	ENSXETP00000069725	700	557	79.57
chrysemys_picta_bellii	XP_065408413.1	chrysemys_picta_bellii	XP_065408413.1	840	840	100.0
chrysemys_picta_bellii	XP_065408413.1	danio_rerio	XP_068081038.1	833	646	77.55
chrysemys_picta_bellii	XP_065408413.1	equus_caballus	XP_014588430.1	833	758	91.0
chrysemys_picta_bellii	XP_065408413.1	felis_catus	XP_044896695.1	837	759	90.68
chrysemys_picta_bellii	XP_065408413.1	gallus_gallus	NP_990650.2	840	802	95.48
chrysemys_picta_bellii	XP_065408413.1	gasterosteus_aculeatus	ENSGACP00000061458	802	595	74.19
chrysemys_picta_bellii	XP_065408413.1	gorilla_gorilla_gorilla	XP_004050253.1	723	683	94.47
chrysemys_picta_bellii	XP_065408413.1	homo_sapiens	ENSP00000351276	818	755	92.3
chrysemys_picta_bellii	XP_065408413.1	macaca_mulatta	XP_077803775.1	835	767	91.86
chrysemys_picta_bellii	XP_065408413.1	meleagris_gallopavo	ENSMGAP00000031571	627	524	83.57
chrysemys_picta_bellii	XP_065408413.1	monodelphis_domestica	XP_056659242.1	837	778	92.95
chrysemys_picta_bellii	XP_065408413.1	mus_musculus	ENSMUSP00000112430	837	760	90.8
chrysemys_picta_bellii	XP_065408413.1	oreochromis_niloticus	ENSONIP00000063320	802	635	79.18
chrysemys_picta_bellii	XP_065408413.1	ornithorhynchus_anatinus	XP_028936644.1	837	776	92.71
chrysemys_picta_bellii	XP_065408413.1	oryctolagus_cuniculus	XP_069913096.1	837	756	90.32
chrysemys_picta_bellii	XP_065408413.1	oryzias_latipes	XP_078787744.1	826	639	77.36
chrysemys_picta_bellii	XP_065408413.1	ovis_aries	XP_060260490.1	837	760	90.8
chrysemys_picta_bellii	XP_065408413.1	pan_troglodytes	XP_054516514.1	837	769	91.88
chrysemys_picta_bellii	XP_065408413.1	pongo_abelii	XP_024108704.1	835	767	91.86
chrysemys_picta_bellii	XP_065408413.1	rattus_norvegicus	XP_063137149.1	837	761	90.92
chrysemys_picta_bellii	XP_065408413.1	sus_scrofa	XP_084849197.1	837	757	90.44
chrysemys_picta_bellii	XP_065408413.1	taeniopygia_guttata	XP_072787409.1	840	799	95.12
chrysemys_picta_bellii	XP_065408413.1	takifugu_rubripes	ENSTRUP00000045145	829	649	78.29
chrysemys_picta_bellii	XP_065408413.1	xenopus_tropicalis	ENSXETP00000069725	830	649	78.19
danio_rerio	XP_068081038.1	danio_rerio	XP_068081038.1	840	840	100.0
danio_rerio	XP_068081038.1	equus_caballus	XP_014588430.1	831	645	77.62
danio_rerio	XP_068081038.1	felis_catus	XP_044896695.1	836	647	77.39
danio_rerio	XP_068081038.1	gallus_gallus	NP_990650.2	835	648	77.6
danio_rerio	XP_068081038.1	gasterosteus_aculeatus	ENSGACP00000061458	807	656	81.29
danio_rerio	XP_068081038.1	gorilla_gorilla_gorilla	XP_004050253.1	719	588	81.78
danio_rerio	XP_068081038.1	homo_sapiens	ENSP00000351276	816	638	78.19
danio_rerio	XP_068081038.1	macaca_mulatta	XP_077803775.1	833	645	77.43
danio_rerio	XP_068081038.1	meleagris_gallopavo	ENSMGAP00000031571	623	440	70.63
danio_rerio	XP_068081038.1	monodelphis_domestica	XP_056659242.1	835	648	77.6
danio_rerio	XP_068081038.1	mus_musculus	ENSMUSP00000112430	835	652	78.08
danio_rerio	XP_068081038.1	oreochromis_niloticus	ENSONIP00000063320	804	686	85.32
danio_rerio	XP_068081038.1	ornithorhynchus_anatinus	XP_028936644.1	835	645	77.25
danio_rerio	XP_068081038.1	oryctolagus_cuniculus	XP_069913096.1	835	644	77.13
danio_rerio	XP_068081038.1	oryzias_latipes	XP_078787744.1	831	701	84.36
danio_rerio	XP_068081038.1	ovis_aries	XP_060260490.1	835	643	77.01
danio_rerio	XP_068081038.1	pan_troglodytes	XP_054516514.1	835	646	77.37
danio_rerio	XP_068081038.1	pongo_abelii	XP_024108704.1	833	645	77.43
danio_rerio	XP_068081038.1	rattus_norvegicus	XP_063137149.1	835	648	77.6
danio_rerio	XP_068081038.1	sus_scrofa	XP_084849197.1	835	641	76.77
danio_rerio	XP_068081038.1	taeniopygia_guttata	XP_072787409.1	835	653	78.2
danio_rerio	XP_068081038.1	takifugu_rubripes	ENSTRUP00000045145	834	701	84.05
danio_rerio	XP_068081038.1	xenopus_tropicalis	ENSXETP00000069725	827	610	73.76
equus_caballus	XP_014588430.1	equus_caballus	XP_014588430.1	886	886	100.0
equus_caballus	XP_014588430.1	felis_catus	XP_044896695.1	835	816	97.72
equus_caballus	XP_014588430.1	gallus_gallus	NP_990650.2	835	769	92.1
equus_caballus	XP_014588430.1	gasterosteus_aculeatus	ENSGACP00000061458	804	594	73.88
equus_caballus	XP_014588430.1	gorilla_gorilla_gorilla	XP_004050253.1	719	708	98.47
equus_caballus	XP_014588430.1	homo_sapiens	ENSP00000351276	817	801	98.04
equus_caballus	XP_014588430.1	macaca_mulatta	XP_077803775.1	834	815	97.72
equus_caballus	XP_014588430.1	meleagris_gallopavo	ENSMGAP00000031571	623	510	81.86
equus_caballus	XP_014588430.1	monodelphis_domestica	XP_056659242.1	835	786	94.13
equus_caballus	XP_014588430.1	mus_musculus	ENSMUSP00000112430	836	808	96.65
equus_caballus	XP_014588430.1	oreochromis_niloticus	ENSONIP00000063320	808	627	77.6
equus_caballus	XP_014588430.1	ornithorhynchus_anatinus	XP_028936644.1	835	787	94.25
equus_caballus	XP_014588430.1	oryctolagus_cuniculus	XP_069913096.1	836	804	96.17
equus_caballus	XP_014588430.1	oryzias_latipes	XP_078787744.1	824	639	77.55
equus_caballus	XP_014588430.1	ovis_aries	XP_060260490.1	836	813	97.25
equus_caballus	XP_014588430.1	pan_troglodytes	XP_054516514.1	836	818	97.85
equus_caballus	XP_014588430.1	pongo_abelii	XP_024108704.1	834	815	97.72
equus_caballus	XP_014588430.1	rattus_norvegicus	XP_063137149.1	836	807	96.53
equus_caballus	XP_014588430.1	sus_scrofa	XP_084849197.1	836	815	97.49
equus_caballus	XP_014588430.1	taeniopygia_guttata	XP_072787409.1	878	783	89.18
equus_caballus	XP_014588430.1	takifugu_rubripes	ENSTRUP00000045145	827	644	77.87
equus_caballus	XP_014588430.1	xenopus_tropicalis	ENSXETP00000069725	866	645	74.48
felis_catus	XP_044896695.1	felis_catus	XP_044896695.1	840	840	100.0
felis_catus	XP_044896695.1	gallus_gallus	NP_990650.2	839	768	91.54
felis_catus	XP_044896695.1	gasterosteus_aculeatus	ENSGACP00000061458	805	595	73.91
felis_catus	XP_044896695.1	gorilla_gorilla_gorilla	XP_004050253.1	723	707	97.79
felis_catus	XP_044896695.1	homo_sapiens	ENSP00000351276	820	801	97.68
felis_catus	XP_044896695.1	macaca_mulatta	XP_077803775.1	837	811	96.89
felis_catus	XP_044896695.1	meleagris_gallopavo	ENSMGAP00000031571	627	509	81.18
felis_catus	XP_044896695.1	monodelphis_domestica	XP_056659242.1	839	789	94.04
felis_catus	XP_044896695.1	mus_musculus	ENSMUSP00000112430	839	805	95.95
felis_catus	XP_044896695.1	oreochromis_niloticus	ENSONIP00000063320	804	631	78.48
felis_catus	XP_044896695.1	ornithorhynchus_anatinus	XP_028936644.1	839	789	94.04
felis_catus	XP_044896695.1	oryctolagus_cuniculus	XP_069913096.1	839	802	95.59
