comparable_boundary_group_id	mapping_method	mapping_status	mapping_confidence	msa_column	n_species_mapped	species_ids	species_coverage	cross_species_difference	distance_range_min	distance_range_max	dominant_class	classes_differ	domain_annotation_available_in_all	primary_statistic
CBG3	msa_aligned_position	tentative	0.067	371	2	homo_sapiens,takifugu_rubripes	0.067	1	27	28	outside_annotated_domains	false	true	raw_pair
CBG15	msa_aligned_position	supported_comparable	0.733	159	22	pan_troglodytes,pongo_abelii,macaca_mulatta,callithrix_jacchus,rattus_norvegicus,oryctolagus_cuniculus,felis_catus,bos_taurus,sus_scrofa,equus_caballus,ovis_aries,monodelphis_domestica,ornithorhynchus_anatinus,gallus_gallus,taeniopygia_guttata,anolis_carolinensis,alligator_mississippiensis,chrysemys_picta_bellii,ambystoma_mexicanum,danio_rerio,oryzias_latipes,oreochromis_niloticus	0.733	12	-14	-2	outside_annotated_domains	true	true	distribution
CBG16	msa_aligned_position	supported_comparable	0.733	356	22	pan_troglodytes,pongo_abelii,macaca_mulatta,callithrix_jacchus,rattus_norvegicus,oryctolagus_cuniculus,felis_catus,bos_taurus,sus_scrofa,equus_caballus,ovis_aries,monodelphis_domestica,ornithorhynchus_anatinus,gallus_gallus,taeniopygia_guttata,anolis_carolinensis,alligator_mississippiensis,chrysemys_picta_bellii,ambystoma_mexicanum,danio_rerio,oryzias_latipes,oreochromis_niloticus	0.733	16	1	17	outside_annotated_domains	true	true	distribution
CBG17	msa_aligned_position	supported_comparable	0.733	388	22	pan_troglodytes,pongo_abelii,macaca_mulatta,callithrix_jacchus,rattus_norvegicus,oryctolagus_cuniculus,felis_catus,bos_taurus,sus_scrofa,equus_caballus,ovis_aries,monodelphis_domestica,ornithorhynchus_anatinus,gallus_gallus,taeniopygia_guttata,anolis_carolinensis,alligator_mississippiensis,chrysemys_picta_bellii,ambystoma_mexicanum,danio_rerio,oryzias_latipes,oreochromis_niloticus	0.733	1	-19	-18	outside_annotated_domains	false	true	distribution
CBG18	msa_aligned_position	supported_comparable	0.733	444	22	pan_troglodytes,pongo_abelii,macaca_mulatta,callithrix_jacchus,rattus_norvegicus,oryctolagus_cuniculus,felis_catus,bos_taurus,sus_scrofa,equus_caballus,ovis_aries,monodelphis_domestica,ornithorhynchus_anatinus,gallus_gallus,taeniopygia_guttata,anolis_carolinensis,alligator_mississippiensis,chrysemys_picta_bellii,ambystoma_mexicanum,danio_rerio,oryzias_latipes,oreochromis_niloticus	0.733	1	37	38	inside_domain	false	true	distribution
CBG19	msa_aligned_position	supported_comparable	0.733	486	22	pan_troglodytes,pongo_abelii,macaca_mulatta,callithrix_jacchus,rattus_norvegicus,oryctolagus_cuniculus,felis_catus,bos_taurus,sus_scrofa,equus_caballus,ovis_aries,monodelphis_domestica,ornithorhynchus_anatinus,gallus_gallus,taeniopygia_guttata,anolis_carolinensis,alligator_mississippiensis,chrysemys_picta_bellii,ambystoma_mexicanum,danio_rerio,oryzias_latipes,oreochromis_niloticus	0.733	0	2	2	near_domain_edge	false	true	distribution
CBG20	msa_aligned_position	supported_comparable	0.733	549	22	pan_troglodytes,pongo_abelii,macaca_mulatta,callithrix_jacchus,rattus_norvegicus,oryctolagus_cuniculus,felis_catus,bos_taurus,sus_scrofa,equus_caballus,ovis_aries,monodelphis_domestica,ornithorhynchus_anatinus,gallus_gallus,taeniopygia_guttata,anolis_carolinensis,alligator_mississippiensis,chrysemys_picta_bellii,ambystoma_mexicanum,danio_rerio,oryzias_latipes,oreochromis_niloticus	0.733	13	-46	-33	inside_domain	false	true	distribution
CBG21	msa_aligned_position	supported_comparable	0.533	604	16	pan_troglodytes,macaca_mulatta,callithrix_jacchus,rattus_norvegicus,oryctolagus_cuniculus,felis_catus,bos_taurus,sus_scrofa,equus_caballus,ovis_aries,monodelphis_domestica,ornithorhynchus_anatinus,gallus_gallus,taeniopygia_guttata,alligator_mississippiensis,ambystoma_mexicanum	0.533	14	3	17	outside_annotated_domains	true	true	distribution
CBG22	msa_aligned_position	supported_comparable	0.233	672	7	pan_troglodytes,callithrix_jacchus,rattus_norvegicus,bos_taurus,sus_scrofa,ovis_aries,taeniopygia_guttata	0.233	0	-6	-6	outside_annotated_domains	false	true	distribution
CBG23	msa_aligned_position	supported_comparable	0.5	722	15	pan_troglodytes,macaca_mulatta,callithrix_jacchus,rattus_norvegicus,oryctolagus_cuniculus,felis_catus,bos_taurus,sus_scrofa,equus_caballus,ovis_aries,monodelphis_domestica,ornithorhynchus_anatinus,gallus_gallus,taeniopygia_guttata,alligator_mississippiensis	0.5	0	44	44	inside_domain	false	true	distribution
CBG24	msa_aligned_position	supported_comparable	0.5	763	15	pan_troglodytes,macaca_mulatta,callithrix_jacchus,rattus_norvegicus,oryctolagus_cuniculus,felis_catus,bos_taurus,sus_scrofa,equus_caballus,ovis_aries,monodelphis_domestica,ornithorhynchus_anatinus,gallus_gallus,taeniopygia_guttata,alligator_mississippiensis	0.5	0	85	85	inside_domain	false	true	distribution
CBG25	msa_aligned_position	supported_comparable	0.5	800	15	pan_troglodytes,macaca_mulatta,callithrix_jacchus,rattus_norvegicus,oryctolagus_cuniculus,felis_catus,bos_taurus,sus_scrofa,equus_caballus,ovis_aries,monodelphis_domestica,ornithorhynchus_anatinus,gallus_gallus,taeniopygia_guttata,alligator_mississippiensis	0.5	0	122	122	inside_domain	false	true	distribution
CBG26	msa_aligned_position	supported_comparable	0.5	863	15	pan_troglodytes,macaca_mulatta,callithrix_jacchus,rattus_norvegicus,oryctolagus_cuniculus,felis_catus,bos_taurus,sus_scrofa,equus_caballus,ovis_aries,monodelphis_domestica,ornithorhynchus_anatinus,gallus_gallus,taeniopygia_guttata,alligator_mississippiensis	0.5	9	-148	-139	inside_domain	false	true	distribution
CBG27	msa_aligned_position	supported_comparable	0.5	904	15	pan_troglodytes,macaca_mulatta,callithrix_jacchus,rattus_norvegicus,oryctolagus_cuniculus,felis_catus,bos_taurus,sus_scrofa,equus_caballus,ovis_aries,monodelphis_domestica,ornithorhynchus_anatinus,gallus_gallus,taeniopygia_guttata,alligator_mississippiensis	0.5	9	-107	-98	inside_domain	false	true	distribution
CBG28	msa_aligned_position	supported_comparable	0.5	928	15	pan_troglodytes,macaca_mulatta,callithrix_jacchus,rattus_norvegicus,oryctolagus_cuniculus,felis_catus,bos_taurus,sus_scrofa,equus_caballus,ovis_aries,monodelphis_domestica,ornithorhynchus_anatinus,gallus_gallus,taeniopygia_guttata,alligator_mississippiensis	0.5	9	-83	-74	inside_domain	false	true	distribution
CBG29	msa_aligned_position	supported_comparable	0.533	974	16	pan_troglodytes,gorilla_gorilla_gorilla,macaca_mulatta,callithrix_jacchus,rattus_norvegicus,oryctolagus_cuniculus,felis_catus,bos_taurus,sus_scrofa,equus_caballus,ovis_aries,monodelphis_domestica,ornithorhynchus_anatinus,gallus_gallus,taeniopygia_guttata,alligator_mississippiensis	0.533	9	-37	-28	inside_domain	false	true	distribution
CBG30	msa_aligned_position	supported_comparable	0.533	1009	16	pan_troglodytes,macaca_mulatta,callithrix_jacchus,mus_musculus,rattus_norvegicus,oryctolagus_cuniculus,felis_catus,bos_taurus,sus_scrofa,equus_caballus,ovis_aries,monodelphis_domestica,ornithorhynchus_anatinus,gallus_gallus,taeniopygia_guttata,alligator_mississippiensis	0.533	9	-2	7	near_domain_edge	true	true	distribution
CBG31	msa_aligned_position	supported_comparable	0.067	158	2	gorilla_gorilla_gorilla,mus_musculus	0.067	11	-20	-9	outside_annotated_domains	false	true	raw_pair
CBG35	msa_aligned_position	tentative	0.067	533	2	gorilla_gorilla_gorilla,meleagris_gallopavo	0.067	2	31	33	inside_domain	false	true	raw_pair
CBG38	msa_aligned_position	tentative	0.1	682	3	gorilla_gorilla_gorilla,mus_musculus,xenopus_tropicalis	0.1	2	4	6	near_domain_edge	true	true	distribution
CBG42	msa_aligned_position	supported_comparable	0.1	603	3	pongo_abelii,anolis_carolinensis,oreochromis_niloticus	0.1	13	3	16	near_domain_edge	true	true	distribution
CBG43	msa_aligned_position	supported_comparable	0.133	668	4	pongo_abelii,chrysemys_picta_bellii,oryzias_latipes,oreochromis_niloticus	0.133	3	-10	-7	outside_annotated_domains	false	true	distribution
CBG44	msa_aligned_position	supported_comparable	0.167	721	5	pongo_abelii,anolis_carolinensis,xenopus_tropicalis,ambystoma_mexicanum,oreochromis_niloticus	0.167	3	40	43	inside_domain	false	true	distribution
CBG45	msa_aligned_position	supported_comparable	0.133	762	4	pongo_abelii,anolis_carolinensis,ambystoma_mexicanum,oreochromis_niloticus	0.133	3	81	84	inside_domain	false	true	distribution
CBG46	msa_aligned_position	supported_comparable	0.133	799	4	pongo_abelii,anolis_carolinensis,ambystoma_mexicanum,oreochromis_niloticus	0.133	3	118	121	inside_domain	false	true	distribution
CBG47	msa_aligned_position	supported_comparable	0.133	862	4	pongo_abelii,anolis_carolinensis,ambystoma_mexicanum,oreochromis_niloticus	0.133	0	-149	-149	inside_domain	false	true	distribution
CBG48	msa_aligned_position	supported_comparable	0.133	903	4	pongo_abelii,anolis_carolinensis,ambystoma_mexicanum,oreochromis_niloticus	0.133	0	-108	-108	inside_domain	false	true	distribution
CBG49	msa_aligned_position	supported_comparable	0.133	927	4	pongo_abelii,anolis_carolinensis,ambystoma_mexicanum,oreochromis_niloticus	0.133	0	-84	-84	inside_domain	false	true	distribution
CBG50	msa_aligned_position	supported_comparable	0.133	973	4	pongo_abelii,anolis_carolinensis,ambystoma_mexicanum,oreochromis_niloticus	0.133	0	-38	-38	inside_domain	false	true	distribution
CBG51	msa_aligned_position	supported_comparable	0.133	1008	4	pongo_abelii,anolis_carolinensis,ambystoma_mexicanum,oreochromis_niloticus	0.133	0	-3	-3	near_domain_edge	false	true	distribution
CBG52	msa_aligned_position	supported_comparable	0.333	671	10	macaca_mulatta,oryctolagus_cuniculus,felis_catus,equus_caballus,monodelphis_domestica,ornithorhynchus_anatinus,gallus_gallus,anolis_carolinensis,alligator_mississippiensis,ambystoma_mexicanum	0.333	0	-7	-7	outside_annotated_domains	false	true	distribution
CBG62	msa_aligned_position	tentative	0.067	894	2	mus_musculus,xenopus_tropicalis	0.067	1	-117	-116	inside_domain	false	true	raw_pair
CBG72	msa_aligned_position	tentative	0.067	21	2	taeniopygia_guttata,anolis_carolinensis	0.067	1	-95	-94	outside_annotated_domains	false	true	raw_pair
