species	isoform	protein_id	sequence_weight
alligator_mississippiensis	IIIb	XP_059586053.1	0.7172360527405109
alligator_mississippiensis	IIIc	XP_006266188.1	0.8098081851539728
ambystoma_mexicanum	IIIb	XP_069468054.1	1.851691720529512
ambystoma_mexicanum	IIIc	XP_069468056.1	1.1492776680606998
anolis_carolinensis	IIIb	XP_062832082.1	1.5350159761576898
anolis_carolinensis	IIIc	XP_062832081.1	1.1665165108236513
bos_taurus	IIIb	XP_059737723.1	0.743446878951337
bos_taurus	IIIc	XP_059737724.1	0.7641560112409292
callithrix_jacchus	IIIb	XP_078202760.1	0.743446878951337
callithrix_jacchus	IIIc	XP_078202765.1	0.7641560112409292
chrysemys_picta_bellii	IIIb	XP_023965681.1	0.7193176770227093
chrysemys_picta_bellii	IIIc	XP_065408413.1	0.8098081851539728
danio_rerio	IIIb	XP_068081039.1	2.515620493360672
danio_rerio	IIIc	XP_068081038.1	0.9396683813185167
equus_caballus	IIIb	XP_014588429.1	0.743446878951337
equus_caballus	IIIc	XP_014588430.1	0.7641560112409292
felis_catus	IIIb	XP_044896694.1	0.743446878951337
felis_catus	IIIc	XP_044896695.1	0.7641560112409292
gallus_gallus	IIIb	XP_046798696.1	0.837905987381034
gallus_gallus	IIIc	NP_990650.2	0.8098081851539728
gasterosteus_aculeatus	IIIb	ENSGACP00000047216	1.7186199082385558
gasterosteus_aculeatus	IIIc	ENSGACP00000061458	1.4959249432308979
gorilla_gorilla_gorilla	IIIb	ENSGGOP00000051435	0.743446878951337
gorilla_gorilla_gorilla	IIIc	XP_004050253.1	0.7641560112409292
homo_sapiens	IIIb	ENSP00000813085	0.743446878951337
homo_sapiens	IIIc	ENSP00000351276	0.7641560112409292
macaca_mulatta	IIIb	XP_015003815.1	0.743446878951337
macaca_mulatta	IIIc	XP_077803775.1	0.7641560112409292
meleagris_gallopavo	IIIb	ENSMGAP00000031353	0.837905987381034
meleagris_gallopavo	IIIc	ENSMGAP00000031571	0.8098081851539728
monodelphis_domestica	IIIb	XP_056659239.1	1.5027719674430926
monodelphis_domestica	IIIc	XP_056659242.1	0.7641560112409292
mus_musculus	IIIb	ENSMUSP00000113180	0.8298666320377572
mus_musculus	IIIc	ENSMUSP00000112430	0.7641560112409292
oreochromis_niloticus	IIIb	ENSONIP00000060910	1.8984394085745744
oreochromis_niloticus	IIIc	ENSONIP00000063320	0.8280741784199661
ornithorhynchus_anatinus	IIIb	XP_028936643.1	0.9746635889723951
ornithorhynchus_anatinus	IIIc	XP_028936644.1	0.7641560112409292
oryctolagus_cuniculus	IIIb	XP_069913100.1	0.743446878951337
oryctolagus_cuniculus	IIIc	XP_069913096.1	0.7641560112409292
oryzias_latipes	IIIb	XP_011483055.1	1.249749760217464
oryzias_latipes	IIIc	XP_078787744.1	1.4905450408908287
ovis_aries	IIIb	XP_060260488.1	0.743446878951337
ovis_aries	IIIc	XP_060260490.1	0.7641560112409292
pan_troglodytes	IIIb	XP_054516513.1	0.743446878951337
pan_troglodytes	IIIc	XP_054516514.1	0.7641560112409292
rattus_norvegicus	IIIb	XP_063137148.1	0.8298666320377572
rattus_norvegicus	IIIc	XP_063137149.1	0.7641560112409292
sus_scrofa	IIIb	XP_084849194.1	0.743446878951337
sus_scrofa	IIIc	XP_084849197.1	0.7641560112409292
taeniopygia_guttata	IIIb	XP_072787408.1	0.837905987381034
taeniopygia_guttata	IIIc	XP_072787409.1	0.8098081851539728
takifugu_rubripes	IIIb	ENSTRUP00000045146	1.271734386353034
takifugu_rubripes	IIIc	ENSTRUP00000045145	0.8023166026623901
xenopus_tropicalis	IIIb	ENSXETP00000087394	1.698784352322718
xenopus_tropicalis	IIIc	ENSXETP00000069725	2.611283393592995
