protein_id	transcript_id	model_role	exon_label	exon_number	genomic_start	genomic_end	protein_start_aa	protein_end_aa	exon_identity	reference_exon_label	junction_aa
NP_001171064.1	NM_001177593.1	primary	E1	1	41026255	41026268	1	5	primary		
NP_001171064.1	NM_001177593.1	primary	E2	2	41044762	41044884	5	46	primary		
NP_001171064.1	NM_001177593.1	primary	E3	3	41048060	41048254	46	111	primary		
NP_001171064.1	NM_001177593.1	primary	E4	4	41050918	41051110	111	175	primary		
NP_001171064.1	NM_001177593.1	primary	E5	5	41052488	41052604	176	214	primary		
NP_001171064.1	NM_001177593.1	primary	E6	6	41053022	41053135	215	252	primary		
NP_001171064.1	NM_001177593.1	primary	E7	7	41059954	41060050	253	285	primary		
NP_001171064.1	NM_001177593.1	primary	E8	8	41062730	41062809	285	311	primary		
NP_001171064.1	NM_001177593.1	primary	E9	9	41062901	41063059	312	364	primary		
NP_001171064.1	NM_001177593.1	primary	E10	10	41066304	41066435	365	408	primary		
NP_001171064.1	NM_001177593.1	primary	E11	11	41070303	41070469	409	464	primary		
NP_001171064.1	NM_001177593.1	primary	E12	12	41071323	41071390	464	487	primary		
NP_001171064.1	NM_001177593.1	primary	E13	13	41071822	41071973	487	537	primary		
NP_001171064.1	NM_001177593.1	primary	E14	14	41078856	41078968	538	575	primary		
NP_001171064.1	NM_001177593.1	primary	E15	15	41081353	41081422	575	597	primary		
NP_037220.2	NM_013088.2	alternative	E1	1	41026255	41026268	1	5	shared	E1	
NP_037220.2	NM_013088.2	alternative	E2	2	41044762	41044884	5	46	shared	E2	
NP_037220.2	NM_013088.2	alternative	E3	3	41048060	41048254	46	111	shared	E3	
NP_037220.2	NM_013088.2	alternative	E4	4	41050918	41051110	111	175	shared	E4	
NP_037220.2	NM_013088.2	alternative	E5	5	41052488	41052604	176	214	shared	E5	
NP_037220.2	NM_013088.2	alternative	E6	6	41053022	41053135	215	252	shared	E6	
NP_037220.2	NM_013088.2	alternative	E7	7	41059954	41060050	253	285	shared	E7	
NP_037220.2	NM_013088.2	alternative	E8	8	41062730	41062809	285	311	shared	E8	
NP_037220.2	NM_013088.2	alternative	E9	9	41062901	41063059	312	364	shared	E9	
NP_037220.2	NM_013088.2	alternative	E10	10	41066304	41066435	365	408	shared	E10	
NP_037220.2	NM_013088.2	alternative	E11	11	41070315	41070469	409	460	shifted	E11	
NP_037220.2	NM_013088.2	alternative	E12	12	41071323	41071390	460	483	shared	E12	
NP_037220.2	NM_013088.2	alternative	E13	13	41071822	41071973	483	533	shared	E13	
NP_037220.2	NM_013088.2	alternative	E14	14	41078856	41078968	534	571	shared	E14	
NP_037220.2	NM_013088.2	alternative	E15	15	41081353	41081422	571	593	shared	E15	
