exon_label	exon_number	protein_start_aa	protein_end_aa	length_aa	genomic_start	genomic_end	transcript_id
E1	1	1	66	66			ENSGACT00000078064
E2	2	66	112	47			ENSGACT00000078064
E3	3	112	135	24			ENSGACT00000078064
E4	4	136	176	41			ENSGACT00000078064
E5	5	177	240	64			ENSGACT00000078064
E6	6	240	277	38			ENSGACT00000078064
E7	7	277	318	42			ENSGACT00000078064
E8	8	318	364	47			ENSGACT00000078064
E9	9	365	429	65			ENSGACT00000078064
E10	10	429	475	47			ENSGACT00000078064
E11	11	476	539	64			ENSGACT00000078064
E12	12	539	580	42			ENSGACT00000078064
E13	13	581	637	57			ENSGACT00000078064
E14	14	637	662	26			ENSGACT00000078064
E15	15	662	746	85			ENSGACT00000078064
E16	16	746	792	47			ENSGACT00000078064
E17	17	793	856	64			ENSGACT00000078064
E18	18	856	915	60			ENSGACT00000078064
