species_id	gene_symbol	neighbor_symbol	side	order	orientation	classification	status	source
homo_sapiens	PTPN11	RPL6	upstream	1	-	same_scaffold_ordered	resolved	ncbi_gff
homo_sapiens	PTPN11	RPH3A	downstream	1	+	same_scaffold_ordered	resolved	ncbi_gff
homo_sapiens	PTPN11	HECTD4	upstream	2	-	same_scaffold_ordered	resolved	ncbi_gff
homo_sapiens	PTPN11	OAS1	downstream	2	+	same_scaffold_ordered	resolved	ncbi_gff
homo_sapiens	PTPN11	TRAFD1	upstream	3	+	same_scaffold_ordered	resolved	ncbi_gff
homo_sapiens	PTPN11	OAS3	downstream	3	+	same_scaffold_ordered	resolved	ncbi_gff
homo_sapiens	PTPN11	NAA25	upstream	4	-	same_scaffold_ordered	resolved	ncbi_gff
homo_sapiens	PTPN11	OAS2	downstream	4	+	same_scaffold_ordered	resolved	ncbi_gff
homo_sapiens	PTPN11	ERP29	upstream	5	+	same_scaffold_ordered	resolved	ncbi_gff
homo_sapiens	PTPN11	DTX1	downstream	5	+	same_scaffold_ordered	resolved	ncbi_gff
mus_musculus	PTPN11	Rph3a	downstream	1	-	same_scaffold_ordered	resolved	ncbi_gff
mus_musculus	PTPN11	Rpl6	upstream	1	+	same_scaffold_ordered	resolved	ncbi_gff
mus_musculus	PTPN11	Oas1d	downstream	2	+	same_scaffold_ordered	resolved	ncbi_gff
mus_musculus	PTPN11	Hectd4	upstream	2	+	same_scaffold_ordered	resolved	ncbi_gff
mus_musculus	PTPN11	Oas1a	downstream	3	-	same_scaffold_ordered	resolved	ncbi_gff
mus_musculus	PTPN11	Trafd1	upstream	3	-	same_scaffold_ordered	resolved	ncbi_gff
mus_musculus	PTPN11	Oas1g	downstream	4	-	same_scaffold_ordered	resolved	ncbi_gff
mus_musculus	PTPN11	Naa25	upstream	4	+	same_scaffold_ordered	resolved	ncbi_gff
mus_musculus	PTPN11	Oas1h	downstream	5	+	same_scaffold_ordered	resolved	ncbi_gff
mus_musculus	PTPN11	Erp29	upstream	5	-	same_scaffold_ordered	resolved	ncbi_gff
rattus_norvegicus	PTPN11	Rpl6	upstream	1	-	same_scaffold_ordered	resolved	ncbi_gff
rattus_norvegicus	PTPN11	Rph3a	downstream	1	+	same_scaffold_ordered	resolved	ncbi_gff
rattus_norvegicus	PTPN11	Trafd1	upstream	2	+	same_scaffold_ordered	resolved	ncbi_gff
rattus_norvegicus	PTPN11	Oas1i	downstream	2	+	same_scaffold_ordered	resolved	ncbi_gff
rattus_norvegicus	PTPN11	LOC100909911	upstream	3	-	same_scaffold_ordered	resolved	ncbi_gff
rattus_norvegicus	PTPN11	Oas1d	downstream	3	-	same_scaffold_ordered	resolved	ncbi_gff
rattus_norvegicus	PTPN11	Hectd4	upstream	4	-	same_scaffold_ordered	resolved	ncbi_gff
rattus_norvegicus	PTPN11	Oas1a	downstream	4	+	same_scaffold_ordered	resolved	ncbi_gff
rattus_norvegicus	PTPN11	LOC100364561	upstream	5	+	same_scaffold_ordered	resolved	ncbi_gff
rattus_norvegicus	PTPN11	Oas1h	downstream	5	-	same_scaffold_ordered	resolved	ncbi_gff
