exon_label	exon_number	protein_start_aa	protein_end_aa	length_aa	genomic_start	genomic_end	transcript_id
E1	1	1	21	21			XM_072931307.1
E2	2	21	107	87			XM_072931307.1
E3	3	107	196	90			XM_072931307.1
E4	4	196	221	26			XM_072931307.1
E5	5	221	277	57			XM_072931307.1
E6	6	278	319	42			XM_072931307.1
E7	7	319	382	64			XM_072931307.1
E8	8	383	431	49			XM_072931307.1
E9	9	431	499	69			XM_072931307.1
E10	10	499	549	51			XM_072931307.1
E11	11	549	590	42			XM_072931307.1
E12	12	590	627	38			XM_072931307.1
E13	13	627	690	64			XM_072931307.1
E14	14	691	731	41			XM_072931307.1
E15	15	732	755	24			XM_072931307.1
E16	16	755	801	47			XM_072931307.1
E17	17	801	836	36			XM_072931307.1
E18	18	837	891	55			XM_072931307.1
