exon_label	exon_number	protein_start_aa	protein_end_aa	length_aa	genomic_start	genomic_end	transcript_id
E1	1	1	55	55			ENSMUST00000117691
E2	2	56	91	36			ENSMUST00000117691
E3	3	91	137	47			ENSMUST00000117691
E4	4	137	160	24			ENSMUST00000117691
E5	5	161	201	41			ENSMUST00000117691
E6	6	202	265	64			ENSMUST00000117691
E7	7	265	302	38			ENSMUST00000117691
E8	8	302	343	42			ENSMUST00000117691
E9	9	343	393	51			ENSMUST00000117691
E10	10	394	461	68			ENSMUST00000117691
E11	11	461	510	50			ENSMUST00000117691
E12	12	511	574	64			ENSMUST00000117691
E13	13	574	615	42			ENSMUST00000117691
E14	14	616	672	57			ENSMUST00000117691
E15	15	672	698	27			ENSMUST00000117691
E16	16	698	787	90			ENSMUST00000117691
E17	17	787	822	36			ENSMUST00000117691
