species_id	protein_id	transcript_id	exon_id	exon_number	cds_start	cds_end	protein_start_aa	protein_end_aa	phase	confidence	source	normalized_strand	genomic_order	transcript_order	source_ordering_method
homo_sapiens	NP_001304849.1	NM_001317920.2	NP_001304849.1:cds1	1	31721655	31722218	1	188	0	gff_cds_derived	ncbi_gff	-1	2	1	already_transcript_order_minus_strand
homo_sapiens	NP_001304849.1	NM_001317920.2	NP_001304849.1:cds2	2	31665949	31666086	189	233	0	gff_cds_derived	ncbi_gff	-1	1	2	already_transcript_order_minus_strand
homo_sapiens	NP_001309168.1	NM_001322239.2	NP_001309168.1:cds1	1	31721655	31722218	1	188	0	gff_cds_derived	ncbi_gff	-1	2	1	already_transcript_order_minus_strand
homo_sapiens	NP_001309168.1	NM_001322239.2	NP_001309168.1:cds2	2	31665949	31666086	189	233	0	gff_cds_derived	ncbi_gff	-1	1	2	already_transcript_order_minus_strand
homo_sapiens	NP_001304850.1	NM_001317921.2	NP_001304850.1:cds1	1	31721655	31722218	1	188	0	gff_cds_derived	ncbi_gff	-1	2	1	already_transcript_order_minus_strand
homo_sapiens	NP_001304850.1	NM_001317921.2	NP_001304850.1:cds2	2	31665949	31666086	189	233	0	gff_cds_derived	ncbi_gff	-1	1	2	already_transcript_order_minus_strand
homo_sapiens	NP_001309169.1	NM_001322240.2	NP_001309169.1:cds1	1	31721655	31722218	1	188	0	gff_cds_derived	ncbi_gff	-1	2	1	already_transcript_order_minus_strand
homo_sapiens	NP_001309169.1	NM_001322240.2	NP_001309169.1:cds2	2	31665949	31666086	189	233	0	gff_cds_derived	ncbi_gff	-1	1	2	already_transcript_order_minus_strand
homo_sapiens	NP_001304848.1	NM_001317919.2	NP_001304848.1:cds1	1	31721655	31722218	1	188	0	gff_cds_derived	ncbi_gff	-1	2	1	already_transcript_order_minus_strand
homo_sapiens	NP_001304848.1	NM_001317919.2	NP_001304848.1:cds2	2	31665949	31666086	189	233	0	gff_cds_derived	ncbi_gff	-1	1	2	already_transcript_order_minus_strand
homo_sapiens	NP_001182.1	NM_001191.4	NP_001182.1:cds1	1	31721844	31722218	1	125	0	gff_cds_derived	ncbi_gff	-1	2	1	already_transcript_order_minus_strand
homo_sapiens	NP_001182.1	NM_001191.4	NP_001182.1:cds2	2	31665949	31666086	126	170	0	gff_cds_derived	ncbi_gff	-1	1	2	already_transcript_order_minus_strand
homo_sapiens	NP_612815.1	NM_138578.3	NP_612815.1:cds1	1	31721655	31722218	1	188	0	gff_cds_derived	ncbi_gff	-1	2	1	already_transcript_order_minus_strand
homo_sapiens	NP_612815.1	NM_138578.3	NP_612815.1:cds2	2	31665949	31666086	189	233	0	gff_cds_derived	ncbi_gff	-1	1	2	already_transcript_order_minus_strand
homo_sapiens	NP_001411260.1	NM_001424331.1	NP_001411260.1:cds1	1	31721655	31722218	1	188	0	gff_cds_derived	ncbi_gff	-1	2	1	already_transcript_order_minus_strand
homo_sapiens	NP_001411260.1	NM_001424331.1	NP_001411260.1:cds2	2	31665949	31666086	189	233	0	gff_cds_derived	ncbi_gff	-1	1	2	already_transcript_order_minus_strand
homo_sapiens	NP_001411261.1	NM_001424332.1	NP_001411261.1:cds1	1	31721655	31722218	1	188	0	gff_cds_derived	ncbi_gff	-1	2	1	already_transcript_order_minus_strand
homo_sapiens	NP_001411261.1	NM_001424332.1	NP_001411261.1:cds2	2	31665949	31666086	189	233	0	gff_cds_derived	ncbi_gff	-1	1	2	already_transcript_order_minus_strand
homo_sapiens	NP_001309171.1	NM_001322242.2	NP_001309171.1:cds1	1	31721655	31722218	1	188	0	gff_cds_derived	ncbi_gff	-1	2	1	already_transcript_order_minus_strand
homo_sapiens	NP_001309171.1	NM_001322242.2	NP_001309171.1:cds2	2	31665949	31666086	189	233	0	gff_cds_derived	ncbi_gff	-1	1	2	already_transcript_order_minus_strand
mus_musculus	NP_001276668.1	NM_001289739.2	NP_001276668.1:cds1	1	152671347	152671910	1	188	0	gff_cds_derived	ncbi_gff	-1	3	1	already_transcript_order_minus_strand
mus_musculus	NP_001276668.1	NM_001289739.2	NP_001276668.1:cds2	2	152609237	152609379	189	235	0	gff_cds_derived	ncbi_gff	-1	2	2	already_transcript_order_minus_strand
mus_musculus	NP_033873.3	NM_009743.6	NP_033873.3:cds1	1	152671347	152671910	1	188	0	gff_cds_derived	ncbi_gff	-1	2	1	already_transcript_order_minus_strand
mus_musculus	NP_033873.3	NM_009743.6	NP_033873.3:cds2	2	152624065	152624202	189	233	0	gff_cds_derived	ncbi_gff	-1	1	2	already_transcript_order_minus_strand
mus_musculus	NP_001403826.1	NM_001416897.1	NP_001403826.1:cds1	1	152671347	152671910	1	188	0	gff_cds_derived	ncbi_gff	-1	2	1	already_transcript_order_minus_strand
mus_musculus	NP_001403826.1	NM_001416897.1	NP_001403826.1:cds2	2	152624065	152624202	189	233	0	gff_cds_derived	ncbi_gff	-1	1	2	already_transcript_order_minus_strand
mus_musculus	NP_001403825.1	NM_001416896.1	NP_001403825.1:cds1	1	152671347	152671910	1	188	0	gff_cds_derived	ncbi_gff	-1	2	1	already_transcript_order_minus_strand
mus_musculus	NP_001403825.1	NM_001416896.1	NP_001403825.1:cds2	2	152624065	152624202	189	233	0	gff_cds_derived	ncbi_gff	-1	1	2	already_transcript_order_minus_strand
mus_musculus	NP_001403827.1	NM_001416898.1	NP_001403827.1:cds1	1	152671347	152671910	1	188	0	gff_cds_derived	ncbi_gff	-1	2	1	already_transcript_order_minus_strand
