species_id	scientific_name	target_gene	slot_x	is_target	neighbour_symbol	side	order	orientation	gene_id	placeholder	classification	status	orthology_confidence	distance_to_target
homo_sapiens	Homo sapiens	FGFR2	-5	False	PLEKHA1	upstream	5	+	GeneID:59338	False	exact	ortholog_supported	high	776250
homo_sapiens	Homo sapiens	FGFR2	-4	False	BTBD16	upstream	4	+	GeneID:118663	False	exact	ortholog_supported	high	672838
homo_sapiens	Homo sapiens	FGFR2	-3	False	TACC2	upstream	3	+	GeneID:10579	False	exact	ortholog_supported	high	390705
homo_sapiens	Homo sapiens	FGFR2	-2	False	NSMCE4A	upstream	2	-	GeneID:54780	False	exact	ortholog_supported	high	358633
homo_sapiens	Homo sapiens	FGFR2	-1	False	ATE1	upstream	1	-	GeneID:11101	False	exact	ortholog_supported	high	141966
homo_sapiens	Homo sapiens	FGFR2	0	True		target	0	-	GeneID:2263	False	target	target	target	0
homo_sapiens	Homo sapiens	FGFR2	1	False	WDR11	downstream	1	+	GeneID:55717	False	exact	ortholog_supported	high	568806
homo_sapiens	Homo sapiens	FGFR2	2	False	PLPP4	downstream	2	+	GeneID:196051	False	exact	ortholog_supported	high	886265
homo_sapiens	Homo sapiens	FGFR2	3	False	SEC23IP	downstream	3	+	GeneID:11196	False	exact	ortholog_supported	high	1533673
homo_sapiens	Homo sapiens	FGFR2	4	False	MCMBP	downstream	4	-	GeneID:79892	False	exact	ortholog_supported	high	1604749
homo_sapiens	Homo sapiens	FGFR2	5	False	INPP5F	downstream	5	+	GeneID:22876	False	exact	ortholog_supported	high	1649183
pan_troglodytes	Pan troglodytes	FGFR2	-5	False	PLEKHA1	upstream	5	+	GeneID:450790	False	exact	ortholog_supported	high	772218
pan_troglodytes	Pan troglodytes	FGFR2	-4	False	BTBD16	upstream	4	+	GeneID:742437	False	exact	ortholog_supported	high	669149
pan_troglodytes	Pan troglodytes	FGFR2	-3	False	TACC2	upstream	3	+	GeneID:742328	False	exact	ortholog_supported	high	394440
pan_troglodytes	Pan troglodytes	FGFR2	-2	False	NSMCE4A	upstream	2	-	GeneID:742274	False	exact	ortholog_supported	high	357399
pan_troglodytes	Pan troglodytes	FGFR2	-1	False	ATE1	upstream	1	-	GeneID:450786	False	exact	ortholog_supported	high	141227
pan_troglodytes	Pan troglodytes	FGFR2	0	True		target	0	-	GeneID:466220	False	target	target	target	0
pan_troglodytes	Pan troglodytes	FGFR2	1	False	WDR11	downstream	1	+	GeneID:450784	False	exact	ortholog_supported	high	562072
pan_troglodytes	Pan troglodytes	FGFR2	2	False	PLPP4	downstream	2	+	GeneID:741827	False	exact	ortholog_supported	high	883719
pan_troglodytes	Pan troglodytes	FGFR2	3	False	SEC23IP	downstream	3	+	GeneID:450782	False	exact	ortholog_supported	high	1543350
pan_troglodytes	Pan troglodytes	FGFR2	4	False	MCMBP	downstream	4	-	GeneID:450781	False	exact	ortholog_supported	high	1611572
pan_troglodytes	Pan troglodytes	FGFR2	5	False	INPP5F	downstream	5	+	GeneID:450780	False	exact	ortholog_supported	high	1656307
gorilla_gorilla_gorilla	Gorilla gorilla gorilla	FGFR2	-5	False	PLEKHA1	upstream	5	+	GeneID:101126217	False	exact	ortholog_supported	high	764120
gorilla_gorilla_gorilla	Gorilla gorilla gorilla	FGFR2	-4	False	BTBD16	upstream	4	+	GeneID:101125856	False	exact	ortholog_supported	high	661530
gorilla_gorilla_gorilla	Gorilla gorilla gorilla	FGFR2	-3	False	TACC2	upstream	3	+	GeneID:101125009	False	exact	ortholog_supported	high	386488
gorilla_gorilla_gorilla	Gorilla gorilla gorilla	FGFR2	-2	False	NSMCE4A	upstream	2	-	GeneID:101128882	False	exact	ortholog_supported	high	348483
gorilla_gorilla_gorilla	Gorilla gorilla gorilla	FGFR2	-1	False	ATE1	upstream	1	-	GeneID:101128164	False	exact	ortholog_supported	high	138692
gorilla_gorilla_gorilla	Gorilla gorilla gorilla	FGFR2	0	True		target	0	-	GeneID:101153046	False	target	target	target	0
gorilla_gorilla_gorilla	Gorilla gorilla gorilla	FGFR2	1	False	RPS2	downstream	1	+	GeneID:101151121	False	rbh	broad_homology_named	medium	90583
gorilla_gorilla_gorilla	Gorilla gorilla gorilla	FGFR2	2	False	WDR11	downstream	2	+	GeneID:101154496	False	exact	ortholog_supported	high	566406
gorilla_gorilla_gorilla	Gorilla gorilla gorilla	FGFR2	3	False	CCDC187	downstream	3	+	GeneID:134759250	False	weak	broad_homology_named	low	880360
gorilla_gorilla_gorilla	Gorilla gorilla gorilla	FGFR2	4	False	PLPP4	downstream	4	+	GeneID:101150028	False	exact	ortholog_supported	high	889260
gorilla_gorilla_gorilla	Gorilla gorilla gorilla	FGFR2	5	False	SEC23IP	downstream	5	+	GeneID:101146450	False	exact	ortholog_supported	high	1541208
pongo_abelii	Pongo abelii	FGFR2	-5	False	BTBD16	upstream	5	+	GeneID:100436678	False	exact	ortholog_supported	high	667051
pongo_abelii	Pongo abelii	FGFR2	-4	False	TACC2	upstream	4	+	GeneID:100436049	False	exact	ortholog_supported	high	420370
pongo_abelii	Pongo abelii	FGFR2	-3	False	NSMCE4A	upstream	3	-	GeneID:100434181	False	exact	ortholog_supported	high	355117
