species_id	protein_id	transcript_id	exon_number	exon_id	protein_start_aa	protein_end_aa	length_aa	cds_start	cds_end	phase	confidence	source
homo_sapiens	NP_001317366.1	NM_001330437.2	1	NP_001317366.1:cds1	1	5	5	112419112	112419125	0	gff_cds_derived	ncbi_gff
homo_sapiens	NP_001317366.1	NM_001330437.2	2	NP_001317366.1:cds2	5	46	42	112446276	112446398	1	gff_cds_derived	ncbi_gff
homo_sapiens	NP_001317366.1	NM_001330437.2	3	NP_001317366.1:cds3	46	111	66	112450318	112450512	1	gff_cds_derived	ncbi_gff
homo_sapiens	NP_001317366.1	NM_001330437.2	4	NP_001317366.1:cds4	111	175	65	112453195	112453387	1	gff_cds_derived	ncbi_gff
homo_sapiens	NP_001317366.1	NM_001330437.2	5	NP_001317366.1:cds5	176	214	39	112454564	112454680	0	gff_cds_derived	ncbi_gff
homo_sapiens	NP_001317366.1	NM_001330437.2	6	NP_001317366.1:cds6	215	252	38	112455950	112456063	0	gff_cds_derived	ncbi_gff
homo_sapiens	NP_001317366.1	NM_001330437.2	7	NP_001317366.1:cds7	253	285	33	112472944	112473040	0	gff_cds_derived	ncbi_gff
homo_sapiens	NP_001317366.1	NM_001330437.2	8	NP_001317366.1:cds8	285	311	27	112477651	112477730	2	gff_cds_derived	ncbi_gff
homo_sapiens	NP_001317366.1	NM_001330437.2	9	NP_001317366.1:cds9	312	364	53	112477857	112478015	0	gff_cds_derived	ncbi_gff
homo_sapiens	NP_001317366.1	NM_001330437.2	10	NP_001317366.1:cds10	365	408	44	112482074	112482205	0	gff_cds_derived	ncbi_gff
homo_sapiens	NP_001317366.1	NM_001330437.2	11	NP_001317366.1:cds11	409	464	56	112486463	112486629	0	gff_cds_derived	ncbi_gff
homo_sapiens	NP_001317366.1	NM_001330437.2	12	NP_001317366.1:cds12	464	487	24	112488443	112488510	1	gff_cds_derived	ncbi_gff
homo_sapiens	NP_001317366.1	NM_001330437.2	13	NP_001317366.1:cds13	487	537	51	112489024	112489175	2	gff_cds_derived	ncbi_gff
homo_sapiens	NP_001317366.1	NM_001330437.2	14	NP_001317366.1:cds14	538	575	38	112502144	112502256	0	gff_cds_derived	ncbi_gff
homo_sapiens	NP_001317366.1	NM_001330437.2	15	NP_001317366.1:cds15	575	597	23	112504695	112504764	1	gff_cds_derived	ncbi_gff
homo_sapiens	NP_002825.3	NM_002834.5	1	NP_002825.3:cds1	1	5	5	112419112	112419125	0	gff_cds_derived	ncbi_gff
homo_sapiens	NP_002825.3	NM_002834.5	2	NP_002825.3:cds2	5	46	42	112446276	112446398	1	gff_cds_derived	ncbi_gff
homo_sapiens	NP_002825.3	NM_002834.5	3	NP_002825.3:cds3	46	111	66	112450318	112450512	1	gff_cds_derived	ncbi_gff
homo_sapiens	NP_002825.3	NM_002834.5	4	NP_002825.3:cds4	111	175	65	112453195	112453387	1	gff_cds_derived	ncbi_gff
homo_sapiens	NP_002825.3	NM_002834.5	5	NP_002825.3:cds5	176	214	39	112454564	112454680	0	gff_cds_derived	ncbi_gff
homo_sapiens	NP_002825.3	NM_002834.5	6	NP_002825.3:cds6	215	252	38	112455950	112456063	0	gff_cds_derived	ncbi_gff
homo_sapiens	NP_002825.3	NM_002834.5	7	NP_002825.3:cds7	253	285	33	112472944	112473040	0	gff_cds_derived	ncbi_gff
homo_sapiens	NP_002825.3	NM_002834.5	8	NP_002825.3:cds8	285	311	27	112477651	112477730	2	gff_cds_derived	ncbi_gff
homo_sapiens	NP_002825.3	NM_002834.5	9	NP_002825.3:cds9	312	364	53	112477857	112478015	0	gff_cds_derived	ncbi_gff
homo_sapiens	NP_002825.3	NM_002834.5	10	NP_002825.3:cds10	365	408	44	112482074	112482205	0	gff_cds_derived	ncbi_gff
homo_sapiens	NP_002825.3	NM_002834.5	11	NP_002825.3:cds11	409	460	52	112486475	112486629	0	gff_cds_derived	ncbi_gff
homo_sapiens	NP_002825.3	NM_002834.5	12	NP_002825.3:cds12	460	483	24	112488443	112488510	1	gff_cds_derived	ncbi_gff
homo_sapiens	NP_002825.3	NM_002834.5	13	NP_002825.3:cds13	483	533	51	112489024	112489175	2	gff_cds_derived	ncbi_gff
homo_sapiens	NP_002825.3	NM_002834.5	14	NP_002825.3:cds14	534	571	38	112502144	112502256	0	gff_cds_derived	ncbi_gff
homo_sapiens	NP_002825.3	NM_002834.5	15	NP_002825.3:cds15	571	593	23	112504695	112504764	1	gff_cds_derived	ncbi_gff
homo_sapiens	XP_011536915.1	XM_011538613.3	1	XP_011536915.1:cds1	1	5	5	112419112	112419125	0	gff_cds_derived	ncbi_gff
homo_sapiens	XP_011536915.1	XM_011538613.3	2	XP_011536915.1:cds2	5	46	42	112446276	112446398	1	gff_cds_derived	ncbi_gff
homo_sapiens	XP_011536915.1	XM_011538613.3	3	XP_011536915.1:cds3	46	110	65	112450321	112450512	1	gff_cds_derived	ncbi_gff
homo_sapiens	XP_011536915.1	XM_011538613.3	4	XP_011536915.1:cds4	110	174	65	112453195	112453387	1	gff_cds_derived	ncbi_gff
homo_sapiens	XP_011536915.1	XM_011538613.3	5	XP_011536915.1:cds5	175	213	39	112454564	112454680	0	gff_cds_derived	ncbi_gff
homo_sapiens	XP_011536915.1	XM_011538613.3	6	XP_011536915.1:cds6	214	251	38	112455950	112456063	0	gff_cds_derived	ncbi_gff
homo_sapiens	XP_011536915.1	XM_011538613.3	7	XP_011536915.1:cds7	252	284	33	112472944	112473040	0	gff_cds_derived	ncbi_gff
homo_sapiens	XP_011536915.1	XM_011538613.3	8	XP_011536915.1:cds8	284	310	27	112477651	112477730	2	gff_cds_derived	ncbi_gff
homo_sapiens	XP_011536915.1	XM_011538613.3	9	XP_011536915.1:cds9	311	363	53	112477857	112478015	0	gff_cds_derived	ncbi_gff
homo_sapiens	XP_011536915.1	XM_011538613.3	10	XP_011536915.1:cds10	364	407	44	112482074	112482205	0	gff_cds_derived	ncbi_gff
homo_sapiens	XP_011536915.1	XM_011538613.3	11	XP_011536915.1:cds11	408	463	56	112486463	112486629	0	gff_cds_derived	ncbi_gff
homo_sapiens	XP_011536915.1	XM_011538613.3	12	XP_011536915.1:cds12	463	486	24	112488443	112488510	1	gff_cds_derived	ncbi_gff
homo_sapiens	XP_011536915.1	XM_011538613.3	13	XP_011536915.1:cds13	486	536	51	112489024	112489175	2	gff_cds_derived	ncbi_gff
homo_sapiens	XP_011536915.1	XM_011538613.3	14	XP_011536915.1:cds14	537	574	38	112502144	112502256	0	gff_cds_derived	ncbi_gff
homo_sapiens	XP_011536915.1	XM_011538613.3	15	XP_011536915.1:cds15	574	596	23	112504695	112504764	1	gff_cds_derived	ncbi_gff
homo_sapiens	NP_001361554.1	NM_001374625.1	1	NP_001361554.1:cds1	1	5	5	112419112	112419125	0	gff_cds_derived	ncbi_gff
homo_sapiens	NP_001361554.1	NM_001374625.1	2	NP_001361554.1:cds2	5	46	42	112446276	112446398	1	gff_cds_derived	ncbi_gff
homo_sapiens	NP_001361554.1	NM_001374625.1	3	NP_001361554.1:cds3	46	110	65	112450321	112450512	1	gff_cds_derived	ncbi_gff
homo_sapiens	NP_001361554.1	NM_001374625.1	4	NP_001361554.1:cds4	110	174	65	112453195	112453387	1	gff_cds_derived	ncbi_gff
homo_sapiens	NP_001361554.1	NM_001374625.1	5	NP_001361554.1:cds5	175	213	39	112454564	112454680	0	gff_cds_derived	ncbi_gff
homo_sapiens	NP_001361554.1	NM_001374625.1	6	NP_001361554.1:cds6	214	251	38	112455950	112456063	0	gff_cds_derived	ncbi_gff
homo_sapiens	NP_001361554.1	NM_001374625.1	7	NP_001361554.1:cds7	252	284	33	112472944	112473040	0	gff_cds_derived	ncbi_gff
homo_sapiens	NP_001361554.1	NM_001374625.1	8	NP_001361554.1:cds8	284	310	27	112477651	112477730	2	gff_cds_derived	ncbi_gff
homo_sapiens	NP_001361554.1	NM_001374625.1	9	NP_001361554.1:cds9	311	363	53	112477857	112478015	0	gff_cds_derived	ncbi_gff
homo_sapiens	NP_001361554.1	NM_001374625.1	10	NP_001361554.1:cds10	364	407	44	112482074	112482205	0	gff_cds_derived	ncbi_gff
homo_sapiens	NP_001361554.1	NM_001374625.1	11	NP_001361554.1:cds11	408	459	52	112486475	112486629	0	gff_cds_derived	ncbi_gff
homo_sapiens	NP_001361554.1	NM_001374625.1	12	NP_001361554.1:cds12	459	482	24	112488443	112488510	1	gff_cds_derived	ncbi_gff
homo_sapiens	NP_001361554.1	NM_001374625.1	13	NP_001361554.1:cds13	482	532	51	112489024	112489175	2	gff_cds_derived	ncbi_gff
homo_sapiens	NP_001361554.1	NM_001374625.1	14	NP_001361554.1:cds14	533	570	38	112502144	112502256	0	gff_cds_derived	ncbi_gff
homo_sapiens	NP_001361554.1	NM_001374625.1	15	NP_001361554.1:cds15	570	592	23	112504695	112504764	1	gff_cds_derived	ncbi_gff
homo_sapiens	NP_542168.1	NM_080601.3	1	NP_542168.1:cds1	1	5	5	112419112	112419125	0	gff_cds_derived	ncbi_gff
homo_sapiens	NP_542168.1	NM_080601.3	2	NP_542168.1:cds2	5	46	42	112446276	112446398	1	gff_cds_derived	ncbi_gff
homo_sapiens	NP_542168.1	NM_080601.3	3	NP_542168.1:cds3	46	111	66	112450318	112450512	1	gff_cds_derived	ncbi_gff
homo_sapiens	NP_542168.1	NM_080601.3	4	NP_542168.1:cds4	111	175	65	112453195	112453387	1	gff_cds_derived	ncbi_gff
homo_sapiens	NP_542168.1	NM_080601.3	5	NP_542168.1:cds5	176	214	39	112454564	112454680	0	gff_cds_derived	ncbi_gff
homo_sapiens	NP_542168.1	NM_080601.3	6	NP_542168.1:cds6	215	252	38	112455950	112456063	0	gff_cds_derived	ncbi_gff
homo_sapiens	NP_542168.1	NM_080601.3	7	NP_542168.1:cds7	253	285	33	112472944	112473040	0	gff_cds_derived	ncbi_gff
homo_sapiens	NP_542168.1	NM_080601.3	8	NP_542168.1:cds8	285	311	27	112477651	112477730	2	gff_cds_derived	ncbi_gff
homo_sapiens	NP_542168.1	NM_080601.3	9	NP_542168.1:cds9	312	364	53	112477857	112478015	0	gff_cds_derived	ncbi_gff
homo_sapiens	NP_542168.1	NM_080601.3	10	NP_542168.1:cds10	365	408	44	112482074	112482205	0	gff_cds_derived	ncbi_gff
homo_sapiens	NP_542168.1	NM_080601.3	11	NP_542168.1:cds11	409	460	52	112486475	112486633	0	gff_cds_derived	ncbi_gff
