analysis_id	gene_symbol	species_id	event_candidate_id	evidence_source	evidence_status	transcript_a	transcript_b	protein_a	protein_b	region_start_aa	region_end_aa	region_length_aa	event_type_candidate	exon_aligned	confidence	confidence_reason	notes
BCL2L1_core_only_pilot	BCL2L1	homo_sapiens	BCL2L1:homo_sapiens:126-188:001	protein_isoform_difference	exploratory	NM_001317920.2	NM_001191.4	NP_001304849.1	NP_001182.1	126	188	63	deletion	no	medium	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
BCL2L1_core_only_pilot	BCL2L1	homo_sapiens	BCL2L1:homo_sapiens:126-188:002	protein_isoform_difference	exploratory	NM_001322239.2	NM_001191.4	NP_001309168.1	NP_001182.1	126	188	63	deletion	no	medium	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
BCL2L1_core_only_pilot	BCL2L1	homo_sapiens	BCL2L1:homo_sapiens:126-188:003	protein_isoform_difference	exploratory	NM_001317921.2	NM_001191.4	NP_001304850.1	NP_001182.1	126	188	63	deletion	no	medium	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
BCL2L1_core_only_pilot	BCL2L1	homo_sapiens	BCL2L1:homo_sapiens:126-188:004	protein_isoform_difference	exploratory	NM_001322240.2	NM_001191.4	NP_001309169.1	NP_001182.1	126	188	63	deletion	no	medium	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
BCL2L1_core_only_pilot	BCL2L1	homo_sapiens	BCL2L1:homo_sapiens:126-188:005	protein_isoform_difference	exploratory	NM_001317919.2	NM_001191.4	NP_001304848.1	NP_001182.1	126	188	63	deletion	no	medium	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
BCL2L1_core_only_pilot	BCL2L1	homo_sapiens	BCL2L1:homo_sapiens:126-188:006	protein_isoform_difference	exploratory	NM_001191.4	NM_138578.3	NP_001182.1	NP_612815.1	126	188	63	insertion	no	medium	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
BCL2L1_core_only_pilot	BCL2L1	homo_sapiens	BCL2L1:homo_sapiens:126-188:007	protein_isoform_difference	exploratory	NM_001191.4	NM_001424331.1	NP_001182.1	NP_001411260.1	126	188	63	insertion	no	medium	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
BCL2L1_core_only_pilot	BCL2L1	homo_sapiens	BCL2L1:homo_sapiens:126-188:008	protein_isoform_difference	exploratory	NM_001191.4	NM_001424332.1	NP_001182.1	NP_001411261.1	126	188	63	insertion	no	medium	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
BCL2L1_core_only_pilot	BCL2L1	homo_sapiens	BCL2L1:homo_sapiens:126-188:009	protein_isoform_difference	exploratory	NM_001191.4	NM_001322242.2	NP_001182.1	NP_001309171.1	126	188	63	insertion	no	medium	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
BCL2L1_core_only_pilot	BCL2L1	mus_musculus	BCL2L1:mus_musculus:189-221:010	protein_isoform_difference	exploratory	NM_001289739.2	NM_009743.6	NP_001276668.1	NP_033873.3	189	221	33	insertion	no	medium	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
