exon_label	exon_number	protein_start_aa	protein_end_aa	length_aa	genomic_start	genomic_end	transcript_id
E1	1	1	7	7			XM_062976012.1
E2	2	7	94	88			XM_062976012.1
E3	3	94	179	86			XM_062976012.1
E4	4	179	204	26			XM_062976012.1
E5	5	204	260	57			XM_062976012.1
E6	6	261	302	42			XM_062976012.1
E7	7	302	365	64			XM_062976012.1
E8	8	366	414	49			XM_062976012.1
E9	9	414	482	69			XM_062976012.1
E10	10	482	532	51			XM_062976012.1
E11	11	532	573	42			XM_062976012.1
E12	12	573	610	38			XM_062976012.1
E13	13	610	673	64			XM_062976012.1
E14	14	674	714	41			XM_062976012.1
E15	15	715	738	24			XM_062976012.1
E16	16	738	784	47			XM_062976012.1
E17	17	784	819	36			XM_062976012.1
E18	18	820	873	54			XM_062976012.1
