position_in_figure	side	order_from_target	locus_symbol	locus_kind	transcription_direction	annotation_source
1	upstream	5	Erp29	annotated_neighbour	-	ncbi_gff
2	upstream	4	Naa25	annotated_neighbour	+	ncbi_gff
3	upstream	3	Trafd1	annotated_neighbour	-	ncbi_gff
4	upstream	2	Hectd4	annotated_neighbour	+	ncbi_gff
5	upstream	1	Rpl6	annotated_neighbour	+	ncbi_gff
6	target	0	PTPN11	target	-	ncbi_gff
7	downstream	1	Rph3a	annotated_neighbour	-	ncbi_gff
8	downstream	2	Oas1d	annotated_neighbour	+	ncbi_gff
9	downstream	3	Oas1a	annotated_neighbour	-	ncbi_gff
10	downstream	4	Oas1g	annotated_neighbour	-	ncbi_gff
11	downstream	5	Oas1h	annotated_neighbour	+	ncbi_gff
