website_view	scientific_question	exported_figure	source_table	generated_by	role_in_thesis	claim_scope
Primary-protein MSA overview	Where do the selected primary proteins agree, differ or contain indels?	cmp_primary_msa_overview.svg	cmp_primary_msa_overview.tsv	scripts/plotting/generate_comparative_gallery_figures.py	Framework result and QC	Exploratory
MSA-aligned exon architecture	Where do coding exons fall on a common alignment coordinate?	cmp_msa_aligned_exon_architecture.svg	cmp_msa_aligned_exon_architecture.tsv	scripts/plotting/generate_comparative_gallery_figures.py	Framework result	Descriptive
Native exon architecture	How are coding exons distributed along each protein’s native sequence?	cmp_native_exon_architecture.svg	cmp_native_exon_architecture.tsv	scripts/plotting/generate_comparative_gallery_figures.py	Framework result	Descriptive
Domain architecture on MSA coordinates	Do representative domain intervals occupy comparable aligned regions?	cmp_domain_architecture_msa.svg	cmp_domain_architecture_msa.tsv	scripts/plotting/generate_comparative_gallery_figures.py	Framework result	Descriptive
Domain architecture on native coordinates	Which domains and membrane segments occur on each protein’s own axis?	cmp_domain_architecture_native.svg	cmp_domain_architecture_native.tsv	scripts/plotting/generate_comparative_gallery_figures.py	Framework result	Descriptive
Exon and domain architecture on MSA coordinates	How do coding exons and domain intervals relate on the alignment axis?	cmp_exon_domain_architecture_msa.svg	cmp_exon_domain_architecture_msa.tsv	scripts/plotting/generate_comparative_gallery_figures.py	Framework result	Descriptive
Exon and domain architecture on native coordinates	Where do exon boundaries fall relative to domain edges in each protein?	cmp_exon_domain_architecture_native.svg	cmp_exon_domain_architecture_native.tsv	scripts/plotting/generate_comparative_gallery_figures.py	Framework result	Descriptive
Domain annotation matrix	Which representative domain annotations are available for each selected model?	cmp_domain_annotation_matrix.svg	cmp_domain_annotation_matrix.tsv	scripts/plotting/generate_comparative_gallery_figures.py	Framework result and QC	Descriptive
Boundary matrix	How are exon-to-domain boundary classes distributed across species and isoforms?	cmp_boundary_matrix.svg	cmp_boundary_matrix.tsv	scripts/plotting/generate_comparative_gallery_figures.py	Case-study overview	Exploratory
Paired signed distance	How do paired IIIb and IIIc distances compare within species?	cmp_paired_signed_distance.svg	cmp_paired_signed_distance.tsv	scripts/plotting/generate_comparative_gallery_figures.py	Case-study overview	Exploratory
Boundary-position consistency	How stable are projected boundary positions across the selected cohort?	cmp_boundary_position_consistency.svg	cmp_boundary_position_consistency.tsv	scripts/plotting/generate_comparative_gallery_figures.py	Framework result and QC	Exploratory
Local boundary architecture	What does the local exon–domain relation look like around the selected boundary?	cmp_local_boundary_architecture.svg	cmp_boundary_matrix.tsv	scripts/plotting/generate_comparative_gallery_figures.py	Framework result	Illustrative
Isoform diversity	How many selected models and isoform labels are represented per species?	cmp_isoform_diversity.svg	cmp_isoform_diversity.tsv	scripts/plotting/generate_comparative_gallery_figures.py	Cohort description	Descriptive
Comparative synteny	Is the FGFR2 locus supported by a conserved neighbourhood across species?	cmp_comparative_synteny.svg	cmp_comparative_synteny.tsv	scripts/plotting/generate_comparative_gallery_figures.py	Framework context and QC	Supporting evidence
Synteny-neighbour conservation	Which neighbouring loci are recovered across the species set?	cmp_synteny_neighbour_conservation.svg	cmp_synteny_neighbour_conservation.tsv	scripts/plotting/generate_comparative_gallery_figures.py	Supplementary framework context	Supporting evidence
