exon_label	exon_number	protein_start_aa	protein_end_aa	length_aa	genomic_start	genomic_end	transcript_id
E1	1	1	56	56			XM_069611955.1
E2	2	56	145	90			XM_069611955.1
E3	3	145	170	26			XM_069611955.1
E4	4	170	226	57			XM_069611955.1
E5	5	227	268	42			XM_069611955.1
E6	6	268	331	64			XM_069611955.1
E7	7	332	380	49			XM_069611955.1
E8	8	380	447	68			XM_069611955.1
E9	9	447	497	51			XM_069611955.1
E10	10	497	538	42			XM_069611955.1
E11	11	538	575	38			XM_069611955.1
E12	12	575	638	64			XM_069611955.1
E13	13	639	679	41			XM_069611955.1
E14	14	680	703	24			XM_069611955.1
E15	15	703	749	47			XM_069611955.1
E16	16	749	784	36			XM_069611955.1
E17	17	785	838	54			XM_069611955.1
