transition	boundary_position_aa	left_exon	right_exon	nearest_domain_instance_id	nearest_domain_accession	nearest_domain_label	nearest_domain_start	nearest_domain_end	nearest_edge	nearest_edge_position	signed_distance_aa	absolute_distance_aa	boundary_class
E1 → E2	55	E1	E2	IPR007110:71-132	IPR007110	Ig1	71	132	start	71	-16	16	outside_annotated_domains
E2 → E3	91	E2	E3	IPR007110:71-132	IPR007110	Ig1	71	132	start	71	20	20	inside_domain
E3 → E4	137	E3	E4	IPR007110:71-132	IPR007110	Ig1	71	132	end	132	5	5	near_domain_edge
E4 → E5	160	E4	E5	IPR007110:71-132	IPR007110	Ig1	71	132	end	132	28	28	outside_annotated_domains
E5 → E6	201	E5	E6	IPR013098:192-270	IPR013098	Ig2	192	270	start	192	9	9	inside_domain
E6 → E7	265	E6	E7	IPR013098:192-270	IPR013098	Ig2	192	270	end	270	-5	5	near_domain_edge
E7 → E8	302	E7	E8	IPR013098:285-379	IPR013098	Ig3	285	379	start	285	17	17	inside_domain
E8 → E9	343	E8	E9	IPR013098:285-379	IPR013098	Ig3	285	379	end	379	-36	36	inside_domain
E9 → E10	389	E9	E10	IPR013098:285-379	IPR013098	Ig3	285	379	end	379	10	10	outside_annotated_domains
E10 → E11	456	E10	E11	IPR001245:454-785	IPR001245	kinase	454	785	start	454	2	2	near_domain_edge
E11 → E12	502	E11	E12	IPR001245:454-785	IPR001245	kinase	454	785	start	454	48	48	inside_domain
E12 → E13	566	E12	E13	IPR001245:454-785	IPR001245	kinase	454	785	start	454	112	112	inside_domain
E13 → E14	607	E13	E14	IPR001245:454-785	IPR001245	kinase	454	785	start	454	153	153	inside_domain
E14 → E15	666	E14	E15	IPR001245:454-785	IPR001245	kinase	454	785	end	785	-119	119	inside_domain
E15 → E16	691	E15	E16	IPR001245:454-785	IPR001245	kinase	454	785	end	785	-94	94	inside_domain
E16 → E17	777	E16	E17	IPR001245:454-785	IPR001245	kinase	454	785	end	785	-8	8	inside_domain
