check	scope	status	detail
final_tables_agree_with_truth_table	post_rescue_truth	pass	ok
no_upstream_label_as_biological_truth	truth_table	pass	ok
no_stale_recommended_use_overrides_post_rescue	species_qc_master	pass	ok
figure6_review_rows_flagged	figure6	pass	ok
human_mouse_controls_pass	controls	pass	ok
gorilla_canis_pongo_rescue_status_consistent	rescued_controls	pass	gorilla/canis IIIb + pongo IIIc primary; canis IIIc + pongo IIIb supplement
synteny_msa_propagated_to_master	species_qc_master	pass	ok
fasta_md5_checksums_match_truth	freeze	pass	ok
figure_tables_from_current_run_with_sync_cols	figure_tables	pass	ok
deprecated_outputs_not_used_in_closure_figures	figure_sources	pass	ok
rescued_validated_not_flagged_as_problem	truth_table	pass	ok
primary_final_isoform_equals_validated	truth_table	pass	ok
figure_input_tables_exist	figure_tables	pass	ok
no_primary_row_visually_flagged_review	figure_tables	pass	ok
rescued_validated_not_review_styled_in_figures	figure_tables	pass	ok
canis_IIIc_pongo_IIIb_supplement_in_figures	figure_tables	pass	ok
gorilla_consistent_in_figure_tables	figure_tables	pass	ok
figure6_uses_final_truth_not_stale_review	figure6	pass	ok
figure2_3_use_post_rescue_not_stale	figure_tables	pass	ok
figure5_real_msa_integrity_not_histogram	figure5	pass	ok
figure8_labels_present	figure8	pass	ok
review_cases_pongo_IIIb_canis_IIIc_explained	review_explanation	pass	ok
no_row_rescued_and_unresolved	review_explanation	pass	ok
figure3B_motif_map_present_informative	figure3B	pass	discriminating positions=19
figure3C_exon_to_protein_map_present	figure3C	pass	ok
rescued_validated_not_review_in_3C_4	figure_tables	pass	ok
figure4_positive_not_exaggerated	figure4	pass	ok
species_list_path_resolved	run_mode	pass	resolved: reference/Species_list_final_30.txt
figure6B_present_final_labels_no_review_in_main	figure6B	pass	ok
figure3B_motif_map_kept	figure3B	pass	ok
evidence_stack_no_unused_columns	figure8	pass	ok
post_rescue_cross_table_gate	module12	pass	ok
synteny_validation_gate	synteny	pass	ok
