species_id	scientific_name	comparable_domain_group_id	interpro_accession	label	state	domain_instance_id	native_start	native_end	msa_start_column	msa_end_column
homo_sapiens	Homo sapiens	CDG1	IPR001245	Ser-Thr/Tyr kinase domain	detected	IPR001245:437-770	437	770	678	1011
pan_troglodytes	Pan troglodytes	CDG1	IPR001245	Ser-Thr/Tyr kinase domain	detected	IPR001245:456-789	456	789	678	1011
gorilla_gorilla_gorilla	Gorilla gorilla gorilla	CDG1	IPR001245	Ser-Thr/Tyr kinase domain	detected	IPR001245:339-672	339	672	678	1011
pongo_abelii	Pongo abelii	CDG1	IPR001245	Ser-Thr/Tyr kinase domain	detected	IPR001245:454-787	454	787	678	1011
macaca_mulatta	Macaca mulatta	CDG1	IPR001245	Ser-Thr/Tyr kinase domain	detected	IPR001245:454-787	454	787	678	1011
callithrix_jacchus	Callithrix jacchus	CDG1	IPR001245	Ser-Thr/Tyr kinase domain	detected	IPR001245:456-789	456	789	678	1011
mus_musculus	Mus musculus	CDG1	IPR001245	Ser-Thr/Tyr kinase domain	detected	IPR001245:456-789	456	789	678	1011
rattus_norvegicus	Rattus norvegicus	CDG1	IPR001245	Ser-Thr/Tyr kinase domain	detected	IPR001245:456-789	456	789	678	1011
oryctolagus_cuniculus	Oryctolagus cuniculus	CDG1	IPR001245	Ser-Thr/Tyr kinase domain	detected	IPR001245:456-789	456	789	678	1011
canis_lupus_familiaris	Canis lupus familiaris	CDG1	IPR001245	Ser-Thr/Tyr kinase domain	detected	IPR001245:323-656	323	656	678	1011
felis_catus	Felis catus	CDG1	IPR001245	Ser-Thr/Tyr kinase domain	detected	IPR001245:456-789	456	789	678	1011
bos_taurus	Bos taurus	CDG1	IPR001245	Ser-Thr/Tyr kinase domain	detected	IPR001245:456-789	456	789	678	1011
sus_scrofa	Sus scrofa	CDG1	IPR001245	Ser-Thr/Tyr kinase domain	detected	IPR001245:456-780	456	780	678	1002
equus_caballus	Equus caballus	CDG1	IPR001245	Ser-Thr/Tyr kinase domain	detected	IPR001245:506-839	506	839	678	1011
ovis_aries	Ovis aries	CDG1	IPR001245	Ser-Thr/Tyr kinase domain	detected	IPR001245:456-789	456	789	678	1011
monodelphis_domestica	Monodelphis domestica	CDG1	IPR001245	Ser-Thr/Tyr kinase domain	detected	IPR001245:455-788	455	788	678	1011
ornithorhynchus_anatinus	Ornithorhynchus anatinus	CDG1	IPR001245	Ser-Thr/Tyr kinase domain	detected	IPR001245:455-788	455	788	678	1011
gallus_gallus	Gallus gallus	CDG1	IPR001245	Ser-Thr/Tyr kinase domain	detected	IPR001245:458-791	458	791	678	1011
