species	isoform	final_isoform_label	transcript_id	protein_id	protein_length	boundary_type	boundary_label	boundary_aa	nearest_domain_label	nearest_domain_class	nearest_domain_start_aa	nearest_domain_end_aa	nearest_domain_boundary_type	distance_to_nearest_domain_boundary	boundary_class	architecture_qc_status	exon_block_display_status	source_coordinate_status	notes
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	cassette_start	exon 7 (IIIb cassette)	335	Ig3	Ig-like	284	378	end	43	within_domain	architecture_supported	figure3C_native	keep	cassette boundary (primary thesis metric)
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	cassette_end	exon 7 (IIIb cassette)	383	Ig3	Ig-like	284	378	end	5	near_domain_boundary	architecture_supported	figure3C_native	keep	cassette boundary (primary thesis metric)
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	coding_exon_start	exon 1 (CDS1)	1	Ig1	Ig-like	67	131	start	66	between_domains	architecture_supported	figure3C_native	keep	coding-exon boundary (context)
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	coding_exon_end	exon 1 (CDS1)	59	Ig1	Ig-like	67	131	start	8	near_domain_boundary	architecture_supported	figure3C_native	keep	coding-exon boundary (context)
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	coding_exon_start	exon 2 (CDS2)	59	Ig1	Ig-like	67	131	start	8	near_domain_boundary	architecture_supported	figure3C_native	keep	coding-exon boundary (context)
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	coding_exon_end	exon 2 (CDS2)	148	Ig1	Ig-like	67	131	end	17	between_domains	architecture_supported	figure3C_native	keep	coding-exon boundary (context)
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	coding_exon_start	exon 3 (CDS3)	148	Ig1	Ig-like	67	131	end	17	between_domains	architecture_supported	figure3C_native	keep	coding-exon boundary (context)
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	coding_exon_end	exon 3 (CDS3)	173	Ig2	Ig-like	192	269	start	19	between_domains	architecture_supported	figure3C_native	keep	coding-exon boundary (context)
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	coding_exon_start	exon 4 (CDS4)	173	Ig2	Ig-like	192	269	start	19	between_domains	architecture_supported	figure3C_native	keep	coding-exon boundary (context)
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	coding_exon_end	exon 4 (CDS4)	229	Ig2	Ig-like	192	269	start	37	within_domain	architecture_supported	figure3C_native	keep	coding-exon boundary (context)
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	coding_exon_start	exon 5 (CDS5)	230	Ig2	Ig-like	192	269	start	38	within_domain	architecture_supported	figure3C_native	keep	coding-exon boundary (context)
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	coding_exon_end	exon 5 (CDS5)	271	Ig2	Ig-like	192	269	end	2	aligned_to_domain_boundary	architecture_supported	figure3C_native	keep	coding-exon boundary (context)
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	coding_exon_start	exon 6 (CDS6)	271	Ig2	Ig-like	192	269	end	2	aligned_to_domain_boundary	architecture_supported	figure3C_native	keep	coding-exon boundary (context)
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	coding_exon_end	exon 6 (CDS6)	334	Ig3	Ig-like	284	378	end	44	within_domain	architecture_supported	figure3C_native	keep	coding-exon boundary (context)
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	coding_exon_start	exon 8 (CDS8)	383	Ig3	Ig-like	284	378	end	5	near_domain_boundary	architecture_supported	figure3C_native	keep	coding-exon boundary (context)
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	coding_exon_end	exon 8 (CDS8)	450	kinase	kinase	459	792	start	9	near_domain_boundary	architecture_supported	figure3C_native	keep	coding-exon boundary (context)
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	coding_exon_start	exon 9 (CDS9)	451	kinase	kinase	459	792	start	8	near_domain_boundary	architecture_supported	figure3C_native	keep	coding-exon boundary (context)
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	coding_exon_end	exon 9 (CDS9)	501	kinase	kinase	459	792	start	42	within_domain	architecture_supported	figure3C_native	keep	coding-exon boundary (context)
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	coding_exon_start	exon 10 (CDS10)	501	kinase	kinase	459	792	start	42	within_domain	architecture_supported	figure3C_native	keep	coding-exon boundary (context)
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	coding_exon_end	exon 10 (CDS10)	542	kinase	kinase	459	792	start	83	within_domain	architecture_supported	figure3C_native	keep	coding-exon boundary (context)
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	coding_exon_start	exon 11 (CDS11)	542	kinase	kinase	459	792	start	83	within_domain	architecture_supported	figure3C_native	keep	coding-exon boundary (context)
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	coding_exon_end	exon 11 (CDS11)	579	kinase	kinase	459	792	start	120	within_domain	architecture_supported	figure3C_native	keep	coding-exon boundary (context)
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	coding_exon_start	exon 12 (CDS12)	579	kinase	kinase	459	792	start	120	within_domain	architecture_supported	figure3C_native	keep	coding-exon boundary (context)
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	coding_exon_end	exon 12 (CDS12)	642	kinase	kinase	459	792	end	150	within_domain	architecture_supported	figure3C_native	keep	coding-exon boundary (context)
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	coding_exon_start	exon 13 (CDS13)	643	kinase	kinase	459	792	end	149	within_domain	architecture_supported	figure3C_native	keep	coding-exon boundary (context)
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	coding_exon_end	exon 13 (CDS13)	683	kinase	kinase	459	792	end	109	within_domain	architecture_supported	figure3C_native	keep	coding-exon boundary (context)
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	coding_exon_start	exon 14 (CDS14)	684	kinase	kinase	459	792	end	108	within_domain	architecture_supported	figure3C_native	keep	coding-exon boundary (context)
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	coding_exon_end	exon 14 (CDS14)	707	kinase	kinase	459	792	end	85	within_domain	architecture_supported	figure3C_native	keep	coding-exon boundary (context)
