species_id	protein_id	transcript_id	exon_id	exon_number	cds_start	cds_end	protein_start_aa	protein_end_aa	phase	confidence	source	normalized_strand	genomic_order	transcript_order	source_ordering_method
homo_sapiens	NP_001317366.1	NM_001330437.2	NP_001317366.1:cds1	1	112419112	112419125	1	5	0	gff_cds_derived	ncbi_gff	1	1	1	already_transcript_order_plus_strand
homo_sapiens	NP_001317366.1	NM_001330437.2	NP_001317366.1:cds2	2	112446276	112446398	5	46	1	gff_cds_derived	ncbi_gff	1	2	2	already_transcript_order_plus_strand
homo_sapiens	NP_001317366.1	NM_001330437.2	NP_001317366.1:cds3	3	112450318	112450512	46	111	1	gff_cds_derived	ncbi_gff	1	3	3	already_transcript_order_plus_strand
homo_sapiens	NP_001317366.1	NM_001330437.2	NP_001317366.1:cds4	4	112453195	112453387	111	175	1	gff_cds_derived	ncbi_gff	1	4	4	already_transcript_order_plus_strand
homo_sapiens	NP_001317366.1	NM_001330437.2	NP_001317366.1:cds5	5	112454564	112454680	176	214	0	gff_cds_derived	ncbi_gff	1	5	5	already_transcript_order_plus_strand
homo_sapiens	NP_001317366.1	NM_001330437.2	NP_001317366.1:cds6	6	112455950	112456063	215	252	0	gff_cds_derived	ncbi_gff	1	6	6	already_transcript_order_plus_strand
homo_sapiens	NP_001317366.1	NM_001330437.2	NP_001317366.1:cds7	7	112472944	112473040	253	285	0	gff_cds_derived	ncbi_gff	1	7	7	already_transcript_order_plus_strand
homo_sapiens	NP_001317366.1	NM_001330437.2	NP_001317366.1:cds8	8	112477651	112477730	285	311	2	gff_cds_derived	ncbi_gff	1	8	8	already_transcript_order_plus_strand
homo_sapiens	NP_001317366.1	NM_001330437.2	NP_001317366.1:cds9	9	112477857	112478015	312	364	0	gff_cds_derived	ncbi_gff	1	9	9	already_transcript_order_plus_strand
homo_sapiens	NP_001317366.1	NM_001330437.2	NP_001317366.1:cds10	10	112482074	112482205	365	408	0	gff_cds_derived	ncbi_gff	1	10	10	already_transcript_order_plus_strand
homo_sapiens	NP_001317366.1	NM_001330437.2	NP_001317366.1:cds11	11	112486463	112486629	409	464	0	gff_cds_derived	ncbi_gff	1	11	11	already_transcript_order_plus_strand
homo_sapiens	NP_001317366.1	NM_001330437.2	NP_001317366.1:cds12	12	112488443	112488510	464	487	1	gff_cds_derived	ncbi_gff	1	12	12	already_transcript_order_plus_strand
homo_sapiens	NP_001317366.1	NM_001330437.2	NP_001317366.1:cds13	13	112489024	112489175	487	537	2	gff_cds_derived	ncbi_gff	1	13	13	already_transcript_order_plus_strand
homo_sapiens	NP_001317366.1	NM_001330437.2	NP_001317366.1:cds14	14	112502144	112502256	538	575	0	gff_cds_derived	ncbi_gff	1	14	14	already_transcript_order_plus_strand
homo_sapiens	NP_001317366.1	NM_001330437.2	NP_001317366.1:cds15	15	112504695	112504764	575	597	1	gff_cds_derived	ncbi_gff	1	15	15	already_transcript_order_plus_strand
homo_sapiens	NP_002825.3	NM_002834.5	NP_002825.3:cds1	1	112419112	112419125	1	5	0	gff_cds_derived	ncbi_gff	1	1	1	already_transcript_order_plus_strand
homo_sapiens	NP_002825.3	NM_002834.5	NP_002825.3:cds2	2	112446276	112446398	5	46	1	gff_cds_derived	ncbi_gff	1	2	2	already_transcript_order_plus_strand
homo_sapiens	NP_002825.3	NM_002834.5	NP_002825.3:cds3	3	112450318	112450512	46	111	1	gff_cds_derived	ncbi_gff	1	3	3	already_transcript_order_plus_strand
homo_sapiens	NP_002825.3	NM_002834.5	NP_002825.3:cds4	4	112453195	112453387	111	175	1	gff_cds_derived	ncbi_gff	1	4	4	already_transcript_order_plus_strand
homo_sapiens	NP_002825.3	NM_002834.5	NP_002825.3:cds5	5	112454564	112454680	176	214	0	gff_cds_derived	ncbi_gff	1	5	5	already_transcript_order_plus_strand
homo_sapiens	NP_002825.3	NM_002834.5	NP_002825.3:cds6	6	112455950	112456063	215	252	0	gff_cds_derived	ncbi_gff	1	6	6	already_transcript_order_plus_strand
homo_sapiens	NP_002825.3	NM_002834.5	NP_002825.3:cds7	7	112472944	112473040	253	285	0	gff_cds_derived	ncbi_gff	1	7	7	already_transcript_order_plus_strand
homo_sapiens	NP_002825.3	NM_002834.5	NP_002825.3:cds8	8	112477651	112477730	285	311	2	gff_cds_derived	ncbi_gff	1	8	8	already_transcript_order_plus_strand
homo_sapiens	NP_002825.3	NM_002834.5	NP_002825.3:cds9	9	112477857	112478015	312	364	0	gff_cds_derived	ncbi_gff	1	9	9	already_transcript_order_plus_strand
homo_sapiens	NP_002825.3	NM_002834.5	NP_002825.3:cds10	10	112482074	112482205	365	408	0	gff_cds_derived	ncbi_gff	1	10	10	already_transcript_order_plus_strand
homo_sapiens	NP_002825.3	NM_002834.5	NP_002825.3:cds11	11	112486475	112486629	409	460	0	gff_cds_derived	ncbi_gff	1	11	11	already_transcript_order_plus_strand
homo_sapiens	NP_002825.3	NM_002834.5	NP_002825.3:cds12	12	112488443	112488510	460	483	1	gff_cds_derived	ncbi_gff	1	12	12	already_transcript_order_plus_strand
homo_sapiens	NP_002825.3	NM_002834.5	NP_002825.3:cds13	13	112489024	112489175	483	533	2	gff_cds_derived	ncbi_gff	1	13	13	already_transcript_order_plus_strand
homo_sapiens	NP_002825.3	NM_002834.5	NP_002825.3:cds14	14	112502144	112502256	534	571	0	gff_cds_derived	ncbi_gff	1	14	14	already_transcript_order_plus_strand
homo_sapiens	NP_002825.3	NM_002834.5	NP_002825.3:cds15	15	112504695	112504764	571	593	1	gff_cds_derived	ncbi_gff	1	15	15	already_transcript_order_plus_strand
homo_sapiens	XP_011536915.1	XM_011538613.3	XP_011536915.1:cds1	1	112419112	112419125	1	5	0	gff_cds_derived	ncbi_gff	1	1	1	already_transcript_order_plus_strand
homo_sapiens	XP_011536915.1	XM_011538613.3	XP_011536915.1:cds2	2	112446276	112446398	5	46	1	gff_cds_derived	ncbi_gff	1	2	2	already_transcript_order_plus_strand
homo_sapiens	XP_011536915.1	XM_011538613.3	XP_011536915.1:cds3	3	112450321	112450512	46	110	1	gff_cds_derived	ncbi_gff	1	3	3	already_transcript_order_plus_strand
homo_sapiens	XP_011536915.1	XM_011538613.3	XP_011536915.1:cds4	4	112453195	112453387	110	174	1	gff_cds_derived	ncbi_gff	1	4	4	already_transcript_order_plus_strand
homo_sapiens	XP_011536915.1	XM_011538613.3	XP_011536915.1:cds5	5	112454564	112454680	175	213	0	gff_cds_derived	ncbi_gff	1	5	5	already_transcript_order_plus_strand
homo_sapiens	XP_011536915.1	XM_011538613.3	XP_011536915.1:cds6	6	112455950	112456063	214	251	0	gff_cds_derived	ncbi_gff	1	6	6	already_transcript_order_plus_strand
homo_sapiens	XP_011536915.1	XM_011538613.3	XP_011536915.1:cds7	7	112472944	112473040	252	284	0	gff_cds_derived	ncbi_gff	1	7	7	already_transcript_order_plus_strand
homo_sapiens	XP_011536915.1	XM_011538613.3	XP_011536915.1:cds8	8	112477651	112477730	284	310	2	gff_cds_derived	ncbi_gff	1	8	8	already_transcript_order_plus_strand
homo_sapiens	XP_011536915.1	XM_011538613.3	XP_011536915.1:cds9	9	112477857	112478015	311	363	0	gff_cds_derived	ncbi_gff	1	9	9	already_transcript_order_plus_strand
homo_sapiens	XP_011536915.1	XM_011538613.3	XP_011536915.1:cds10	10	112482074	112482205	364	407	0	gff_cds_derived	ncbi_gff	1	10	10	already_transcript_order_plus_strand
homo_sapiens	XP_011536915.1	XM_011538613.3	XP_011536915.1:cds11	11	112486463	112486629	408	463	0	gff_cds_derived	ncbi_gff	1	11	11	already_transcript_order_plus_strand
homo_sapiens	XP_011536915.1	XM_011538613.3	XP_011536915.1:cds12	12	112488443	112488510	463	486	1	gff_cds_derived	ncbi_gff	1	12	12	already_transcript_order_plus_strand
homo_sapiens	XP_011536915.1	XM_011538613.3	XP_011536915.1:cds13	13	112489024	112489175	486	536	2	gff_cds_derived	ncbi_gff	1	13	13	already_transcript_order_plus_strand
