species_id	protein_id	transcript_id	exon_number	exon_id	protein_start_aa	protein_end_aa	length_aa	cds_start	cds_end	phase	confidence	source
homo_sapiens	NP_001304849.1	NM_001317920.2	1	NP_001304849.1:cds1	1	188	188	31721655	31722218	0	gff_cds_derived	ncbi_gff
homo_sapiens	NP_001304849.1	NM_001317920.2	2	NP_001304849.1:cds2	189	233	45	31665949	31666086	0	gff_cds_derived	ncbi_gff
homo_sapiens	NP_001309168.1	NM_001322239.2	1	NP_001309168.1:cds1	1	188	188	31721655	31722218	0	gff_cds_derived	ncbi_gff
homo_sapiens	NP_001309168.1	NM_001322239.2	2	NP_001309168.1:cds2	189	233	45	31665949	31666086	0	gff_cds_derived	ncbi_gff
homo_sapiens	NP_001304850.1	NM_001317921.2	1	NP_001304850.1:cds1	1	188	188	31721655	31722218	0	gff_cds_derived	ncbi_gff
homo_sapiens	NP_001304850.1	NM_001317921.2	2	NP_001304850.1:cds2	189	233	45	31665949	31666086	0	gff_cds_derived	ncbi_gff
homo_sapiens	NP_001309169.1	NM_001322240.2	1	NP_001309169.1:cds1	1	188	188	31721655	31722218	0	gff_cds_derived	ncbi_gff
homo_sapiens	NP_001309169.1	NM_001322240.2	2	NP_001309169.1:cds2	189	233	45	31665949	31666086	0	gff_cds_derived	ncbi_gff
homo_sapiens	NP_001304848.1	NM_001317919.2	1	NP_001304848.1:cds1	1	188	188	31721655	31722218	0	gff_cds_derived	ncbi_gff
homo_sapiens	NP_001304848.1	NM_001317919.2	2	NP_001304848.1:cds2	189	233	45	31665949	31666086	0	gff_cds_derived	ncbi_gff
homo_sapiens	NP_001182.1	NM_001191.4	1	NP_001182.1:cds1	1	125	125	31721844	31722218	0	gff_cds_derived	ncbi_gff
homo_sapiens	NP_001182.1	NM_001191.4	2	NP_001182.1:cds2	126	170	45	31665949	31666086	0	gff_cds_derived	ncbi_gff
homo_sapiens	NP_612815.1	NM_138578.3	1	NP_612815.1:cds1	1	188	188	31721655	31722218	0	gff_cds_derived	ncbi_gff
homo_sapiens	NP_612815.1	NM_138578.3	2	NP_612815.1:cds2	189	233	45	31665949	31666086	0	gff_cds_derived	ncbi_gff
homo_sapiens	NP_001411260.1	NM_001424331.1	1	NP_001411260.1:cds1	1	188	188	31721655	31722218	0	gff_cds_derived	ncbi_gff
homo_sapiens	NP_001411260.1	NM_001424331.1	2	NP_001411260.1:cds2	189	233	45	31665949	31666086	0	gff_cds_derived	ncbi_gff
homo_sapiens	NP_001411261.1	NM_001424332.1	1	NP_001411261.1:cds1	1	188	188	31721655	31722218	0	gff_cds_derived	ncbi_gff
homo_sapiens	NP_001411261.1	NM_001424332.1	2	NP_001411261.1:cds2	189	233	45	31665949	31666086	0	gff_cds_derived	ncbi_gff
homo_sapiens	NP_001309171.1	NM_001322242.2	1	NP_001309171.1:cds1	1	188	188	31721655	31722218	0	gff_cds_derived	ncbi_gff
homo_sapiens	NP_001309171.1	NM_001322242.2	2	NP_001309171.1:cds2	189	233	45	31665949	31666086	0	gff_cds_derived	ncbi_gff
mus_musculus	NP_001276668.1	NM_001289739.2	1	NP_001276668.1:cds1	1	188	188	152671347	152671910	0	gff_cds_derived	ncbi_gff
mus_musculus	NP_001276668.1	NM_001289739.2	2	NP_001276668.1:cds2	189	235	47	152609237	152609379	0	gff_cds_derived	ncbi_gff
mus_musculus	NP_033873.3	NM_009743.6	1	NP_033873.3:cds1	1	188	188	152671347	152671910	0	gff_cds_derived	ncbi_gff
mus_musculus	NP_033873.3	NM_009743.6	2	NP_033873.3:cds2	189	233	45	152624065	152624202	0	gff_cds_derived	ncbi_gff
mus_musculus	NP_001403826.1	NM_001416897.1	1	NP_001403826.1:cds1	1	188	188	152671347	152671910	0	gff_cds_derived	ncbi_gff
mus_musculus	NP_001403826.1	NM_001416897.1	2	NP_001403826.1:cds2	189	233	45	152624065	152624202	0	gff_cds_derived	ncbi_gff
mus_musculus	NP_001403825.1	NM_001416896.1	1	NP_001403825.1:cds1	1	188	188	152671347	152671910	0	gff_cds_derived	ncbi_gff
mus_musculus	NP_001403825.1	NM_001416896.1	2	NP_001403825.1:cds2	189	233	45	152624065	152624202	0	gff_cds_derived	ncbi_gff
mus_musculus	NP_001403827.1	NM_001416898.1	1	NP_001403827.1:cds1	1	188	188	152671347	152671910	0	gff_cds_derived	ncbi_gff
mus_musculus	NP_001403827.1	NM_001416898.1	2	NP_001403827.1:cds2	189	233	45	152624065	152624202	0	gff_cds_derived	ncbi_gff
mus_musculus	NP_001276646.1	NM_001289717.2	1	NP_001276646.1:cds1	1	188	188	152671347	152671910	0	gff_cds_derived	ncbi_gff
mus_musculus	NP_001276646.1	NM_001289717.2	2	NP_001276646.1:cds2	189	233	45	152624065	152624202	0	gff_cds_derived	ncbi_gff
mus_musculus	NP_001276645.1	NM_001289716.2	1	NP_001276645.1:cds1	1	188	188	152671347	152671910	0	gff_cds_derived	ncbi_gff
mus_musculus	NP_001276645.1	NM_001289716.2	2	NP_001276645.1:cds2	189	233	45	152624065	152624202	0	gff_cds_derived	ncbi_gff
mus_musculus	NP_001341982.1	NM_001355053.2	1	NP_001341982.1:cds1	1	188	188	152671347	152671910	0	gff_cds_derived	ncbi_gff
mus_musculus	NP_001341982.1	NM_001355053.2	2	NP_001341982.1:cds2	189	233	45	152624065	152624202	0	gff_cds_derived	ncbi_gff
mus_musculus	NP_001403828.1	NM_001416899.1	1	NP_001403828.1:cds1	1	188	188	152671347	152671910	0	gff_cds_derived	ncbi_gff
mus_musculus	NP_001403828.1	NM_001416899.1	2	NP_001403828.1:cds2	189	233	45	152624065	152624202	0	gff_cds_derived	ncbi_gff
