exon_label	exon_number	protein_start_aa	protein_end_aa	length_aa	genomic_start	genomic_end	transcript_id
E1	1	1	5	5	41026255	41026268	NM_001177593.1
E2	2	5	46	42	41044762	41044884	NM_001177593.1
E3	3	46	111	66	41048060	41048254	NM_001177593.1
E4	4	111	175	65	41050918	41051110	NM_001177593.1
E5	5	176	214	39	41052488	41052604	NM_001177593.1
E6	6	215	252	38	41053022	41053135	NM_001177593.1
E7	7	253	285	33	41059954	41060050	NM_001177593.1
E8	8	285	311	27	41062730	41062809	NM_001177593.1
E9	9	312	364	53	41062901	41063059	NM_001177593.1
E10	10	365	408	44	41066304	41066435	NM_001177593.1
E11	11	409	464	56	41070303	41070469	NM_001177593.1
E12	12	464	487	24	41071323	41071390	NM_001177593.1
E13	13	487	537	51	41071822	41071973	NM_001177593.1
E14	14	538	575	38	41078856	41078968	NM_001177593.1
E15	15	575	597	23	41081353	41081422	NM_001177593.1
