exon_label	exon_number	protein_start_aa	protein_end_aa	length_aa	genomic_start	genomic_end	transcript_id
E1	1	1	61	61			XM_068224937.2
E2	2	61	150	90			XM_068224937.2
E3	3	150	175	26			XM_068224937.2
E4	4	175	231	57			XM_068224937.2
E5	5	232	273	42			XM_068224937.2
E6	6	273	336	64			XM_068224937.2
E7	7	337	383	47			XM_068224937.2
E8	8	383	451	69			XM_068224937.2
E9	9	451	497	47			XM_068224937.2
E10	10	497	538	42			XM_068224937.2
E11	11	538	575	38			XM_068224937.2
E12	12	575	638	64			XM_068224937.2
E13	13	639	679	41			XM_068224937.2
E14	14	680	703	24			XM_068224937.2
E15	15	703	749	47			XM_068224937.2
E16	16	749	784	36			XM_068224937.2
E17	17	785	839	55			XM_068224937.2
