source	species	protein_id	protein_length	predicted_isoform	best_local_alignment_score	second_best_score	score_margin	cassette_start_aa	cassette_end_aa	reference_coverage	IIIb_score	IIIc_score
ensembl	homo_sapiens	ENSP00000263451	819	IIIc	250.0	116.5	133.5	314	361	1.0	116.5	250.0
ensembl	homo_sapiens	ENSP00000309878	819	IIIc	250.0	116.5	133.5	314	361	1.0	116.5	250.0
ensembl	homo_sapiens	ENSP00000337665	669	IIIc	250.0	116.5	133.5	225	272	1.0	116.5	250.0
ensembl	homo_sapiens	ENSP00000348559	704	IIIc	250.0	116.5	133.5	199	246	1.0	116.5	250.0
ensembl	homo_sapiens	ENSP00000350166	707	IIIc	250.0	116.5	133.5	225	272	1.0	116.5	250.0
ensembl	homo_sapiens	ENSP00000351276	821	IIIc	250.0	116.5	133.5	314	361	1.0	116.5	250.0
ensembl	homo_sapiens	ENSP00000352309	254	IIIb	54.0	53.0	1.0	216	249	0.7391304347826086	54.0	53.0
ensembl	homo_sapiens	ENSP00000353262	680	IIIb	237.0	116.5	120.5	225	270	1.0	237.0	116.5
ensembl	homo_sapiens	ENSP00000358052	769	IIIb	237.0	116.5	120.5	314	359	1.0	237.0	116.5
ensembl	homo_sapiens	ENSP00000358054	768	IIIb	237.0	116.5	120.5	314	359	1.0	237.0	116.5
ensembl	homo_sapiens	ENSP00000358055	707	IIIb	237.0	116.5	120.5	199	244	1.0	237.0	116.5
ensembl	homo_sapiens	ENSP00000358056	705	IIIb	54.0	53.0	1.0	216	249	0.7391304347826086	54.0	53.0
ensembl	homo_sapiens	ENSP00000358057	709	IIIb	54.0	53.0	1.0	216	249	0.7391304347826086	54.0	53.0
ensembl	homo_sapiens	ENSP00000404219	371	IIIb	25.5	20.0	5.5	114	155	0.6521739130434783	25.5	20.0
ensembl	homo_sapiens	ENSP00000410294	822	IIIb	237.0	116.5	120.5	314	359	1.0	237.0	116.5
ensembl	homo_sapiens	ENSP00000474011	593	IIIc	250.0	116.5	133.5	86	133	1.0	116.5	250.0
ensembl	homo_sapiens	ENSP00000474109	251	IIIb	237.0	116.5	120.5	199	244	1.0	237.0	116.5
ensembl	homo_sapiens	ENSP00000481464	136	IIIc	47.0	43.0	4.0	73	96	0.5	43.0	47.0
ensembl	homo_sapiens	ENSP00000484154	732	IIIc	250.0	116.5	133.5	225	272	1.0	116.5	250.0
ensembl	homo_sapiens	ENSP00000484892	64	IIIb	24.0	21.0	3.0	5	11	0.15217391304347827	24.0	21.0
ensembl	homo_sapiens	ENSP00000490905	144	IIIc	29.0	28.0	1.0	75	105	0.6458333333333334	28.0	29.0
ensembl	homo_sapiens	ENSP00000491912	429	IIIb	25.5	20.0	5.5	130	171	0.6521739130434783	25.5	20.0
ensembl	homo_sapiens	ENSP00000506847	137	IIIb	54.0	53.0	1.0	101	134	0.7391304347826086	54.0	53.0
ensembl	homo_sapiens	ENSP00000506848	429	IIIb	25.5	20.0	5.5	130	171	0.6521739130434783	25.5	20.0
ensembl	homo_sapiens	ENSP00000506937	670	IIIc	250.0	116.5	133.5	199	246	1.0	116.5	250.0
ensembl	homo_sapiens	ENSP00000507074	153	IIIc	47.0	43.0	4.0	90	113	0.5	43.0	47.0
ensembl	homo_sapiens	ENSP00000507633	704	IIIc	250.0	116.5	133.5	199	246	1.0	116.5	250.0
ensembl	homo_sapiens	ENSP00000508257	819	IIIc	250.0	116.5	133.5	314	361	1.0	116.5	250.0
ensembl	homo_sapiens	ENSP00000607151	600	IIIc	47.0	43.0	4.0	90	113	0.5	43.0	47.0
ensembl	homo_sapiens	ENSP00000607152	813	IIIc	250.0	116.5	133.5	314	361	1.0	116.5	250.0
ensembl	homo_sapiens	ENSP00000655451	820	IIIb	237.0	116.5	120.5	314	359	1.0	237.0	116.5
ensembl	homo_sapiens	ENSP00000655452	51	IIIb	24.0	21.0	3.0	5	11	0.15217391304347827	24.0	21.0
ensembl	homo_sapiens	ENSP00000655453	56	IIIb	24.0	21.0	3.0	5	11	0.15217391304347827	24.0	21.0
ensembl	homo_sapiens	ENSP00000714255	785	IIIc	250.0	116.5	133.5	314	361	1.0	116.5	250.0
ensembl	homo_sapiens	ENSP00000714256	731	IIIb	237.0	116.5	120.5	225	270	1.0	237.0	116.5
ensembl	homo_sapiens	ENSP00000714257	697	IIIb	237.0	116.5	120.5	225	270	1.0	237.0	116.5
ensembl	homo_sapiens	ENSP00000714258	802	IIIc	159.0	66.5	92.5	314	344	0.6458333333333334	66.5	159.0
ensembl	homo_sapiens	ENSP00000714259	786	IIIb	237.0	116.5	120.5	314	359	1.0	237.0	116.5
ensembl	homo_sapiens	ENSP00000744874	163	IIIb	54.0	53.0	1.0	127	160	0.7391304347826086	54.0	53.0
ensembl	homo_sapiens	ENSP00000744875	240	IIIb	54.0	53.0	1.0	127	160	0.7391304347826086	54.0	53.0
ensembl	homo_sapiens	ENSP00000744876	329	IIIb	54.0	53.0	1.0	216	249	0.7391304347826086	54.0	53.0
ensembl	homo_sapiens	ENSP00000744877	52	IIIb	24.0	21.0	3.0	5	11	0.15217391304347827	24.0	21.0
