protein_id	transcript_id	model_role	exon_label	exon_number	genomic_start	genomic_end	protein_start_aa	protein_end_aa	exon_identity	reference_exon_label	junction_aa
NP_001317366.1	NM_001330437.2	primary	E1	1	112419112	112419125	1	5	primary		
NP_001317366.1	NM_001330437.2	primary	E2	2	112446276	112446398	5	46	primary		
NP_001317366.1	NM_001330437.2	primary	E3	3	112450318	112450512	46	111	primary		
NP_001317366.1	NM_001330437.2	primary	E4	4	112453195	112453387	111	175	primary		
NP_001317366.1	NM_001330437.2	primary	E5	5	112454564	112454680	176	214	primary		
NP_001317366.1	NM_001330437.2	primary	E6	6	112455950	112456063	215	252	primary		
NP_001317366.1	NM_001330437.2	primary	E7	7	112472944	112473040	253	285	primary		
NP_001317366.1	NM_001330437.2	primary	E8	8	112477651	112477730	285	311	primary		
NP_001317366.1	NM_001330437.2	primary	E9	9	112477857	112478015	312	364	primary		
NP_001317366.1	NM_001330437.2	primary	E10	10	112482074	112482205	365	408	primary		
NP_001317366.1	NM_001330437.2	primary	E11	11	112486463	112486629	409	464	primary		
NP_001317366.1	NM_001330437.2	primary	E12	12	112488443	112488510	464	487	primary		
NP_001317366.1	NM_001330437.2	primary	E13	13	112489024	112489175	487	537	primary		
NP_001317366.1	NM_001330437.2	primary	E14	14	112502144	112502256	538	575	primary		
NP_001317366.1	NM_001330437.2	primary	E15	15	112504695	112504764	575	597	primary		
NP_001361554.1	NM_001374625.1	alternative	E1	1	112419112	112419125	1	5	shared	E1	
NP_001361554.1	NM_001374625.1	alternative	E2	2	112446276	112446398	5	46	shared	E2	
NP_001361554.1	NM_001374625.1	alternative	E3	3	112450321	112450512	46	110	shifted	E3	
NP_001361554.1	NM_001374625.1	alternative	E4	4	112453195	112453387	110	174	shared	E4	
NP_001361554.1	NM_001374625.1	alternative	E5	5	112454564	112454680	175	213	shared	E5	
NP_001361554.1	NM_001374625.1	alternative	E6	6	112455950	112456063	214	251	shared	E6	
NP_001361554.1	NM_001374625.1	alternative	E7	7	112472944	112473040	252	284	shared	E7	
NP_001361554.1	NM_001374625.1	alternative	E8	8	112477651	112477730	284	310	shared	E8	
NP_001361554.1	NM_001374625.1	alternative	E9	9	112477857	112478015	311	363	shared	E9	
NP_001361554.1	NM_001374625.1	alternative	E10	10	112482074	112482205	364	407	shared	E10	
NP_001361554.1	NM_001374625.1	alternative	E11	11	112486475	112486629	408	459	shifted	E11	
NP_001361554.1	NM_001374625.1	alternative	E12	12	112488443	112488510	459	482	shared	E12	
NP_001361554.1	NM_001374625.1	alternative	E13	13	112489024	112489175	482	532	shared	E13	
NP_001361554.1	NM_001374625.1	alternative	E14	14	112502144	112502256	533	570	shared	E14	
NP_001361554.1	NM_001374625.1	alternative	E15	15	112504695	112504764	570	592	shared	E15	
NP_002825.3	NM_002834.5	alternative	E1	1	112419112	112419125	1	5	shared	E1	
NP_002825.3	NM_002834.5	alternative	E2	2	112446276	112446398	5	46	shared	E2	
NP_002825.3	NM_002834.5	alternative	E3	3	112450318	112450512	46	111	shared	E3	
NP_002825.3	NM_002834.5	alternative	E4	4	112453195	112453387	111	175	shared	E4	
NP_002825.3	NM_002834.5	alternative	E5	5	112454564	112454680	176	214	shared	E5	
NP_002825.3	NM_002834.5	alternative	E6	6	112455950	112456063	215	252	shared	E6	
NP_002825.3	NM_002834.5	alternative	E7	7	112472944	112473040	253	285	shared	E7	
