track	domain_instance_id	label	interpro_accession	instance_number	start_aa	end_aa	source
representative_domain	IPR003093:1-27	Bcl2 BH4 · aa 1–27	IPR003093	1	1	27	InterProScan
representative_domain	IPR046371:90-188	Bcl-2 BH1-3 · aa 90–188	IPR046371	1	90	188	InterProScan
family_superfamily		Bcl2/BclX	IPR004725		1	233	NCBIFAM
family_superfamily		Bcl-2-like_sf	IPR036834		1	209	GENE3D
family_superfamily		Bcl-2-like_sf	IPR036834		1	207	SUPERFAMILY
family_superfamily		Apop_reg_BclX	IPR013279		1	16	PRINTS
family_superfamily		Bcl-2_fam	IPR026298		2	211	PANTHER
family_superfamily		Apop_reg_BclX	IPR013279		17	32	PRINTS
family_superfamily		Apop_reg_BclX	IPR013279		80	96	PRINTS
family_superfamily		Bcl-2_fam	IPR026298		81	194	CDD
family_superfamily		Apop_reg_BclX	IPR013279		99	110	PRINTS
family_superfamily		Apop_reg_BclX	IPR013279		118	129	PRINTS
family_superfamily		Bcl-2_fam	IPR026298		123	135	PRINTS
family_superfamily		Bcl-2_fam	IPR026298		136	164	PRINTS
family_superfamily		Bcl-2_fam	IPR026298		165	189	PRINTS
tm_region		TM1			214	233	pytmhmm
