species_id	scientific_name	primary_protein	boundary_id	comparable_boundary_group_id	exon_transition	native_aa_position	MSA_column	nearest_domain_instance_id	nearest_domain_label	nearest_edge	signed_distance	absolute_distance	boundary_class	mapping_method	mapping_confidence	status
homo_sapiens	Homo Sapiens	NP_001317366.1	NP_001317366.1:cds1_end	CBG1	E1 → E2	5	5	IPR000980:4-102	SH2 1	start	1	1	near_domain_edge	msa_aligned_position	1.0	supported_comparable
homo_sapiens	Homo Sapiens	NP_001317366.1	NP_001317366.1:cds2_end	CBG2	E2 → E3	46	46	IPR000980:4-102	SH2 1	start	42	42	inside_domain	msa_aligned_position	1.0	supported_comparable
homo_sapiens	Homo Sapiens	NP_001317366.1	NP_001317366.1:cds3_end	CBG3	E3 → E4	111	111	IPR000980:110-216	SH2 2	start	1	1	near_domain_edge	msa_aligned_position	1.0	supported_comparable
homo_sapiens	Homo Sapiens	NP_001317366.1	NP_001317366.1:cds4_end	CBG4	E4 → E5	175	175	IPR000980:110-216	SH2 2	end	-41	41	inside_domain	msa_aligned_position	1.0	supported_comparable
homo_sapiens	Homo Sapiens	NP_001317366.1	NP_001317366.1:cds5_end	CBG5	E5 → E6	214	214	IPR000980:110-216	SH2 2	end	-2	2	near_domain_edge	msa_aligned_position	1.0	supported_comparable
homo_sapiens	Homo Sapiens	NP_001317366.1	NP_001317366.1:cds6_end	CBG6	E6 → E7	252	252	IPR000242:246-527	PTP cat	start	6	6	inside_domain	msa_aligned_position	1.0	supported_comparable
homo_sapiens	Homo Sapiens	NP_001317366.1	NP_001317366.1:cds7_end	CBG7	E7 → E8	285	285	IPR000242:246-527	PTP cat	start	39	39	inside_domain	msa_aligned_position	1.0	supported_comparable
homo_sapiens	Homo Sapiens	NP_001317366.1	NP_001317366.1:cds8_end	CBG8	E8 → E9	311	311	IPR000242:246-527	PTP cat	start	65	65	inside_domain	msa_aligned_position	1.0	supported_comparable
homo_sapiens	Homo Sapiens	NP_001317366.1	NP_001317366.1:cds9_end	CBG9	E9 → E10	364	364	IPR000242:246-527	PTP cat	start	118	118	inside_domain	msa_aligned_position	1.0	supported_comparable
homo_sapiens	Homo Sapiens	NP_001317366.1	NP_001317366.1:cds10_end	CBG10	E10 → E11	408	408	IPR000242:246-527	PTP cat	end	-119	119	inside_domain	msa_aligned_position	1.0	supported_comparable
homo_sapiens	Homo Sapiens	NP_001317366.1	NP_001317366.1:cds11_end	CBG11	E11 → E12	464	464	IPR000242:246-527	PTP cat	end	-63	63	inside_domain	msa_aligned_position	1.0	supported_comparable
homo_sapiens	Homo Sapiens	NP_001317366.1	NP_001317366.1:cds12_end	CBG12	E12 → E13	487	487	IPR000242:246-527	PTP cat	end	-40	40	inside_domain	msa_aligned_position	1.0	supported_comparable
homo_sapiens	Homo Sapiens	NP_001317366.1	NP_001317366.1:cds13_end	CBG13	E13 → E14	537	537	IPR000242:246-527	PTP cat	end	10	10	outside_annotated_domains	msa_aligned_position	1.0	supported_comparable
homo_sapiens	Homo Sapiens	NP_001317366.1	NP_001317366.1:cds14_end	CBG14	E14 → E15	575	575	IPR000242:246-527	PTP cat	end	48	48	outside_annotated_domains	msa_aligned_position	1.0	supported_comparable
mus_musculus	Mus Musculus	NP_035332.1	NP_035332.1:cds1_end	CBG1	E1 → E2	5	5	IPR000980:4-102	SH2 1	start	1	1	near_domain_edge	msa_aligned_position	1.0	supported_comparable
mus_musculus	Mus Musculus	NP_035332.1	NP_035332.1:cds2_end	CBG2	E2 → E3	46	46	IPR000980:4-102	SH2 1	start	42	42	inside_domain	msa_aligned_position	1.0	supported_comparable
mus_musculus	Mus Musculus	NP_035332.1	NP_035332.1:cds3_end	CBG3	E3 → E4	111	111	IPR000980:110-216	SH2 2	start	1	1	near_domain_edge	msa_aligned_position	1.0	supported_comparable
mus_musculus	Mus Musculus	NP_035332.1	NP_035332.1:cds4_end	CBG4	E4 → E5	175	175	IPR000980:110-216	SH2 2	end	-41	41	inside_domain	msa_aligned_position	1.0	supported_comparable
mus_musculus	Mus Musculus	NP_035332.1	NP_035332.1:cds5_end	CBG5	E5 → E6	214	214	IPR000980:110-216	SH2 2	end	-2	2	near_domain_edge	msa_aligned_position	1.0	supported_comparable
mus_musculus	Mus Musculus	NP_035332.1	NP_035332.1:cds6_end	CBG6	E6 → E7	252	252	IPR000242:246-527	PTP cat	start	6	6	inside_domain	msa_aligned_position	1.0	supported_comparable
mus_musculus	Mus Musculus	NP_035332.1	NP_035332.1:cds7_end	CBG7	E7 → E8	285	285	IPR000242:246-527	PTP cat	start	39	39	inside_domain	msa_aligned_position	1.0	supported_comparable
mus_musculus	Mus Musculus	NP_035332.1	NP_035332.1:cds8_end	CBG8	E8 → E9	311	311	IPR000242:246-527	PTP cat	start	65	65	inside_domain	msa_aligned_position	1.0	supported_comparable
mus_musculus	Mus Musculus	NP_035332.1	NP_035332.1:cds9_end	CBG9	E9 → E10	364	364	IPR000242:246-527	PTP cat	start	118	118	inside_domain	msa_aligned_position	1.0	supported_comparable
mus_musculus	Mus Musculus	NP_035332.1	NP_035332.1:cds10_end	CBG10	E10 → E11	408	408	IPR000242:246-527	PTP cat	end	-119	119	inside_domain	msa_aligned_position	1.0	supported_comparable
mus_musculus	Mus Musculus	NP_035332.1	NP_035332.1:cds11_end	CBG11	E11 → E12	464	464	IPR000242:246-527	PTP cat	end	-63	63	inside_domain	msa_aligned_position	1.0	supported_comparable
mus_musculus	Mus Musculus	NP_035332.1	NP_035332.1:cds12_end	CBG12	E12 → E13	487	487	IPR000242:246-527	PTP cat	end	-40	40	inside_domain	msa_aligned_position	1.0	supported_comparable
mus_musculus	Mus Musculus	NP_035332.1	NP_035332.1:cds13_end	CBG13	E13 → E14	537	537	IPR000242:246-527	PTP cat	end	10	10	outside_annotated_domains	msa_aligned_position	1.0	supported_comparable
mus_musculus	Mus Musculus	NP_035332.1	NP_035332.1:cds14_end	CBG14	E14 → E15	575	575	IPR000242:246-527	PTP cat	end	48	48	outside_annotated_domains	msa_aligned_position	1.0	supported_comparable
rattus_norvegicus	Rattus Norvegicus	NP_001171064.1	NP_001171064.1:cds1_end	CBG1	E1 → E2	5	5	IPR000980:4-102	SH2 1	start	1	1	near_domain_edge	msa_aligned_position	1.0	supported_comparable
rattus_norvegicus	Rattus Norvegicus	NP_001171064.1	NP_001171064.1:cds2_end	CBG2	E2 → E3	46	46	IPR000980:4-102	SH2 1	start	42	42	inside_domain	msa_aligned_position	1.0	supported_comparable
rattus_norvegicus	Rattus Norvegicus	NP_001171064.1	NP_001171064.1:cds3_end	CBG3	E3 → E4	111	111	IPR000980:110-216	SH2 2	start	1	1	near_domain_edge	msa_aligned_position	1.0	supported_comparable
rattus_norvegicus	Rattus Norvegicus	NP_001171064.1	NP_001171064.1:cds4_end	CBG4	E4 → E5	175	175	IPR000980:110-216	SH2 2	end	-41	41	inside_domain	msa_aligned_position	1.0	supported_comparable
rattus_norvegicus	Rattus Norvegicus	NP_001171064.1	NP_001171064.1:cds5_end	CBG5	E5 → E6	214	214	IPR000980:110-216	SH2 2	end	-2	2	near_domain_edge	msa_aligned_position	1.0	supported_comparable
rattus_norvegicus	Rattus Norvegicus	NP_001171064.1	NP_001171064.1:cds6_end	CBG6	E6 → E7	252	252	IPR000242:246-527	PTP cat	start	6	6	inside_domain	msa_aligned_position	1.0	supported_comparable
rattus_norvegicus	Rattus Norvegicus	NP_001171064.1	NP_001171064.1:cds7_end	CBG7	E7 → E8	285	285	IPR000242:246-527	PTP cat	start	39	39	inside_domain	msa_aligned_position	1.0	supported_comparable
rattus_norvegicus	Rattus Norvegicus	NP_001171064.1	NP_001171064.1:cds8_end	CBG8	E8 → E9	311	311	IPR000242:246-527	PTP cat	start	65	65	inside_domain	msa_aligned_position	1.0	supported_comparable
rattus_norvegicus	Rattus Norvegicus	NP_001171064.1	NP_001171064.1:cds9_end	CBG9	E9 → E10	364	364	IPR000242:246-527	PTP cat	start	118	118	inside_domain	msa_aligned_position	1.0	supported_comparable
rattus_norvegicus	Rattus Norvegicus	NP_001171064.1	NP_001171064.1:cds10_end	CBG10	E10 → E11	408	408	IPR000242:246-527	PTP cat	end	-119	119	inside_domain	msa_aligned_position	1.0	supported_comparable
rattus_norvegicus	Rattus Norvegicus	NP_001171064.1	NP_001171064.1:cds11_end	CBG11	E11 → E12	464	464	IPR000242:246-527	PTP cat	end	-63	63	inside_domain	msa_aligned_position	1.0	supported_comparable
rattus_norvegicus	Rattus Norvegicus	NP_001171064.1	NP_001171064.1:cds12_end	CBG12	E12 → E13	487	487	IPR000242:246-527	PTP cat	end	-40	40	inside_domain	msa_aligned_position	1.0	supported_comparable
rattus_norvegicus	Rattus Norvegicus	NP_001171064.1	NP_001171064.1:cds13_end	CBG13	E13 → E14	537	537	IPR000242:246-527	PTP cat	end	10	10	outside_annotated_domains	msa_aligned_position	1.0	supported_comparable
rattus_norvegicus	Rattus Norvegicus	NP_001171064.1	NP_001171064.1:cds14_end	CBG14	E14 → E15	575	575	IPR000242:246-527	PTP cat	end	48	48	outside_annotated_domains	msa_aligned_position	1.0	supported_comparable
