species	isoform	final_isoform_label	final_claim_status_after_rescue	pre_interpro_readiness_class	rescue_decision	final_label_source	visual_review_flag	final_plot_status	source_coordinate_table	human_reference_isoform	n_positions	n_identical	n_conservative	n_nonconservative	n_gap	fraction_identical_or_conservative
homo_sapiens	IIIb	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIb	46	46	0	0	0	1.000
homo_sapiens	IIIc	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIc	48	48	0	0	0	1.000
pan_troglodytes	IIIb	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIb	46	46	0	0	0	1.000
pan_troglodytes	IIIc	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIc	48	48	0	0	0	1.000
gorilla_gorilla_gorilla	IIIb	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIb	46	46	0	0	0	1.000
gorilla_gorilla_gorilla	IIIc	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	rescued_with_external_validated_candidate_pair	external_refseq_sequence_validated	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIc	48	48	0	0	0	1.000
pongo_abelii	IIIb	IIIb	supplement_review	supplement_review_only	sequence_support_only_keep_supplement	unresolved_kept_provenance	true	supplement_review	MSA/final_human_referenced_residue_agreement.tsv	IIIb	46	25	7	13	1	0.696
pongo_abelii	IIIc	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIc	48	48	0	0	0	1.000
macaca_mulatta	IIIb	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIb	46	46	0	0	0	1.000
macaca_mulatta	IIIc	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIc	48	48	0	0	0	1.000
callithrix_jacchus	IIIb	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIb	46	46	0	0	0	1.000
callithrix_jacchus	IIIc	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIc	48	48	0	0	0	1.000
mus_musculus	IIIb	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIb	46	45	0	1	0	0.978
mus_musculus	IIIc	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIc	48	48	0	0	0	1.000
rattus_norvegicus	IIIb	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIb	46	45	0	1	0	0.978
rattus_norvegicus	IIIc	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIc	48	48	0	0	0	1.000
oryctolagus_cuniculus	IIIb	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIb	46	46	0	0	0	1.000
oryctolagus_cuniculus	IIIc	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIc	48	48	0	0	0	1.000
canis_lupus_familiaris	IIIb	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	rescued_with_external_validated_candidate	external_refseq_sequence_validated	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIb	46	45	0	1	0	0.978
canis_lupus_familiaris	IIIc	IIIc	supplement_review	supplement_review_only	sequence_support_only_keep_supplement	unresolved_kept_provenance	true	supplement_review	MSA/final_human_referenced_residue_agreement.tsv	IIIc	48	8	8	27	5	0.333
felis_catus	IIIb	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIb	46	46	0	0	0	1.000
