species	source	predicted_isoform	protein_id	member_database	domain_start_aa	domain_end_aa	cassette_start_aa	cassette_end_aa	n_signatures	end_signed_offset	end_abs_offset	end_support	start_inside	start_distance_nearest_edge	start_support
anolis_carolinensis	ensembl	IIIb	ENSACAP00000022870	Gene3D	303.0	414.0	366	411	1	3.0	3.0	True	True	48.0	True
anolis_carolinensis	ensembl	IIIb	ENSACAP00000022870	Pfam	315.0	396.0	366	411	1	-15.0	15.0	True	True	30.0	True
anolis_carolinensis	ensembl	IIIb	ENSACAP00000022870	ProSiteProfiles	308.0	408.0	366	411	1	-3.0	3.0	True	True	42.0	True
anolis_carolinensis	ensembl	IIIb	ENSACAP00000022870	SMART	321.0	399.0	366	411	3	-12.0	12.0	True	True	33.0	True
anolis_carolinensis	ensembl	IIIb	ENSACAP00000022870	SUPERFAMILY	308.0	409.0	366	411	1	-2.0	2.0	True	True	43.0	True
anolis_carolinensis	ensembl	IIIc	ENSACAP00000016963	Gene3D	303.0	414.0	367	413	1	1.0	1.0	True	True	47.0	True
anolis_carolinensis	ensembl	IIIc	ENSACAP00000016963	Pfam	315.0	411.0	367	413	1	-2.0	2.0	True	True	44.0	True
anolis_carolinensis	ensembl	IIIc	ENSACAP00000016963	ProSiteProfiles	308.0	410.0	367	413	1	-3.0	3.0	True	True	43.0	True
anolis_carolinensis	ensembl	IIIc	ENSACAP00000016963	SMART	318.0	406.5	367	413	2	-6.5	6.5	True	True	39.5	True
anolis_carolinensis	ensembl	IIIc	ENSACAP00000016963	SUPERFAMILY	308.0	411.0	367	413	1	-2.0	2.0	True	True	44.0	True
anolis_carolinensis	ncbi	IIIb	XP_062832082.1	Gene3D	303.0	414.0	366	411	1	3.0	3.0	True	True	48.0	True
anolis_carolinensis	ncbi	IIIb	XP_062832082.1	Pfam	315.0	396.0	366	411	1	-15.0	15.0	True	True	30.0	True
anolis_carolinensis	ncbi	IIIb	XP_062832082.1	ProSiteProfiles	308.0	408.0	366	411	1	-3.0	3.0	True	True	42.0	True
anolis_carolinensis	ncbi	IIIb	XP_062832082.1	SMART	321.0	399.0	366	411	3	-12.0	12.0	True	True	33.0	True
anolis_carolinensis	ncbi	IIIb	XP_062832082.1	SUPERFAMILY	308.0	409.0	366	411	1	-2.0	2.0	True	True	43.0	True
anolis_carolinensis	ncbi	IIIc	XP_062832081.1	Gene3D	303.0	414.0	367	413	1	1.0	1.0	True	True	47.0	True
anolis_carolinensis	ncbi	IIIc	XP_062832081.1	Pfam	315.0	411.0	367	413	1	-2.0	2.0	True	True	44.0	True
anolis_carolinensis	ncbi	IIIc	XP_062832081.1	ProSiteProfiles	308.0	410.0	367	413	1	-3.0	3.0	True	True	43.0	True
anolis_carolinensis	ncbi	IIIc	XP_062832081.1	SMART	318.0	406.5	367	413	2	-6.5	6.5	True	True	39.5	True
anolis_carolinensis	ncbi	IIIc	XP_062832081.1	SUPERFAMILY	308.0	411.0	367	413	1	-2.0	2.0	True	True	44.0	True
danio_rerio	ensembl	IIIb	ENSDARP00000123845	Gene3D	251.0	363.0	315	359	1	4.0	4.0	True	True	48.0	True
danio_rerio	ensembl	IIIb	ENSDARP00000123845	Pfam	263.0	357.0	315	359	1	-2.0	2.0	True	True	42.0	True
danio_rerio	ensembl	IIIb	ENSDARP00000123845	ProSiteProfiles	256.0	344.0	315	359	1	-15.0	15.0	True	True	29.0	True
danio_rerio	ensembl	IIIb	ENSDARP00000123845	SMART	266.0	352.5	315	359	2	-6.5	6.5	True	True	37.5	True
danio_rerio	ensembl	IIIb	ENSDARP00000123845	SUPERFAMILY	256.0	357.0	315	359	1	-2.0	2.0	True	True	42.0	True
danio_rerio	ensembl	IIIc	ENSDARP00000124761	Gene3D	274.0	388.0	338	384	1	4.0	4.0	True	True	50.0	True
danio_rerio	ensembl	IIIc	ENSDARP00000124761	Pfam	286.0	382.0	338	384	1	-2.0	2.0	True	True	44.0	True
danio_rerio	ensembl	IIIc	ENSDARP00000124761	ProSiteProfiles	279.0	381.0	338	384	1	-3.0	3.0	True	True	43.0	True
