exon_label	exon_number	protein_start_aa	protein_end_aa	length_aa	genomic_start	genomic_end	transcript_id
E1	1	1	55	55			ENSGGOT00000059958
E2	2	56	91	36			ENSGGOT00000059958
E3	3	91	137	47			ENSGGOT00000059958
E4	4	137	160	24			ENSGGOT00000059958
E5	5	161	201	41			ENSGGOT00000059958
E6	6	202	265	64			ENSGGOT00000059958
E7	7	265	302	38			ENSGGOT00000059958
E8	8	302	343	42			ENSGGOT00000059958
E9	9	343	398	56			ENSGGOT00000059958
E10	10	398	447	50			ENSGGOT00000059958
E11	11	448	511	64			ENSGGOT00000059958
E12	12	511	552	42			ENSGGOT00000059958
E13	13	553	609	57			ENSGGOT00000059958
E14	14	609	635	27			ENSGGOT00000059958
E15	15	635	670	36			ENSGGOT00000059958
IIIb cassette (validated reference)		225	270	46			ENSGGOT00000059958
