comparable_boundary_group_id	mapping_method	mapping_status	mapping_confidence	msa_column	species_id	scientific_name	taxonomic_group	protein_id	transcript_id	boundary_id	exon_transition	native_position	nearest_domain_instance_id	nearest_domain_accession	nearest_domain_label	nearest_domain_start	nearest_domain_end	nearest_edge	nearest_edge_position	signed_distance	absolute_distance	boundary_class	domain_annotation_available
CBG3	msa_aligned_position	tentative	0.067	371	homo_sapiens	Homo sapiens	Primates	ENSP00000351276	ENST00000358487	ENSP00000351276:E3_E4	E3 → E4	137	IPR007110:45-110	IPR007110	Ig1	45	110	end	110	27	27	outside_annotated_domains	true
CBG3	msa_aligned_position	tentative	0.067	373	takifugu_rubripes	Takifugu rubripes	Teleost fish	ENSTRUP00000045145	ENSTRUT00000045297	ENSTRUP00000045145:E4_E5	E4 → E5	160	IPR007110:71-132	IPR007110	Ig1	71	132	end	132	28	28	outside_annotated_domains	true
CBG15	msa_aligned_position	supported_comparable	0.733	159	pan_troglodytes	Pan troglodytes	Primates	XP_054516514.1	XM_054660539.2	XP_054516514.1:E1_E2	E1 → E2	56	IPR007110:64-129	IPR007110	Ig1	64	129	start	64	-8	8	outside_annotated_domains	true
CBG15	msa_aligned_position	supported_comparable	0.733	159	pongo_abelii	Pongo abelii	Primates	XP_024108704.1	XM_024252936	XP_024108704.1:E1_E2	E1 → E2	56	IPR007110:64-129	IPR007110	Ig1	64	129	start	64	-8	8	outside_annotated_domains	true
CBG15	msa_aligned_position	supported_comparable	0.733	159	macaca_mulatta	Macaca mulatta	Primates	XP_077803775.1	XM_077947649.1	XP_077803775.1:E1_E2	E1 → E2	56	IPR007110:64-129	IPR007110	Ig1	64	129	start	64	-8	8	outside_annotated_domains	true
CBG15	msa_aligned_position	supported_comparable	0.733	159	callithrix_jacchus	Callithrix jacchus	Primates	XP_078202765.1	XM_078346639.1	XP_078202765.1:E1_E2	E1 → E2	56	IPR007110:64-129	IPR007110	Ig1	64	129	start	64	-8	8	outside_annotated_domains	true
CBG15	msa_aligned_position	supported_comparable	0.733	159	rattus_norvegicus	Rattus norvegicus	Other mammals	XP_063137149.1	XM_063281079.1	XP_063137149.1:E1_E2	E1 → E2	56	IPR007110:64-128	IPR007110	Ig1	64	128	start	64	-8	8	outside_annotated_domains	true
CBG15	msa_aligned_position	supported_comparable	0.733	159	oryctolagus_cuniculus	Oryctolagus cuniculus	Other mammals	XP_069913096.1	XM_070056995.1	XP_069913096.1:E1_E2	E1 → E2	56	IPR007110:64-128	IPR007110	Ig1	64	128	start	64	-8	8	outside_annotated_domains	true
CBG15	msa_aligned_position	supported_comparable	0.733	159	felis_catus	Felis catus	Other mammals	XP_044896695.1	XM_045040760.1	XP_044896695.1:E1_E2	E1 → E2	57	IPR007110:65-129	IPR007110	Ig1	65	129	start	65	-8	8	outside_annotated_domains	true
CBG15	msa_aligned_position	supported_comparable	0.733	159	bos_taurus	Bos taurus	Other mammals	XP_059737724.1	XM_059881741.1	XP_059737724.1:E1_E2	E1 → E2	56	IPR007110:64-128	IPR007110	Ig1	64	128	start	64	-8	8	outside_annotated_domains	true
