species	slot_x	side	rank	normalized_symbol	raw_symbol	orthology_group	identity_method	identity_status	broad_homology_percent_identity	broad_homology_query_coverage	strand	synteny_validation_class	final_claim_status_after_rescue
homo_sapiens	-5	upstream	5	PLEKHA1	PLEKHA1	PLEKHA1	exact_symbol_match	ortholog_supported			+	synteny_strong	primary_claim_supported_with_minor_flags
homo_sapiens	-4	upstream	4	BTBD16	BTBD16	BTBD16	exact_symbol_match	ortholog_supported			+	synteny_strong	primary_claim_supported_with_minor_flags
homo_sapiens	-3	upstream	3	TACC2	TACC2	TACC2	exact_symbol_match	ortholog_supported			+	synteny_strong	primary_claim_supported_with_minor_flags
homo_sapiens	-2	upstream	2	NSMCE4A	NSMCE4A	NSMCE4A	exact_symbol_match	ortholog_supported			-	synteny_strong	primary_claim_supported_with_minor_flags
homo_sapiens	-1	upstream	1	ATE1	ATE1	ATE1	exact_symbol_match	ortholog_supported			-	synteny_strong	primary_claim_supported_with_minor_flags
homo_sapiens	0	fgfr2	0	FGFR2	FGFR2	FGFR2	anchor	anchor			-	synteny_strong	primary_claim_supported_with_minor_flags
homo_sapiens	1	downstream	1	WDR11	WDR11	WDR11	exact_symbol_match	ortholog_supported			+	synteny_strong	primary_claim_supported_with_minor_flags
homo_sapiens	2	downstream	2	PLPP4	PLPP4	PLPP4	exact_symbol_match	ortholog_supported			+	synteny_strong	primary_claim_supported_with_minor_flags
homo_sapiens	3	downstream	3	SEC23IP	SEC23IP	SEC23IP	exact_symbol_match	ortholog_supported			+	synteny_strong	primary_claim_supported_with_minor_flags
homo_sapiens	4	downstream	4	MCMBP	MCMBP	MCMBP	exact_symbol_match	ortholog_supported			-	synteny_strong	primary_claim_supported_with_minor_flags
homo_sapiens	5	downstream	5	INPP5F	INPP5F	INPP5F	exact_symbol_match	ortholog_supported			+	synteny_strong	primary_claim_supported_with_minor_flags
pan_troglodytes	-5	upstream	5	PLEKHA1	PLEKHA1	PLEKHA1	exact_symbol_match	ortholog_supported			+	synteny_strong	primary_claim_supported_with_minor_flags
pan_troglodytes	-4	upstream	4	BTBD16	BTBD16	BTBD16	exact_symbol_match	ortholog_supported			+	synteny_strong	primary_claim_supported_with_minor_flags
pan_troglodytes	-3	upstream	3	TACC2	TACC2	TACC2	exact_symbol_match	ortholog_supported			+	synteny_strong	primary_claim_supported_with_minor_flags
