transition	boundary_position_aa	left_exon	right_exon	nearest_domain_instance_id	nearest_domain_accession	nearest_domain_label	nearest_domain_start	nearest_domain_end	nearest_edge	nearest_edge_position	signed_distance_aa	absolute_distance_aa	boundary_class
E1 → E2	59	E1	E2	IPR007110:67-131	IPR007110	Ig1	67	131	start	67	-8	8	outside_annotated_domains
E2 → E3	148	E2	E3	IPR007110:67-131	IPR007110	Ig1	67	131	end	131	17	17	outside_annotated_domains
E3 → E4	173	E3	E4	IPR013098:192-269	IPR013098	Ig2	192	269	start	192	-19	19	outside_annotated_domains
E4 → E5	229	E4	E5	IPR013098:192-269	IPR013098	Ig2	192	269	start	192	37	37	inside_domain
E5 → E6	271	E5	E6	IPR013098:192-269	IPR013098	Ig2	192	269	end	269	2	2	near_domain_edge
E6 → E7	334	E6	E7	IPR007110:286-367	IPR007110	Ig3	286	367	end	367	-33	33	inside_domain
E7 → E8	384	E7	E8	IPR007110:286-367	IPR007110	Ig3	286	367	end	367	17	17	outside_annotated_domains
E8 → E9	451	E8	E9	IPR001245:458-791	IPR001245	kinase	458	791	start	458	-7	7	outside_annotated_domains
E9 → E10	502	E9	E10	IPR001245:458-791	IPR001245	kinase	458	791	start	458	44	44	inside_domain
E10 → E11	543	E10	E11	IPR001245:458-791	IPR001245	kinase	458	791	start	458	85	85	inside_domain
E11 → E12	580	E11	E12	IPR001245:458-791	IPR001245	kinase	458	791	start	458	122	122	inside_domain
E12 → E13	643	E12	E13	IPR001245:458-791	IPR001245	kinase	458	791	end	791	-148	148	inside_domain
E13 → E14	684	E13	E14	IPR001245:458-791	IPR001245	kinase	458	791	end	791	-107	107	inside_domain
E14 → E15	708	E14	E15	IPR001245:458-791	IPR001245	kinase	458	791	end	791	-83	83	inside_domain
E15 → E16	754	E15	E16	IPR001245:458-791	IPR001245	kinase	458	791	end	791	-37	37	inside_domain
E16 → E17	789	E16	E17	IPR001245:458-791	IPR001245	kinase	458	791	end	791	-2	2	near_domain_edge
