species	source	predicted_isoform	protein_id	n_member_databases	cassette_start_aa	cassette_end_aa	median_domain_end_aa	median_end_signed_offset	median_end_abs_offset	start_consensus	end_consensus	start_pass	end_pass	topology_pass
anolis_carolinensis	ensembl	IIIb	ENSACAP00000022870	5	366	411	408.0	-3.0	3.0	1.0	1.0	True	True	True
anolis_carolinensis	ensembl	IIIc	ENSACAP00000016963	5	367	413	411.0	-2.0	2.0	1.0	1.0	True	True	True
anolis_carolinensis	ncbi	IIIb	XP_062832082.1	5	366	411	408.0	-3.0	3.0	1.0	1.0	True	True	True
anolis_carolinensis	ncbi	IIIc	XP_062832081.1	5	367	413	411.0	-2.0	2.0	1.0	1.0	True	True	True
danio_rerio	ensembl	IIIb	ENSDARP00000123845	5	315	359	357.0	-2.0	4.0	1.0	1.0	True	True	True
danio_rerio	ensembl	IIIc	ENSDARP00000124761	5	338	384	382.0	-2.0	3.0	1.0	1.0	True	True	True
danio_rerio	ncbi	IIIb	XP_068081039.1	5	338	382	380.0	-2.0	4.0	1.0	1.0	True	True	True
danio_rerio	ncbi	IIIc	XP_068081038.1	5	338	384	382.0	-2.0	3.0	1.0	1.0	True	True	True
gallus_gallus	ensembl	IIIb	ENSGALP00010001717	5	335	380	378.0	-2.0	2.0	1.0	1.0	True	True	True
gallus_gallus	ensembl	IIIc	ENSGALP00010001719	5	335	382	379.0	-3.0	4.0	1.0	1.0	True	True	True
gallus_gallus	ncbi	IIIb	XP_015144070.1	5	335	380	378.0	-2.0	2.0	1.0	1.0	True	True	True
gallus_gallus	ncbi	IIIc	NP_990650.2	5	335	382	379.0	-3.0	4.0	1.0	1.0	True	True	True
gasterosteus_aculeatus	ensembl	IIIb	ENSGACP00000047216	5	126	170	168.0	-2.0	5.0	0.8	0.8	True	True	True
gasterosteus_aculeatus	ensembl	IIIc	ENSGACP00000042484	5	308	354	352.0	-2.0	3.0	1.0	1.0	True	True	True
gasterosteus_aculeatus	ncbi	IIIb	XP_077960652.1	5	126	170	168.0	-2.0	4.0	0.8	0.8	True	True	True
gasterosteus_aculeatus	ncbi	IIIc	XP_077960645.1	5	445	491	489.0	-2.0	3.0	1.0	1.0	True	True	True
homo_sapiens	ensembl	IIIb	ENSP00000410294	5	314	359	357.0	-2.0	3.0	1.0	1.0	True	True	True
homo_sapiens	ensembl	IIIc	ENSP00000351276	5	314	361	358.0	-3.0	3.0	1.0	1.0	True	True	True
homo_sapiens	ncbi	IIIb	NP_075259.4	5	314	359	357.0	-2.0	3.0	1.0	1.0	True	True	True
homo_sapiens	ncbi	IIIc	NP_000132.3	5	314	361	358.0	-3.0	3.0	1.0	1.0	True	True	True
mus_musculus	ensembl	IIIb	ENSMUSP00000113180	5	314	359	357.0	-2.0	3.0	1.0	1.0	True	True	True
mus_musculus	ensembl	IIIc	ENSMUSP00000112430	5	333	380	377.0	-3.0	3.0	1.0	1.0	True	True	True
mus_musculus	ncbi	IIIb	NP_963895.2	5	218	263	261.0	-2.0	3.0	1.0	1.0	True	True	True
mus_musculus	ncbi	IIIc	NP_034337.2	5	333	380	377.0	-3.0	3.0	1.0	1.0	True	True	True
takifugu_rubripes	ensembl	IIIb	ENSTRUP00000045146	5	337	381	379.0	-2.0	3.0	1.0	1.0	True	True	True
takifugu_rubripes	ensembl	IIIc	ENSTRUP00000045145	5	337	383	381.0	-2.0	3.0	1.0	1.0	True	True	True
takifugu_rubripes	ncbi	IIIb	XP_011601191.1	5	337	381	379.0	-2.0	3.0	1.0	1.0	True	True	True
takifugu_rubripes	ncbi	IIIc	XP_011601188.1	5	337	383	381.0	-2.0	3.0	1.0	1.0	True	True	True
xenopus_tropicalis	ensembl	IIIb	ENSXETP00000087394	5	326	368	368.0	0.0	1.0	1.0	1.0	True	True	True
xenopus_tropicalis	ensembl	IIIc	ENSXETP00000069725	5	401	448	446.0	-2.0	2.0	1.0	1.0	True	True	True
xenopus_tropicalis	ncbi	IIIb	XP_012821352.1	5	326	368	368.0	0.0	1.0	1.0	1.0	True	True	True
xenopus_tropicalis	ncbi	IIIc	XP_012821350.1	5	325	372	370.0	-2.0	2.0	1.0	1.0	True	True	True
