exon_label	exon_number	protein_start_aa	protein_end_aa	length_aa	genomic_start	genomic_end	transcript_id
E1	1	1	59	59			XM_024109913.3
E2	2	59	146	88			XM_024109913.3
E3	3	146	171	26			XM_024109913.3
E4	4	171	227	57			XM_024109913.3
E5	5	228	269	42			XM_024109913.3
E6	6	269	332	64			XM_024109913.3
E7	7	333	379	47			XM_024109913.3
E8	8	379	446	68			XM_024109913.3
E9	9	447	497	51			XM_024109913.3
E10	10	497	538	42			XM_024109913.3
E11	11	538	575	38			XM_024109913.3
E12	12	575	638	64			XM_024109913.3
E13	13	639	679	41			XM_024109913.3
E14	14	680	703	24			XM_024109913.3
E15	15	703	749	47			XM_024109913.3
E16	16	749	784	36			XM_024109913.3
E17	17	785	838	54			XM_024109913.3
