exon_label	exon_number	protein_start_aa	protein_end_aa	length_aa	genomic_start	genomic_end	transcript_id
E1	1	1	55	55			ENST00000358487
E2	2	56	91	36			ENST00000358487
E3	3	91	137	47			ENST00000358487
E4	4	137	160	24			ENST00000358487
E5	5	161	201	41			ENST00000358487
E6	6	202	265	64			ENST00000358487
E7	7	265	302	38			ENST00000358487
E8	8	302	343	42			ENST00000358487
E9	9	343	393	51			ENST00000358487
E10	10	394	461	68			ENST00000358487
E11	11	461	510	50			ENST00000358487
E12	12	511	574	64			ENST00000358487
E13	13	574	615	42			ENST00000358487
E14	14	616	672	57			ENST00000358487
E15	15	672	698	27			ENST00000358487
E16	16	698	787	90			ENST00000358487
E17	17	787	821	35			ENST00000358487
