species_id	scientific_name	model_id	protein_id	transcript_id	isoform_label	model_role	is_primary_reference	availability_status	reconstruction_status	review_status	omission_reason
homo_sapiens	Homo sapiens	fgfr2:homo_sapiens:IIIb	ENSP00000813085	ENST00001142305	IIIb	validated_isoform_IIIb	false	model_available	coordinate_mapped	flagged_for_review: coordinate_validation_status=moderate_native_offset_review	
homo_sapiens	Homo sapiens	fgfr2:homo_sapiens:IIIc	ENSP00000351276	ENST00000358487	IIIc	validated_isoform_IIIc	true	model_available	coordinate_mapped	flagged_for_review: coordinate_validation_status=moderate_native_offset_review	
pan_troglodytes	Pan troglodytes	fgfr2:pan_troglodytes:IIIb	XP_054516513.1	XM_054660538.2	IIIb	validated_isoform_IIIb	false	model_available	coordinate_mapped	no_review_flag	
pan_troglodytes	Pan troglodytes	fgfr2:pan_troglodytes:IIIc	XP_054516514.1	XM_054660539.2	IIIc	validated_isoform_IIIc	true	model_available	coordinate_mapped	no_review_flag	
gorilla_gorilla_gorilla	Gorilla gorilla gorilla	fgfr2:gorilla_gorilla_gorilla:IIIb	ENSGGOP00000051435	ENSGGOT00000059958	IIIb	validated_isoform_IIIb	false	model_available	native_exon_blocks_reconstructed	flagged_for_review: coordinate_validation_status=major_native_offset_review	
gorilla_gorilla_gorilla	Gorilla gorilla gorilla	fgfr2:gorilla_gorilla_gorilla:IIIc	XP_004050253.1	XP_004050253.1	IIIc	validated_isoform_IIIc	true	model_available	coordinate_mapped	flagged_for_review: coordinate_validation_status=major_native_offset_review	
pongo_abelii	Pongo abelii		XP_024108704.1		IIIb		false	no_architecture_model		supplement_review_only	no source-compatible validated candidate; sequence support only; the same protein is filed under this species' IIIc slot, so the two isoforms are not distinguishable by sequence here
pongo_abelii	Pongo abelii	fgfr2:pongo_abelii:IIIc	XP_024108704.1	XM_024252936	IIIc	validated_isoform_IIIc	true	model_available	coordinate_mapped	no_review_flag	
macaca_mulatta	Macaca mulatta	fgfr2:macaca_mulatta:IIIb	XP_015003815.1	XM_015148329.3	IIIb	validated_isoform_IIIb	false	model_available	coordinate_mapped	no_review_flag	
macaca_mulatta	Macaca mulatta	fgfr2:macaca_mulatta:IIIc	XP_077803775.1	XM_077947649.1	IIIc	validated_isoform_IIIc	true	model_available	coordinate_mapped	no_review_flag	
callithrix_jacchus	Callithrix jacchus	fgfr2:callithrix_jacchus:IIIb	XP_078202760.1	XM_078346634.1	IIIb	validated_isoform_IIIb	false	model_available	coordinate_mapped	no_review_flag	
callithrix_jacchus	Callithrix jacchus	fgfr2:callithrix_jacchus:IIIc	XP_078202765.1	XM_078346639.1	IIIc	validated_isoform_IIIc	true	model_available	coordinate_mapped	no_review_flag	
mus_musculus	Mus musculus	fgfr2:mus_musculus:IIIb	ENSMUSP00000113180	ENSMUST00000117691	IIIb	validated_isoform_IIIb	false	model_available	coordinate_mapped	flagged_for_review: coordinate_validation_status=moderate_native_offset_review	
mus_musculus	Mus musculus	fgfr2:mus_musculus:IIIc	ENSMUSP00000112430	ENSMUST00000122054	IIIc	validated_isoform_IIIc	true	model_available	coordinate_mapped	flagged_for_review: coordinate_validation_status=moderate_native_offset_review	
rattus_norvegicus	Rattus norvegicus	fgfr2:rattus_norvegicus:IIIb	XP_063137148.1	XM_063281078.1	IIIb	validated_isoform_IIIb	false	model_available	coordinate_mapped	no_review_flag	
rattus_norvegicus	Rattus norvegicus	fgfr2:rattus_norvegicus:IIIc	XP_063137149.1	XM_063281079.1	IIIc	validated_isoform_IIIc	true	model_available	coordinate_mapped	no_review_flag	
oryctolagus_cuniculus	Oryctolagus cuniculus	fgfr2:oryctolagus_cuniculus:IIIb	XP_069913100.1	XM_070056999.1	IIIb	validated_isoform_IIIb	false	model_available	coordinate_mapped	no_review_flag	
oryctolagus_cuniculus	Oryctolagus cuniculus	fgfr2:oryctolagus_cuniculus:IIIc	XP_069913096.1	XM_070056995.1	IIIc	validated_isoform_IIIc	true	model_available	coordinate_mapped	no_review_flag	
