species_id	scientific_name	CBG3	CBG15	CBG16	CBG17	CBG18	CBG19	CBG20	CBG21	CBG22	CBG23	CBG24	CBG25	CBG26	CBG27	CBG28	CBG29	CBG30	CBG31	CBG35	CBG38	CBG42	CBG43	CBG44	CBG45	CBG46	CBG47	CBG48	CBG49	CBG50	CBG51	CBG52	CBG62	CBG72	CBG74	CBG75	CBG76	CBG77	CBG78	CBG79	CBG80	CBG81	CBG82	CBG84	CBG91	CBG97	CBG101	CBG102	CBG105	CBG107	CBG109	CBG113	CBG123
homo_sapiens	Homo sapiens	27	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	36	boundary_absent_or_unmapped	boundary_absent_or_unmapped	-98	boundary_absent_or_unmapped	boundary_absent_or_unmapped
pan_troglodytes	Pan troglodytes	boundary_absent_or_unmapped	-8	16	-19	37	2	-33	17	-6	44	85	122	-148	-107	-83	-37	-2	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped
gorilla_gorilla_gorilla	Gorilla gorilla gorilla	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	-37	boundary_absent_or_unmapped	-20	31	4	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	-161	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	-120
pongo_abelii	Pongo abelii	boundary_absent_or_unmapped	-8	16	-19	37	2	-33	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	16	-8	43	84	121	-149	-108	-84	-38	-3	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped
macaca_mulatta	Macaca mulatta	boundary_absent_or_unmapped	-8	16	-19	37	2	-33	17	boundary_absent_or_unmapped	44	85	122	-148	-107	-83	-37	-2	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	-7	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped
callithrix_jacchus	Callithrix jacchus	boundary_absent_or_unmapped	-8	16	-19	37	2	-33	17	-6	44	85	122	-148	-107	-83	-37	-2	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped
mus_musculus	Mus musculus	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	-2	-9	boundary_absent_or_unmapped	5	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	-117	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	27	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	9	boundary_absent_or_unmapped
rattus_norvegicus	Rattus norvegicus	boundary_absent_or_unmapped	-8	17	-19	37	2	-33	17	-6	44	85	122	-148	-107	-83	-37	-2	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped
oryctolagus_cuniculus	Oryctolagus cuniculus	boundary_absent_or_unmapped	-8	17	-19	37	2	-33	17	boundary_absent_or_unmapped	44	85	122	-148	-107	-83	-37	-2	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	-7	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped
canis_lupus_familiaris	Canis lupus familiaris	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped	boundary_absent_or_unmapped
