comparable_boundary_group_id	mapping_method	mapping_status	mapping_confidence	msa_column	species_id	scientific_name	taxonomic_group	protein_id	transcript_id	boundary_id	exon_transition	native_position	nearest_domain_instance_id	nearest_domain_accession	nearest_domain_label	nearest_domain_start	nearest_domain_end	nearest_edge	nearest_edge_position	signed_distance	absolute_distance	boundary_class	domain_annotation_available
CBG1	msa_aligned_position	supported_comparable	1	5	homo_sapiens	Homo Sapiens	Other mammals	NP_001317366.1	NM_001330437.2	NP_001317366.1:cds1_end	E1 → E2	5	IPR000980:4-102	IPR000980	SH2 1	4	102	start	4	1	1	near_domain_edge	true
CBG1	msa_aligned_position	supported_comparable	1	5	mus_musculus	Mus Musculus	Other mammals	NP_035332.1	NM_011202.3	NP_035332.1:cds1_end	E1 → E2	5	IPR000980:4-102	IPR000980	SH2 1	4	102	start	4	1	1	near_domain_edge	true
CBG1	msa_aligned_position	supported_comparable	1	5	rattus_norvegicus	Rattus Norvegicus	Other mammals	NP_001171064.1	NM_001177593.1	NP_001171064.1:cds1_end	E1 → E2	5	IPR000980:4-102	IPR000980	SH2 1	4	102	start	4	1	1	near_domain_edge	true
CBG2	msa_aligned_position	supported_comparable	1	46	homo_sapiens	Homo Sapiens	Other mammals	NP_001317366.1	NM_001330437.2	NP_001317366.1:cds2_end	E2 → E3	46	IPR000980:4-102	IPR000980	SH2 1	4	102	start	4	42	42	inside_domain	true
CBG2	msa_aligned_position	supported_comparable	1	46	mus_musculus	Mus Musculus	Other mammals	NP_035332.1	NM_011202.3	NP_035332.1:cds2_end	E2 → E3	46	IPR000980:4-102	IPR000980	SH2 1	4	102	start	4	42	42	inside_domain	true
CBG2	msa_aligned_position	supported_comparable	1	46	rattus_norvegicus	Rattus Norvegicus	Other mammals	NP_001171064.1	NM_001177593.1	NP_001171064.1:cds2_end	E2 → E3	46	IPR000980:4-102	IPR000980	SH2 1	4	102	start	4	42	42	inside_domain	true
CBG3	msa_aligned_position	supported_comparable	1	111	homo_sapiens	Homo Sapiens	Other mammals	NP_001317366.1	NM_001330437.2	NP_001317366.1:cds3_end	E3 → E4	111	IPR000980:110-216	IPR000980	SH2 2	110	216	start	110	1	1	near_domain_edge	true
CBG3	msa_aligned_position	supported_comparable	1	111	mus_musculus	Mus Musculus	Other mammals	NP_035332.1	NM_011202.3	NP_035332.1:cds3_end	E3 → E4	111	IPR000980:110-216	IPR000980	SH2 2	110	216	start	110	1	1	near_domain_edge	true
CBG3	msa_aligned_position	supported_comparable	1	111	rattus_norvegicus	Rattus Norvegicus	Other mammals	NP_001171064.1	NM_001177593.1	NP_001171064.1:cds3_end	E3 → E4	111	IPR000980:110-216	IPR000980	SH2 2	110	216	start	110	1	1	near_domain_edge	true
CBG4	msa_aligned_position	supported_comparable	1	175	homo_sapiens	Homo Sapiens	Other mammals	NP_001317366.1	NM_001330437.2	NP_001317366.1:cds4_end	E4 → E5	175	IPR000980:110-216	IPR000980	SH2 2	110	216	end	216	-41	41	inside_domain	true
CBG4	msa_aligned_position	supported_comparable	1	175	mus_musculus	Mus Musculus	Other mammals	NP_035332.1	NM_011202.3	NP_035332.1:cds4_end	E4 → E5	175	IPR000980:110-216	IPR000980	SH2 2	110	216	end	216	-41	41	inside_domain	true
CBG4	msa_aligned_position	supported_comparable	1	175	rattus_norvegicus	Rattus Norvegicus	Other mammals	NP_001171064.1	NM_001177593.1	NP_001171064.1:cds4_end	E4 → E5	175	IPR000980:110-216	IPR000980	SH2 2	110	216	end	216	-41	41	inside_domain	true
CBG5	msa_aligned_position	supported_comparable	1	214	homo_sapiens	Homo Sapiens	Other mammals	NP_001317366.1	NM_001330437.2	NP_001317366.1:cds5_end	E5 → E6	214	IPR000980:110-216	IPR000980	SH2 2	110	216	end	216	-2	2	near_domain_edge	true
CBG5	msa_aligned_position	supported_comparable	1	214	mus_musculus	Mus Musculus	Other mammals	NP_035332.1	NM_011202.3	NP_035332.1:cds5_end	E5 → E6	214	IPR000980:110-216	IPR000980	SH2 2	110	216	end	216	-2	2	near_domain_edge	true
CBG5	msa_aligned_position	supported_comparable	1	214	rattus_norvegicus	Rattus Norvegicus	Other mammals	NP_001171064.1	NM_001177593.1	NP_001171064.1:cds5_end	E5 → E6	214	IPR000980:110-216	IPR000980	SH2 2	110	216	end	216	-2	2	near_domain_edge	true
CBG6	msa_aligned_position	supported_comparable	1	252	homo_sapiens	Homo Sapiens	Other mammals	NP_001317366.1	NM_001330437.2	NP_001317366.1:cds6_end	E6 → E7	252	IPR000242:246-527	IPR000242	PTP cat	246	527	start	246	6	6	inside_domain	true
CBG6	msa_aligned_position	supported_comparable	1	252	mus_musculus	Mus Musculus	Other mammals	NP_035332.1	NM_011202.3	NP_035332.1:cds6_end	E6 → E7	252	IPR000242:246-527	IPR000242	PTP cat	246	527	start	246	6	6	inside_domain	true
CBG6	msa_aligned_position	supported_comparable	1	252	rattus_norvegicus	Rattus Norvegicus	Other mammals	NP_001171064.1	NM_001177593.1	NP_001171064.1:cds6_end	E6 → E7	252	IPR000242:246-527	IPR000242	PTP cat	246	527	start	246	6	6	inside_domain	true
CBG7	msa_aligned_position	supported_comparable	1	285	homo_sapiens	Homo Sapiens	Other mammals	NP_001317366.1	NM_001330437.2	NP_001317366.1:cds7_end	E7 → E8	285	IPR000242:246-527	IPR000242	PTP cat	246	527	start	246	39	39	inside_domain	true
CBG7	msa_aligned_position	supported_comparable	1	285	mus_musculus	Mus Musculus	Other mammals	NP_035332.1	NM_011202.3	NP_035332.1:cds7_end	E7 → E8	285	IPR000242:246-527	IPR000242	PTP cat	246	527	start	246	39	39	inside_domain	true
CBG7	msa_aligned_position	supported_comparable	1	285	rattus_norvegicus	Rattus Norvegicus	Other mammals	NP_001171064.1	NM_001177593.1	NP_001171064.1:cds7_end	E7 → E8	285	IPR000242:246-527	IPR000242	PTP cat	246	527	start	246	39	39	inside_domain	true
CBG8	msa_aligned_position	supported_comparable	1	311	homo_sapiens	Homo Sapiens	Other mammals	NP_001317366.1	NM_001330437.2	NP_001317366.1:cds8_end	E8 → E9	311	IPR000242:246-527	IPR000242	PTP cat	246	527	start	246	65	65	inside_domain	true
CBG8	msa_aligned_position	supported_comparable	1	311	mus_musculus	Mus Musculus	Other mammals	NP_035332.1	NM_011202.3	NP_035332.1:cds8_end	E8 → E9	311	IPR000242:246-527	IPR000242	PTP cat	246	527	start	246	65	65	inside_domain	true
CBG8	msa_aligned_position	supported_comparable	1	311	rattus_norvegicus	Rattus Norvegicus	Other mammals	NP_001171064.1	NM_001177593.1	NP_001171064.1:cds8_end	E8 → E9	311	IPR000242:246-527	IPR000242	PTP cat	246	527	start	246	65	65	inside_domain	true
