species_id	protein_id	layer	member_database	signature_accession	signature_name	interpro_accession	interpro_name	interpro_type	start_aa	end_aa	score_or_evalue	is_integrated
mus_musculus	NP_035332.1	raw	FUNFAM	G3DSA:3.90.190.10:FF:000018	Tyrosine-protein phosphatase non-receptor type				218	529	2.5e-192	0
mus_musculus	NP_035332.1	raw	PIRSR	PIRSR000926-2	PIRSR000926-2				245	523	1.6e-62	0
mus_musculus	NP_035332.1	domain	SMART	SM00252	SH2_5	IPR000980	SH2	DOMAIN	4	87	1.4e-29	1
mus_musculus	NP_035332.1	domain	SMART	SM00252	SH2_5	IPR000980	SH2	DOMAIN	110	203	1.7e-34	1
mus_musculus	NP_035332.1	family	PIRSF	PIRSF000929	PTPN6_PTPN11	IPR012152	Tyr_Pase_non-rcpt_typ-6/11	FAMILY	1	597	0.0	1
mus_musculus	NP_035332.1	raw	PIRSR	PIRSR000933-51	PIRSR000933-51				209	539	1.6e-60	0
mus_musculus	NP_035332.1	family	SUPERFAMILY	SSF55550	SH2 domain	IPR036860	SH2_dom_sf	HOMOLOGOUS_SUPERFAMILY	111	216	2.96e-31	1
mus_musculus	NP_035332.1	family	GENE3D	G3DSA:3.30.505.10	SH2 domain	IPR036860	SH2_dom_sf	HOMOLOGOUS_SUPERFAMILY	104	217	1.7e-39	1
mus_musculus	NP_035332.1	raw	PIRSR	PIRSR000941-50	PIRSR000941-50				439	476	6.4e-06	0
mus_musculus	NP_035332.1	raw	PIRSR	PIRSR001997-1	PIRSR001997-1				272	529	4.3e-67	0
mus_musculus	NP_035332.1	domain	SMART	SM00194	PTPc_3	IPR000242	PTP_cat	DOMAIN	246	527	8.4e-133	1
mus_musculus	NP_035332.1	raw	PRINTS	PR00401	SH2DOMAIN				132	142	7.2e-17	0
mus_musculus	NP_035332.1	raw	PRINTS	PR00401	SH2DOMAIN				186	200	7.2e-17	0
mus_musculus	NP_035332.1	raw	PRINTS	PR00401	SH2DOMAIN				144	155	7.2e-17	0
mus_musculus	NP_035332.1	raw	PRINTS	PR00401	SH2DOMAIN				112	126	7.2e-17	0
mus_musculus	NP_035332.1	raw	PRINTS	PR00401	SH2DOMAIN				166	176	7.2e-17	0
mus_musculus	NP_035332.1	raw	PIRSR	PIRSR000926-1	PIRSR000926-1				245	523	1.6e-62	0
mus_musculus	NP_035332.1	raw	PIRSR	PIRSR000929-1	PIRSR000929-1				3	550	0.0	0
