exon_label	exon_number	protein_start_aa	protein_end_aa	length_aa	genomic_start	genomic_end	transcript_id
E1	1	1	56	56			XM_029080811.2
E2	2	56	145	90			XM_029080811.2
E3	3	145	170	26			XM_029080811.2
E4	4	170	226	57			XM_029080811.2
E5	5	227	268	42			XM_029080811.2
E6	6	268	331	64			XM_029080811.2
E7	7	332	381	50			XM_029080811.2
E8	8	381	448	68			XM_029080811.2
E9	9	449	499	51			XM_029080811.2
E10	10	499	540	42			XM_029080811.2
E11	11	540	577	38			XM_029080811.2
E12	12	577	640	64			XM_029080811.2
E13	13	641	681	41			XM_029080811.2
E14	14	682	705	24			XM_029080811.2
E15	15	705	751	47			XM_029080811.2
E16	16	751	786	36			XM_029080811.2
E17	17	787	839	53			XM_029080811.2
