transition	boundary_position_aa	left_exon	right_exon	nearest_domain_instance_id	nearest_domain_accession	nearest_domain_label	nearest_domain_start	nearest_domain_end	nearest_edge	nearest_edge_position	signed_distance_aa	absolute_distance_aa	boundary_class
E1 → E2	39	E1	E2	IPR007110:49-110	IPR007110	Ig1	49	110	start	49	-10	10	outside_annotated_domains
E2 → E3	125	E2	E3	IPR007110:49-110	IPR007110	Ig1	49	110	end	110	15	15	outside_annotated_domains
E3 → E4	150	E3	E4	IPR013098:168-246	IPR013098	Ig2	168	246	start	168	-18	18	outside_annotated_domains
E4 → E5	206	E4	E5	IPR013098:168-246	IPR013098	Ig2	168	246	start	168	38	38	inside_domain
E5 → E6	248	E5	E6	IPR013098:168-246	IPR013098	Ig2	168	246	end	246	2	2	near_domain_edge
E6 → E7	311	E6	E7	IPR013098:261-357	IPR013098	Ig3	261	357	end	357	-46	46	inside_domain
E7 → E8	360	E7	E8	IPR013098:261-357	IPR013098	Ig3	261	357	end	357	3	3	near_domain_edge
E8 → E9	424	E8	E9	IPR001245:431-761	IPR001245	kinase	431	761	start	431	-7	7	outside_annotated_domains
E9 → E10	471	E9	E10	IPR001245:431-761	IPR001245	kinase	431	761	start	431	40	40	inside_domain
E10 → E11	512	E10	E11	IPR001245:431-761	IPR001245	kinase	431	761	start	431	81	81	inside_domain
E11 → E12	549	E11	E12	IPR001245:431-761	IPR001245	kinase	431	761	start	431	118	118	inside_domain
E12 → E13	612	E12	E13	IPR001245:431-761	IPR001245	kinase	431	761	end	761	-149	149	inside_domain
E13 → E14	653	E13	E14	IPR001245:431-761	IPR001245	kinase	431	761	end	761	-108	108	inside_domain
E14 → E15	677	E14	E15	IPR001245:431-761	IPR001245	kinase	431	761	end	761	-84	84	inside_domain
E15 → E16	723	E15	E16	IPR001245:431-761	IPR001245	kinase	431	761	end	761	-38	38	inside_domain
E16 → E17	758	E16	E17	IPR001245:431-761	IPR001245	kinase	431	761	end	761	-3	3	near_domain_edge
