species_id	protein_id	domain_source	domain_id	domain_name	start_aa	end_aa	score	match_status	interpro_accession	interpro_description	go_terms	pathways	feature_type	domain_class_simplified	source_file
homo_sapiens	NP_001304849.1	PFAM,PROSITE_PROFILES,SMART	IPR003093	Bcl2_BH4	1	27			IPR003093	Bcl2_BH4			domain		
homo_sapiens	NP_001304849.1	PFAM,SMART	IPR046371	Bcl-2_BH1-3	90	188			IPR046371	Bcl-2_BH1-3			domain		
homo_sapiens	NP_001304849.1	PRINTS	IPR013279	Apop_reg_BclX	1	129			IPR013279	Apop_reg_BclX			family		
homo_sapiens	NP_001304849.1	GENE3D,SUPERFAMILY	IPR036834	Bcl-2-like_sf	1	209			IPR036834	Bcl-2-like_sf			family		
homo_sapiens	NP_001304849.1	NCBIFAM	IPR004725	Bcl2/BclX	1	233			IPR004725	Bcl2/BclX			family		
homo_sapiens	NP_001304849.1	CDD,PANTHER,PRINTS	IPR026298	Bcl-2_fam	2	211			IPR026298	Bcl-2_fam			family		
homo_sapiens	NP_001304849.1	PROSITE_PROFILES	IPR002475	Bcl2-like	90	190			IPR002475	Bcl2-like			family		
homo_sapiens	NP_001304849.1	PROSITE_PATTERNS	IPR020731	Bcl2_BH4_motif_CS	4	24			IPR020731	Bcl2_BH4_motif_CS			feature		
homo_sapiens	NP_001304849.1	MOBIDB_LITE		disorder_prediction	28	71				disorder_prediction			feature		
homo_sapiens	NP_001304849.1	PROSITE_PATTERNS	IPR020728	Bcl2_BH3_motif_CS	86	100			IPR020728	Bcl2_BH3_motif_CS			feature		
homo_sapiens	NP_001304849.1	PROSITE_PATTERNS	IPR020717	Bcl2_BH1_motif_CS	130	148			IPR020717	Bcl2_BH1_motif_CS			feature		
homo_sapiens	NP_001304849.1	PROSITE_PATTERNS	IPR020726	Bcl2_BH2_motif_CS	181	192			IPR020726	Bcl2_BH2_motif_CS			feature		
mus_musculus	NP_001276668.1	PFAM,PROSITE_PROFILES,SMART	IPR003093	Bcl2_BH4	1	27			IPR003093	Bcl2_BH4			domain		
mus_musculus	NP_001276668.1	PFAM,SMART	IPR046371	Bcl-2_BH1-3	90	188			IPR046371	Bcl-2_BH1-3			domain		
mus_musculus	NP_001276668.1	PRINTS	IPR013279	Apop_reg_BclX	1	129			IPR013279	Apop_reg_BclX			family		
mus_musculus	NP_001276668.1	GENE3D,SUPERFAMILY	IPR036834	Bcl-2-like_sf	1	191			IPR036834	Bcl-2-like_sf			family		
mus_musculus	NP_001276668.1	CDD,PANTHER,PRINTS	IPR026298	Bcl-2_fam	2	209			IPR026298	Bcl-2_fam			family		
mus_musculus	NP_001276668.1	PROSITE_PROFILES	IPR002475	Bcl2-like	90	190			IPR002475	Bcl2-like			family		
mus_musculus	NP_001276668.1	PROSITE_PATTERNS	IPR020731	Bcl2_BH4_motif_CS	4	24			IPR020731	Bcl2_BH4_motif_CS			feature		
mus_musculus	NP_001276668.1	MOBIDB_LITE		disorder_prediction	27	73				disorder_prediction			feature		
mus_musculus	NP_001276668.1	PROSITE_PATTERNS	IPR020728	Bcl2_BH3_motif_CS	86	100			IPR020728	Bcl2_BH3_motif_CS			feature		
mus_musculus	NP_001276668.1	PROSITE_PATTERNS	IPR020717	Bcl2_BH1_motif_CS	130	148			IPR020717	Bcl2_BH1_motif_CS			feature		
