species_id	scientific_name	protein_id	protein_length	exon_label	native_start	native_end
homo_sapiens	Homo sapiens	ENSP00000351276	821	E1	1	55
homo_sapiens	Homo sapiens	ENSP00000351276	821	E2	56	91
homo_sapiens	Homo sapiens	ENSP00000351276	821	E3	91	137
homo_sapiens	Homo sapiens	ENSP00000351276	821	E4	137	160
homo_sapiens	Homo sapiens	ENSP00000351276	821	E5	161	201
homo_sapiens	Homo sapiens	ENSP00000351276	821	E6	202	265
homo_sapiens	Homo sapiens	ENSP00000351276	821	E7	265	302
homo_sapiens	Homo sapiens	ENSP00000351276	821	E8	302	343
homo_sapiens	Homo sapiens	ENSP00000351276	821	E9	343	393
homo_sapiens	Homo sapiens	ENSP00000351276	821	E10	394	461
homo_sapiens	Homo sapiens	ENSP00000351276	821	E11	461	510
homo_sapiens	Homo sapiens	ENSP00000351276	821	E12	511	574
homo_sapiens	Homo sapiens	ENSP00000351276	821	E13	574	615
homo_sapiens	Homo sapiens	ENSP00000351276	821	E14	616	672
homo_sapiens	Homo sapiens	ENSP00000351276	821	E15	672	698
homo_sapiens	Homo sapiens	ENSP00000351276	821	E16	698	787
homo_sapiens	Homo sapiens	ENSP00000351276	821	E17	787	821
pan_troglodytes	Pan troglodytes	XP_054516514.1	840	E1	1	56
pan_troglodytes	Pan troglodytes	XP_054516514.1	840	E2	56	145
pan_troglodytes	Pan troglodytes	XP_054516514.1	840	E3	145	171
pan_troglodytes	Pan troglodytes	XP_054516514.1	840	E4	171	227
pan_troglodytes	Pan troglodytes	XP_054516514.1	840	E5	228	269
pan_troglodytes	Pan troglodytes	XP_054516514.1	840	E6	269	332
pan_troglodytes	Pan troglodytes	XP_054516514.1	840	E7	333	382
pan_troglodytes	Pan troglodytes	XP_054516514.1	840	E8	382	450
pan_troglodytes	Pan troglodytes	XP_054516514.1	840	E9	450	500
pan_troglodytes	Pan troglodytes	XP_054516514.1	840	E10	500	541
pan_troglodytes	Pan troglodytes	XP_054516514.1	840	E11	541	578
pan_troglodytes	Pan troglodytes	XP_054516514.1	840	E12	578	641
pan_troglodytes	Pan troglodytes	XP_054516514.1	840	E13	642	682
pan_troglodytes	Pan troglodytes	XP_054516514.1	840	E14	683	706
pan_troglodytes	Pan troglodytes	XP_054516514.1	840	E15	706	752
pan_troglodytes	Pan troglodytes	XP_054516514.1	840	E16	752	787
pan_troglodytes	Pan troglodytes	XP_054516514.1	840	E17	788	840
gorilla_gorilla_gorilla	Gorilla gorilla gorilla	XP_004050253.1	723	E1	1	55
gorilla_gorilla_gorilla	Gorilla gorilla gorilla	XP_004050253.1	723	E2	56	91
gorilla_gorilla_gorilla	Gorilla gorilla gorilla	XP_004050253.1	723	E3	91	137
gorilla_gorilla_gorilla	Gorilla gorilla gorilla	XP_004050253.1	723	E4	137	160
gorilla_gorilla_gorilla	Gorilla gorilla gorilla	XP_004050253.1	723	E5	161	201
gorilla_gorilla_gorilla	Gorilla gorilla gorilla	XP_004050253.1	723	E6	202	265
gorilla_gorilla_gorilla	Gorilla gorilla gorilla	XP_004050253.1	723	E7	265	302
gorilla_gorilla_gorilla	Gorilla gorilla gorilla	XP_004050253.1	723	E8	302	343
gorilla_gorilla_gorilla	Gorilla gorilla gorilla	XP_004050253.1	723	E9	343	398
gorilla_gorilla_gorilla	Gorilla gorilla gorilla	XP_004050253.1	723	E10	398	447
gorilla_gorilla_gorilla	Gorilla gorilla gorilla	XP_004050253.1	723	E11	448	511
gorilla_gorilla_gorilla	Gorilla gorilla gorilla	XP_004050253.1	723	E12	511	552
gorilla_gorilla_gorilla	Gorilla gorilla gorilla	XP_004050253.1	723	E13	553	609
gorilla_gorilla_gorilla	Gorilla gorilla gorilla	XP_004050253.1	723	E14	609	635
gorilla_gorilla_gorilla	Gorilla gorilla gorilla	XP_004050253.1	723	E15	635	671
pongo_abelii	Pongo abelii	XP_024108704.1	838	E1	1	56
pongo_abelii	Pongo abelii	XP_024108704.1	838	E2	56	145
pongo_abelii	Pongo abelii	XP_024108704.1	838	E3	145	171
pongo_abelii	Pongo abelii	XP_024108704.1	838	E4	171	227
pongo_abelii	Pongo abelii	XP_024108704.1	838	E5	228	269
pongo_abelii	Pongo abelii	XP_024108704.1	838	E6	269	332
pongo_abelii	Pongo abelii	XP_024108704.1	838	E7	333	381
pongo_abelii	Pongo abelii	XP_024108704.1	838	E8	381	446
pongo_abelii	Pongo abelii	XP_024108704.1	838	E9	447	497
pongo_abelii	Pongo abelii	XP_024108704.1	838	E10	497	538
pongo_abelii	Pongo abelii	XP_024108704.1	838	E11	538	575
pongo_abelii	Pongo abelii	XP_024108704.1	838	E12	575	638
pongo_abelii	Pongo abelii	XP_024108704.1	838	E13	639	679
pongo_abelii	Pongo abelii	XP_024108704.1	838	E14	680	703
pongo_abelii	Pongo abelii	XP_024108704.1	838	E15	703	749
pongo_abelii	Pongo abelii	XP_024108704.1	838	E16	749	784
pongo_abelii	Pongo abelii	XP_024108704.1	838	E17	785	838
macaca_mulatta	Macaca mulatta	XP_077803775.1	838	E1	1	56
macaca_mulatta	Macaca mulatta	XP_077803775.1	838	E2	56	145
macaca_mulatta	Macaca mulatta	XP_077803775.1	838	E3	145	171
macaca_mulatta	Macaca mulatta	XP_077803775.1	838	E4	171	227
macaca_mulatta	Macaca mulatta	XP_077803775.1	838	E5	228	269
macaca_mulatta	Macaca mulatta	XP_077803775.1	838	E6	269	332
macaca_mulatta	Macaca mulatta	XP_077803775.1	838	E7	333	382
macaca_mulatta	Macaca mulatta	XP_077803775.1	838	E8	382	447
macaca_mulatta	Macaca mulatta	XP_077803775.1	838	E9	448	498
macaca_mulatta	Macaca mulatta	XP_077803775.1	838	E10	498	539
macaca_mulatta	Macaca mulatta	XP_077803775.1	838	E11	539	576
macaca_mulatta	Macaca mulatta	XP_077803775.1	838	E12	576	639
macaca_mulatta	Macaca mulatta	XP_077803775.1	838	E13	640	680
macaca_mulatta	Macaca mulatta	XP_077803775.1	838	E14	681	704
macaca_mulatta	Macaca mulatta	XP_077803775.1	838	E15	704	750
macaca_mulatta	Macaca mulatta	XP_077803775.1	838	E16	750	785
macaca_mulatta	Macaca mulatta	XP_077803775.1	838	E17	786	838
callithrix_jacchus	Callithrix jacchus	XP_078202765.1	840	E1	1	56
callithrix_jacchus	Callithrix jacchus	XP_078202765.1	840	E2	56	145
callithrix_jacchus	Callithrix jacchus	XP_078202765.1	840	E3	145	171
callithrix_jacchus	Callithrix jacchus	XP_078202765.1	840	E4	171	227
callithrix_jacchus	Callithrix jacchus	XP_078202765.1	840	E5	228	269
callithrix_jacchus	Callithrix jacchus	XP_078202765.1	840	E6	269	332
callithrix_jacchus	Callithrix jacchus	XP_078202765.1	840	E7	333	382
callithrix_jacchus	Callithrix jacchus	XP_078202765.1	840	E8	382	450
callithrix_jacchus	Callithrix jacchus	XP_078202765.1	840	E9	450	500
callithrix_jacchus	Callithrix jacchus	XP_078202765.1	840	E10	500	541
callithrix_jacchus	Callithrix jacchus	XP_078202765.1	840	E11	541	578
