species_id	protein_id	transcript_id	selected_primary	species_primary	selection_rule	selection_source	evidence_status	confidence	reason	alternatives_considered
homo_sapiens	NP_001304849.1	NM_001317920.2	true	true	refseq_curated_over_predicted	RefSeq curated (NM/NP)	accepted	high	NP_001304849.1 (NM_001317920.2) was selected as primary because it is the curated RefSeq protein (NM/NP). Predicted XP isoforms are retained as alternatives.	NP_001309168.1(233aa); NP_001304850.1(233aa); NP_001309169.1(233aa); NP_001304848.1(233aa); NP_001182.1(170aa); NP_612815.1(233aa); NP_001411260.1(233aa); NP_001411261.1(233aa); NP_001309171.1(233aa)
homo_sapiens	NP_001309168.1	NM_001322239.2	false	false		RefSeq curated (NM/NP)	alternative		RefSeq curated (NM/NP) isoform	
homo_sapiens	NP_001304850.1	NM_001317921.2	false	false		RefSeq curated (NM/NP)	alternative		RefSeq curated (NM/NP) isoform	
homo_sapiens	NP_001309169.1	NM_001322240.2	false	false		RefSeq curated (NM/NP)	alternative		RefSeq curated (NM/NP) isoform	
homo_sapiens	NP_001304848.1	NM_001317919.2	false	false		RefSeq curated (NM/NP)	alternative		RefSeq curated (NM/NP) isoform	
homo_sapiens	NP_001182.1	NM_001191.4	false	false		RefSeq curated (NM/NP)	alternative		RefSeq curated (NM/NP) isoform	
homo_sapiens	NP_612815.1	NM_138578.3	false	false		RefSeq curated (NM/NP)	alternative		RefSeq curated (NM/NP) isoform	
homo_sapiens	NP_001411260.1	NM_001424331.1	false	false		RefSeq curated (NM/NP)	alternative		RefSeq curated (NM/NP) isoform	
homo_sapiens	NP_001411261.1	NM_001424332.1	false	false		RefSeq curated (NM/NP)	alternative		RefSeq curated (NM/NP) isoform	
homo_sapiens	NP_001309171.1	NM_001322242.2	false	false		RefSeq curated (NM/NP)	alternative		RefSeq curated (NM/NP) isoform	
mus_musculus	NP_001276668.1	NM_001289739.2	false	true		RefSeq curated (NM/NP)	alternative			
mus_musculus	NP_033873.3	NM_009743.6	false	false		RefSeq curated (NM/NP)	alternative			
mus_musculus	NP_001403826.1	NM_001416897.1	false	false		RefSeq curated (NM/NP)	alternative			
mus_musculus	NP_001403825.1	NM_001416896.1	false	false		RefSeq curated (NM/NP)	alternative			
mus_musculus	NP_001403827.1	NM_001416898.1	false	false		RefSeq curated (NM/NP)	alternative			
mus_musculus	NP_001276646.1	NM_001289717.2	false	false		RefSeq curated (NM/NP)	alternative			
mus_musculus	NP_001276645.1	NM_001289716.2	false	false		RefSeq curated (NM/NP)	alternative			
mus_musculus	NP_001341982.1	NM_001355053.2	false	false		RefSeq curated (NM/NP)	alternative			
mus_musculus	NP_001403828.1	NM_001416899.1	false	false		RefSeq curated (NM/NP)	alternative			
