species	isoform	final_isoform_label	transcript_id	protein_id	protein_length	interpro_accession	interpro_description	member_database	signature_accession	signature_description	domain_class_simplified	domain_start_aa	domain_end_aa	source_file
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	IPR016248	Fibroblast growth factor receptor family	PIRSF	PIRSF000628	FGFR	fgfr_family	28	820	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	IPR007110	Immunoglobulin-like domain	ProSiteProfiles	PS50835	Ig-like domain profile.	ig_like_domain	61	147	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869			FunFam	G3DSA:2.60.40.10:FF:000252	Fibroblast growth factor receptor	fgfr_family	63	151	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	IPR013783	Immunoglobulin-like fold	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	ig_like_domain	63	151	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	IPR036179	Immunoglobulin-like domain superfamily	SUPERFAMILY	SSF48726	Immunoglobulin	ig_like_domain	67	149	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869			Pfam	PF13927	Immunoglobulin domain	ig_like_domain	67	131	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	IPR003599	Immunoglobulin domain subtype	SMART	SM00409	IG_3c	ig_like_domain	69	147	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	IPR003598	Immunoglobulin subtype 2	SMART	SM00408	igc2_5	ig_like_domain	75	136	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	IPR050122	Receptor Tyrosine Kinase	PANTHER	PTHR24416	TYROSINE-PROTEIN KINASE RECEPTOR	fgfr_family	91	785	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	IPR013783	Immunoglobulin-like fold	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	ig_like_domain	163	271	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869			FunFam	G3DSA:2.60.40.10:FF:000016	Fibroblast growth factor receptor	fgfr_family	165	271	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	IPR007110	Immunoglobulin-like domain	ProSiteProfiles	PS50835	Ig-like domain profile.	ig_like_domain	175	268	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869			CDD	cd05857	IgI_2_FGFR	fgfr_family	175	269	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	IPR003599	Immunoglobulin domain subtype	SMART	SM00409	IG_3c	ig_like_domain	185	270	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	IPR036179	Immunoglobulin-like domain superfamily	SUPERFAMILY	SSF48726	Immunoglobulin	ig_like_domain	188	271	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	IPR003598	Immunoglobulin subtype 2	SMART	SM00408	igc2_5	ig_like_domain	191	259	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	IPR013098	Immunoglobulin I-set	Pfam	PF07679	Immunoglobulin I-set domain	ig_like_domain	192	269	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	IPR013783	Immunoglobulin-like fold	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	ig_like_domain	272	384	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869			FunFam	G3DSA:2.60.40.10:FF:000020	Fibroblast growth factor receptor	fgfr_family	273	383	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	IPR007110	Immunoglobulin-like domain	ProSiteProfiles	PS50835	Ig-like domain profile.	ig_like_domain	277	377	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	IPR036179	Immunoglobulin-like domain superfamily	SUPERFAMILY	SSF48726	Immunoglobulin	ig_like_domain	277	378	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	IPR003599	Immunoglobulin domain subtype	SMART	SM00409	IG_3c	ig_like_domain	284	379	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	IPR013098	Immunoglobulin I-set	Pfam	PF07679	Immunoglobulin I-set domain	ig_like_domain	284	378	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	IPR003598	Immunoglobulin subtype 2	SMART	SM00408	igc2_5	ig_like_domain	290	368	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
