exon_label	exon_number	protein_start_aa	protein_end_aa	length_aa	genomic_start	genomic_end	transcript_id
E1	1	1	57	57			XM_011484753.4
E2	2	57	143	87			XM_011484753.4
E3	3	143	168	26			XM_011484753.4
E4	4	168	224	57			XM_011484753.4
E5	5	225	266	42			XM_011484753.4
E6	6	266	329	64			XM_011484753.4
E7	7	330	376	47			XM_011484753.4
E8	8	376	442	67			XM_011484753.4
E9	9	443	489	47			XM_011484753.4
E10	10	489	530	42			XM_011484753.4
E11	11	530	567	38			XM_011484753.4
E12	12	567	630	64			XM_011484753.4
E13	13	631	671	41			XM_011484753.4
E14	14	672	695	24			XM_011484753.4
E15	15	695	741	47			XM_011484753.4
E16	16	741	776	36			XM_011484753.4
E17	17	777	830	54			XM_011484753.4
