comparable_boundary_group_id	n_species_observed	mapping_coverage	exact_near_proportion	raw_signed_distances	cross_species_difference	distance_range	dominant_class	domain_annotation_availability	mapping_confidence_distribution
CBG1	1.0	1.0		{'species_id': 'homo_sapiens', 'signed_distance': 1, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'mus_musculus', 'signed_distance': 1, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'rattus_norvegicus', 'signed_distance': 1, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True}		[1, 1]	near_domain_edge		"{""min"": 1.0, ""max"": 1.0}"
CBG2	1.0	1.0		{'species_id': 'homo_sapiens', 'signed_distance': 42, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'mus_musculus', 'signed_distance': 42, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'rattus_norvegicus', 'signed_distance': 42, 'boundary_class': 'inside_domain', 'domain_annotation_available': True}		[42, 42]	inside_domain		"{""min"": 1.0, ""max"": 1.0}"
CBG3	1.0	1.0		{'species_id': 'homo_sapiens', 'signed_distance': 1, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'mus_musculus', 'signed_distance': 1, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'rattus_norvegicus', 'signed_distance': 1, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True}		[1, 1]	near_domain_edge		"{""min"": 1.0, ""max"": 1.0}"
CBG4	1.0	1.0		{'species_id': 'homo_sapiens', 'signed_distance': -41, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'mus_musculus', 'signed_distance': -41, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'rattus_norvegicus', 'signed_distance': -41, 'boundary_class': 'inside_domain', 'domain_annotation_available': True}		[-41, -41]	inside_domain		"{""min"": 1.0, ""max"": 1.0}"
CBG5	1.0	1.0		{'species_id': 'homo_sapiens', 'signed_distance': -2, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'mus_musculus', 'signed_distance': -2, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'rattus_norvegicus', 'signed_distance': -2, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True}		[-2, -2]	near_domain_edge		"{""min"": 1.0, ""max"": 1.0}"
CBG6	1.0	1.0		{'species_id': 'homo_sapiens', 'signed_distance': 6, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'mus_musculus', 'signed_distance': 6, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'rattus_norvegicus', 'signed_distance': 6, 'boundary_class': 'inside_domain', 'domain_annotation_available': True}		[6, 6]	inside_domain		"{""min"": 1.0, ""max"": 1.0}"
CBG7	1.0	1.0		{'species_id': 'homo_sapiens', 'signed_distance': 39, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'mus_musculus', 'signed_distance': 39, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'rattus_norvegicus', 'signed_distance': 39, 'boundary_class': 'inside_domain', 'domain_annotation_available': True}		[39, 39]	inside_domain		"{""min"": 1.0, ""max"": 1.0}"
CBG8	1.0	1.0		{'species_id': 'homo_sapiens', 'signed_distance': 65, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'mus_musculus', 'signed_distance': 65, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'rattus_norvegicus', 'signed_distance': 65, 'boundary_class': 'inside_domain', 'domain_annotation_available': True}		[65, 65]	inside_domain		"{""min"": 1.0, ""max"": 1.0}"
CBG9	1.0	1.0		{'species_id': 'homo_sapiens', 'signed_distance': 118, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'mus_musculus', 'signed_distance': 118, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'rattus_norvegicus', 'signed_distance': 118, 'boundary_class': 'inside_domain', 'domain_annotation_available': True}		[118, 118]	inside_domain		"{""min"": 1.0, ""max"": 1.0}"
CBG10	1.0	1.0		{'species_id': 'homo_sapiens', 'signed_distance': -119, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'mus_musculus', 'signed_distance': -119, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'rattus_norvegicus', 'signed_distance': -119, 'boundary_class': 'inside_domain', 'domain_annotation_available': True}		[-119, -119]	inside_domain		"{""min"": 1.0, ""max"": 1.0}"
