exon_label	exon_number	protein_start_aa	protein_end_aa	length_aa	genomic_start	genomic_end	transcript_id
E1	1	1	56	56			XM_015148329.3
E2	2	56	145	90			XM_015148329.3
E3	3	145	171	27			XM_015148329.3
E4	4	171	227	57			XM_015148329.3
E5	5	228	269	42			XM_015148329.3
E6	6	269	332	64			XM_015148329.3
E7	7	333	381	49			XM_015148329.3
E8	8	381	446	66			XM_015148329.3
E9	9	447	497	51			XM_015148329.3
E10	10	497	538	42			XM_015148329.3
E11	11	538	575	38			XM_015148329.3
E12	12	575	638	64			XM_015148329.3
E13	13	639	679	41			XM_015148329.3
E14	14	680	703	24			XM_015148329.3
E15	15	703	749	47			XM_015148329.3
E16	16	749	784	36			XM_015148329.3
E17	17	785	839	55			XM_015148329.3
