species_id	scientific_name	target_gene	slot_x	is_target	neighbour_symbol	side	order	orientation	gene_id	placeholder	classification	status	orthology_confidence	distance_to_target
homo_sapiens	Homo sapiens	FGFR2	-5	false	PLEKHA1	upstream	5	+	GeneID:59338	false	exact	ortholog_supported	high	776250
homo_sapiens	Homo sapiens	FGFR2	-4	false	BTBD16	upstream	4	+	GeneID:118663	false	exact	ortholog_supported	high	672838
homo_sapiens	Homo sapiens	FGFR2	-3	false	TACC2	upstream	3	+	GeneID:10579	false	exact	ortholog_supported	high	390705
homo_sapiens	Homo sapiens	FGFR2	-2	false	NSMCE4A	upstream	2	-	GeneID:54780	false	exact	ortholog_supported	high	358633
homo_sapiens	Homo sapiens	FGFR2	-1	false	ATE1	upstream	1	-	GeneID:11101	false	exact	ortholog_supported	high	141966
homo_sapiens	Homo sapiens	FGFR2	0	true		target	0	-	GeneID:2263	false	target	target	target	0
homo_sapiens	Homo sapiens	FGFR2	1	false	WDR11	downstream	1	+	GeneID:55717	false	exact	ortholog_supported	high	568806
homo_sapiens	Homo sapiens	FGFR2	2	false	PLPP4	downstream	2	+	GeneID:196051	false	exact	ortholog_supported	high	886265
homo_sapiens	Homo sapiens	FGFR2	3	false	SEC23IP	downstream	3	+	GeneID:11196	false	exact	ortholog_supported	high	1533673
homo_sapiens	Homo sapiens	FGFR2	4	false	MCMBP	downstream	4	-	GeneID:79892	false	exact	ortholog_supported	high	1604749
homo_sapiens	Homo sapiens	FGFR2	5	false	INPP5F	downstream	5	+	GeneID:22876	false	exact	ortholog_supported	high	1649183
pan_troglodytes	Pan troglodytes	FGFR2	-5	false	PLEKHA1	upstream	5	+	GeneID:450790	false	exact	ortholog_supported	high	772218
pan_troglodytes	Pan troglodytes	FGFR2	-4	false	BTBD16	upstream	4	+	GeneID:742437	false	exact	ortholog_supported	high	669149
pan_troglodytes	Pan troglodytes	FGFR2	-3	false	TACC2	upstream	3	+	GeneID:742328	false	exact	ortholog_supported	high	394440
pan_troglodytes	Pan troglodytes	FGFR2	-2	false	NSMCE4A	upstream	2	-	GeneID:742274	false	exact	ortholog_supported	high	357399
pan_troglodytes	Pan troglodytes	FGFR2	-1	false	ATE1	upstream	1	-	GeneID:450786	false	exact	ortholog_supported	high	141227
pan_troglodytes	Pan troglodytes	FGFR2	0	true		target	0	-	GeneID:466220	false	target	target	target	0
pan_troglodytes	Pan troglodytes	FGFR2	1	false	WDR11	downstream	1	+	GeneID:450784	false	exact	ortholog_supported	high	562072
pan_troglodytes	Pan troglodytes	FGFR2	2	false	PLPP4	downstream	2	+	GeneID:741827	false	exact	ortholog_supported	high	883719
pan_troglodytes	Pan troglodytes	FGFR2	3	false	SEC23IP	downstream	3	+	GeneID:450782	false	exact	ortholog_supported	high	1543350
pan_troglodytes	Pan troglodytes	FGFR2	4	false	MCMBP	downstream	4	-	GeneID:450781	false	exact	ortholog_supported	high	1611572
pan_troglodytes	Pan troglodytes	FGFR2	5	false	INPP5F	downstream	5	+	GeneID:450780	false	exact	ortholog_supported	high	1656307
gorilla_gorilla_gorilla	Gorilla gorilla gorilla	FGFR2	-5	false	PLEKHA1	upstream	5	+	GeneID:101126217	false	exact	ortholog_supported	high	764120
gorilla_gorilla_gorilla	Gorilla gorilla gorilla	FGFR2	-4	false	BTBD16	upstream	4	+	GeneID:101125856	false	exact	ortholog_supported	high	661530
gorilla_gorilla_gorilla	Gorilla gorilla gorilla	FGFR2	-3	false	TACC2	upstream	3	+	GeneID:101125009	false	exact	ortholog_supported	high	386488
gorilla_gorilla_gorilla	Gorilla gorilla gorilla	FGFR2	-2	false	NSMCE4A	upstream	2	-	GeneID:101128882	false	exact	ortholog_supported	high	348483
gorilla_gorilla_gorilla	Gorilla gorilla gorilla	FGFR2	-1	false	ATE1	upstream	1	-	GeneID:101128164	false	exact	ortholog_supported	high	138692
gorilla_gorilla_gorilla	Gorilla gorilla gorilla	FGFR2	0	true		target	0	-	GeneID:101153046	false	target	target	target	0
gorilla_gorilla_gorilla	Gorilla gorilla gorilla	FGFR2	1	false	RPS2	downstream	1	+	GeneID:101151121	false	rbh	broad_homology_named	medium	90583
gorilla_gorilla_gorilla	Gorilla gorilla gorilla	FGFR2	2	false	WDR11	downstream	2	+	GeneID:101154496	false	exact	ortholog_supported	high	566406
gorilla_gorilla_gorilla	Gorilla gorilla gorilla	FGFR2	3	false	CCDC187	downstream	3	+	GeneID:134759250	false	weak	broad_homology_named	low	880360
gorilla_gorilla_gorilla	Gorilla gorilla gorilla	FGFR2	4	false	PLPP4	downstream	4	+	GeneID:101150028	false	exact	ortholog_supported	high	889260
gorilla_gorilla_gorilla	Gorilla gorilla gorilla	FGFR2	5	false	SEC23IP	downstream	5	+	GeneID:101146450	false	exact	ortholog_supported	high	1541208
pongo_abelii	Pongo abelii	FGFR2	-5	false	BTBD16	upstream	5	+	GeneID:100436678	false	exact	ortholog_supported	high	667051
pongo_abelii	Pongo abelii	FGFR2	-4	false	TACC2	upstream	4	+	GeneID:100436049	false	exact	ortholog_supported	high	420370
pongo_abelii	Pongo abelii	FGFR2	-3	false	NSMCE4A	upstream	3	-	GeneID:100434181	false	exact	ortholog_supported	high	355117
