species	isoform	final_claim_status_after_rescue	pre_interpro_readiness_class	rescue_decision	visual_review_flag	final_plot_status	source_coordinate_table	MSA_full_length_status	protein_length	length_deviation_from_median	length_outlier_flag	length_outlier_status	full_length_gap_fraction
homo_sapiens	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	822	-18	false	within_expected_range	0.2382
homo_sapiens	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	821	-19	false	within_expected_range	0.2382
pan_troglodytes	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	841	1	false	within_expected_range	0.2382
pan_troglodytes	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	840	0	false	within_expected_range	0.2382
gorilla_gorilla_gorilla	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	670	-170	true	within_expected_range	0.2382
gorilla_gorilla_gorilla	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	rescued_with_external_validated_candidate_pair	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	723	-117	true	within_expected_range	0.2382
pongo_abelii	IIIb	supplement_review	supplement_review_only	sequence_support_only_keep_supplement	true	supplement_review	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	838	-2	false	within_expected_range	0.2382
pongo_abelii	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	838	-2	false	within_expected_range	0.2382
macaca_mulatta	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	839	-1	false	within_expected_range	0.2382
macaca_mulatta	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	838	-2	false	within_expected_range	0.2382
callithrix_jacchus	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	841	1	false	within_expected_range	0.2382
callithrix_jacchus	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	840	0	false	within_expected_range	0.2382
