species	assembly_accession	annotation_source	annotation_release_or_date	seqid	fgfr2_gene_id	fgfr2_transcript_id	fgfr2_protein_id	fgfr2_start	fgfr2_end	fgfr2_strand	neighbor_rank	neighbor_side	neighbor_gene_id	neighbor_symbol_raw	neighbor_start	neighbor_end	neighbor_strand	neighbor_biotype	neighbor_protein_id	neighbor_protein_sequence_available	distance_to_fgfr2	source_file	extraction_status	extraction_warning
homo_sapiens	GCF_000001405.40	NCBI RefSeq (datasets genomic.gff)	GRCh38.p14	NC_000010.11	GeneID:2263	ENST00000358487;ENST00001142305	XP_024303659.1	121478330	121598458	-	1	downstream	GeneID:55717	WDR11	120851362	120909524	+	protein_coding	XP_005270020.1	true	568806	external:NCBI/GCF_000001405.40/genomic.gff	neighborhood_extracted	
homo_sapiens	GCF_000001405.40	NCBI RefSeq (datasets genomic.gff)	GRCh38.p14	NC_000010.11	GeneID:2263	ENST00000358487;ENST00001142305	XP_024303659.1	121478330	121598458	-	2	downstream	GeneID:196051	PLPP4	120456954	120592065	+	protein_coding	XP_011537746.1	true	886265	external:NCBI/GCF_000001405.40/genomic.gff	neighborhood_extracted	
homo_sapiens	GCF_000001405.40	NCBI RefSeq (datasets genomic.gff)	GRCh38.p14	NC_000010.11	GeneID:2263	ENST00000358487;ENST00001142305	XP_024303659.1	121478330	121598458	-	3	downstream	GeneID:11196	SEC23IP	119892730	119944657	+	protein_coding	NP_009121.1	true	1533673	external:NCBI/GCF_000001405.40/genomic.gff	neighborhood_extracted	
homo_sapiens	GCF_000001405.40	NCBI RefSeq (datasets genomic.gff)	GRCh38.p14	NC_000010.11	GeneID:2263	ENST00000358487;ENST00001142305	XP_024303659.1	121478330	121598458	-	4	downstream	GeneID:79892	MCMBP	119829440	119873581	-	protein_coding	NP_001243308.1	true	1604749	external:NCBI/GCF_000001405.40/genomic.gff	neighborhood_extracted	
homo_sapiens	GCF_000001405.40	NCBI RefSeq (datasets genomic.gff)	GRCh38.p14	NC_000010.11	GeneID:2263	ENST00000358487;ENST00001142305	XP_024303659.1	121478330	121598458	-	5	downstream	GeneID:22876	INPP5F	119726050	119829147	+	protein_coding	NP_001427930.1	true	1649183	external:NCBI/GCF_000001405.40/genomic.gff	neighborhood_extracted	
homo_sapiens	GCF_000001405.40	NCBI RefSeq (datasets genomic.gff)	GRCh38.p14	NC_000010.11	GeneID:2263	ENST00000358487;ENST00001142305	XP_024303659.1	121478330	121598458	-	6	downstream	GeneID:9531	BAG3	119651380	119677819	+	protein_coding	NP_004272.2	true	1800511	external:NCBI/GCF_000001405.40/genomic.gff	neighborhood_extracted	
homo_sapiens	GCF_000001405.40	NCBI RefSeq (datasets genomic.gff)	GRCh38.p14	NC_000010.11	GeneID:2263	ENST00000358487;ENST00001142305	XP_024303659.1	121478330	121598458	-	7	downstream	GeneID:7073	TIAL1	119573465	119596964	-	protein_coding	NP_003243.1	true	1881366	external:NCBI/GCF_000001405.40/genomic.gff	neighborhood_extracted	
homo_sapiens	GCF_000001405.40	NCBI RefSeq (datasets genomic.gff)	GRCh38.p14	NC_000010.11	GeneID:2263	ENST00000358487;ENST00001142305	XP_024303659.1	121478330	121598458	-	8	downstream	GeneID:6001	RGS10	119499817	119542719	-	protein_coding	NP_001005339.1	true	1935611	external:NCBI/GCF_000001405.40/genomic.gff	neighborhood_extracted	
homo_sapiens	GCF_000001405.40	NCBI RefSeq (datasets genomic.gff)	GRCh38.p14	NC_000010.11	GeneID:2263	ENST00000358487;ENST00001142305	XP_024303659.1	121478330	121598458	-	9	downstream	GeneID:2869	GRK5	119207571	119459745	+	protein_coding	NP_005299.1	true	2018585	external:NCBI/GCF_000001405.40/genomic.gff	neighborhood_extracted	
homo_sapiens	GCF_000001405.40	NCBI RefSeq (datasets genomic.gff)	GRCh38.p14	NC_000010.11	GeneID:2263	ENST00000358487;ENST00001142305	XP_024303659.1	121478330	121598458	-	10	downstream	GeneID:10935	PRDX3	119167720	119178812	-	protein_coding	NP_001289201.1	true	2299518	external:NCBI/GCF_000001405.40/genomic.gff	neighborhood_extracted	
homo_sapiens	GCF_000001405.40	NCBI RefSeq (datasets genomic.gff)	GRCh38.p14	NC_000010.11	GeneID:2263	ENST00000358487;ENST00001142305	XP_024303659.1	121478330	121598458	-	1	upstream	GeneID:11101	ATE1	121740424	121928463	-	protein_coding	NP_001426310.1	true	141966	external:NCBI/GCF_000001405.40/genomic.gff	neighborhood_extracted	
homo_sapiens	GCF_000001405.40	NCBI RefSeq (datasets genomic.gff)	GRCh38.p14	NC_000010.11	GeneID:2263	ENST00000358487;ENST00001142305	XP_024303659.1	121478330	121598458	-	2	upstream	GeneID:54780	NSMCE4A	121957091	121975217	-	protein_coding	NP_001161337.1	true	358633	external:NCBI/GCF_000001405.40/genomic.gff	neighborhood_extracted	
homo_sapiens	GCF_000001405.40	NCBI RefSeq (datasets genomic.gff)	GRCh38.p14	NC_000010.11	GeneID:2263	ENST00000358487;ENST00001142305	XP_024303659.1	121478330	121598458	-	3	upstream	GeneID:10579	TACC2	121989163	122254542	+	protein_coding	NP_001278806.2	true	390705	external:NCBI/GCF_000001405.40/genomic.gff	neighborhood_extracted	
