exon_label	exon_number	protein_start_aa	protein_end_aa	length_aa	genomic_start	genomic_end	transcript_id
E1	1	1	55	55			XP_004050253.1
E2	2	56	91	36			XP_004050253.1
E3	3	91	137	47			XP_004050253.1
E4	4	137	160	24			XP_004050253.1
E5	5	161	201	41			XP_004050253.1
E6	6	202	265	64			XP_004050253.1
E7	7	265	302	38			XP_004050253.1
E8	8	302	343	42			XP_004050253.1
E9	9	343	398	56			XP_004050253.1
E10	10	398	447	50			XP_004050253.1
E11	11	448	511	64			XP_004050253.1
E12	12	511	552	42			XP_004050253.1
E13	13	553	609	57			XP_004050253.1
E14	14	609	635	27			XP_004050253.1
E15	15	635	671	37			XP_004050253.1
