exon_label	exon_number	protein_start_aa	protein_end_aa	length_aa	genomic_start	genomic_end	transcript_id
E1	1	1	53	53			ENSXETT00000071733
E2	2	53	138	86			ENSXETT00000071733
E3	3	138	163	26			ENSXETT00000071733
E4	4	163	219	57			ENSXETT00000071733
E5	5	220	261	42			ENSXETT00000071733
E6	6	261	324	64			ENSXETT00000071733
E7	7	325	373	49			ENSXETT00000071733
E8	8	373	438	66			ENSXETT00000071733
E9	9	439	489	51			ENSXETT00000071733
E10	10	489	530	42			ENSXETT00000071733
E11	11	530	567	38			ENSXETT00000071733
E12	12	567	630	64			ENSXETT00000071733
E13	13	631	671	41			ENSXETT00000071733
E14	14	672	695	24			ENSXETT00000071733
E15	15	695	741	47			ENSXETT00000071733
E16	16	741	776	36			ENSXETT00000071733
E17	17	777	833	57			ENSXETT00000071733
