species_id	gene_symbol	neighbor_symbol	side	order	orientation	classification	status	source
homo_sapiens	BCL2L1	COX4I2	downstream	1	+	same_scaffold_ordered	resolved	ncbi_gff
homo_sapiens	BCL2L1	TPX2	upstream	1	+	same_scaffold_ordered	resolved	ncbi_gff
homo_sapiens	BCL2L1	ID1	downstream	2	+	same_scaffold_ordered	resolved	ncbi_gff
homo_sapiens	BCL2L1	MYLK2	upstream	2	+	same_scaffold_ordered	resolved	ncbi_gff
homo_sapiens	BCL2L1	MCTS2	downstream	3	+	same_scaffold_ordered	resolved	ncbi_gff
homo_sapiens	BCL2L1	FOXS1	upstream	3	-	same_scaffold_ordered	resolved	ncbi_gff
homo_sapiens	BCL2L1	HM13	downstream	4	+	same_scaffold_ordered	resolved	ncbi_gff
homo_sapiens	BCL2L1	DUSP15	upstream	4	-	same_scaffold_ordered	resolved	ncbi_gff
homo_sapiens	BCL2L1	REM1	downstream	5	+	same_scaffold_ordered	resolved	ncbi_gff
homo_sapiens	BCL2L1	TTLL9	upstream	5	+	same_scaffold_ordered	resolved	ncbi_gff
mus_musculus	BCL2L1	Cox4i2	downstream	1	+	same_scaffold_ordered	resolved	ncbi_gff
mus_musculus	BCL2L1	Tpx2	upstream	1	+	same_scaffold_ordered	resolved	ncbi_gff
mus_musculus	BCL2L1	Id1	downstream	2	+	same_scaffold_ordered	resolved	ncbi_gff
mus_musculus	BCL2L1	Mylk2	upstream	2	+	same_scaffold_ordered	resolved	ncbi_gff
mus_musculus	BCL2L1	Mcts2	downstream	3	+	same_scaffold_ordered	resolved	ncbi_gff
mus_musculus	BCL2L1	Foxs1	upstream	3	-	same_scaffold_ordered	resolved	ncbi_gff
mus_musculus	BCL2L1	H13	downstream	4	+	same_scaffold_ordered	resolved	ncbi_gff
mus_musculus	BCL2L1	Dusp15	upstream	4	-	same_scaffold_ordered	resolved	ncbi_gff
mus_musculus	BCL2L1	Rem1	downstream	5	+	same_scaffold_ordered	resolved	ncbi_gff
mus_musculus	BCL2L1	Ttll9	upstream	5	+	same_scaffold_ordered	resolved	ncbi_gff
