species_id	protein_id	transcript_id	isoform_label	protein_length	sequence_path	primary_status	notes
homo_sapiens	NP_001304849.1	NM_001317920.2		233	results/core_gene_analysis/proteins_primary.faa	primary	
homo_sapiens	NP_001309168.1	NM_001322239.2		233	results/core_gene_analysis/proteins_primary.faa	alternative	
homo_sapiens	NP_001304850.1	NM_001317921.2		233	results/core_gene_analysis/proteins_primary.faa	alternative	
homo_sapiens	NP_001309169.1	NM_001322240.2		233	results/core_gene_analysis/proteins_primary.faa	alternative	
homo_sapiens	NP_001304848.1	NM_001317919.2		233	results/core_gene_analysis/proteins_primary.faa	alternative	
homo_sapiens	NP_001182.1	NM_001191.4		170	results/core_gene_analysis/proteins_primary.faa	alternative	
homo_sapiens	NP_612815.1	NM_138578.3		233	results/core_gene_analysis/proteins_primary.faa	alternative	
homo_sapiens	NP_001411260.1	NM_001424331.1		233	results/core_gene_analysis/proteins_primary.faa	alternative	
homo_sapiens	NP_001411261.1	NM_001424332.1		233	results/core_gene_analysis/proteins_primary.faa	alternative	
homo_sapiens	NP_001309171.1	NM_001322242.2		233	results/core_gene_analysis/proteins_primary.faa	alternative	
mus_musculus	NP_001276668.1	NM_001289739.2		235	results/core_gene_analysis/proteins_primary.faa	primary	
mus_musculus	NP_033873.3	NM_009743.6		233	results/core_gene_analysis/proteins_primary.faa	alternative	
mus_musculus	NP_001403826.1	NM_001416897.1		233	results/core_gene_analysis/proteins_primary.faa	alternative	
mus_musculus	NP_001403825.1	NM_001416896.1		233	results/core_gene_analysis/proteins_primary.faa	alternative	
mus_musculus	NP_001403827.1	NM_001416898.1		233	results/core_gene_analysis/proteins_primary.faa	alternative	
mus_musculus	NP_001276646.1	NM_001289717.2		233	results/core_gene_analysis/proteins_primary.faa	alternative	
mus_musculus	NP_001276645.1	NM_001289716.2		233	results/core_gene_analysis/proteins_primary.faa	alternative	
mus_musculus	NP_001341982.1	NM_001355053.2		233	results/core_gene_analysis/proteins_primary.faa	alternative	
mus_musculus	NP_001403828.1	NM_001416899.1		233	results/core_gene_analysis/proteins_primary.faa	alternative	
