exon_label	exon_number	protein_start_aa	protein_end_aa	length_aa	genomic_start	genomic_end	transcript_id
E1	1	1	5	5	121329265	121329278	NM_011202.3
E2	2	5	46	42	121310044	121310166	NM_011202.3
E3	3	46	111	66	121305912	121306106	NM_011202.3
E4	4	111	175	65	121302558	121302750	NM_011202.3
E5	5	176	214	39	121301201	121301317	NM_011202.3
E6	6	215	252	38	121300772	121300885	NM_011202.3
E7	7	253	285	33	121292493	121292589	NM_011202.3
E8	8	285	311	27	121290538	121290617	NM_011202.3
E9	9	312	364	53	121290275	121290433	NM_011202.3
E10	10	365	408	44	121287166	121287297	NM_011202.3
E11	11	409	464	56	121282593	121282759	NM_011202.3
E12	12	464	487	24	121281625	121281692	NM_011202.3
E13	13	487	537	51	121281066	121281217	NM_011202.3
E14	14	538	575	38	121275480	121275592	NM_011202.3
E15	15	575	597	23	121272820	121272889	NM_011202.3
