human_neighbor_rank	human_neighbor_side	human_gene_id	human_gene_symbol	human_protein_id	human_start	human_end	human_strand	human_protein_sequence_available	reference_warning
1	downstream	GeneID:55717	WDR11	XP_005270020.1	120851362	120909524	+	true	
2	downstream	GeneID:196051	PLPP4	XP_011537746.1	120456954	120592065	+	true	
3	downstream	GeneID:11196	SEC23IP	NP_009121.1	119892730	119944657	+	true	
4	downstream	GeneID:79892	MCMBP	NP_001243308.1	119829440	119873581	-	true	
5	downstream	GeneID:22876	INPP5F	NP_001427930.1	119726050	119829147	+	true	
6	downstream	GeneID:9531	BAG3	NP_004272.2	119651380	119677819	+	true	
7	downstream	GeneID:7073	TIAL1	NP_003243.1	119573465	119596964	-	true	
8	downstream	GeneID:6001	RGS10	NP_001005339.1	119499817	119542719	-	true	
9	downstream	GeneID:2869	GRK5	NP_005299.1	119207571	119459745	+	true	
10	downstream	GeneID:10935	PRDX3	NP_001289201.1	119167720	119178812	-	true	
1	upstream	GeneID:11101	ATE1	NP_001426310.1	121740424	121928463	-	true	
2	upstream	GeneID:54780	NSMCE4A	NP_001161337.1	121957091	121975217	-	true	
3	upstream	GeneID:10579	TACC2	NP_001278806.2	121989163	122254542	+	true	
4	upstream	GeneID:118663	BTBD16	NP_001305118.1	122271296	122338159	+	true	
5	upstream	GeneID:59338	PLEKHA1	XP_024303876.1	122374708	122442600	+	true	
6	upstream	GeneID:387715	ARMS2	NP_001093137.1	122454653	122457352	+	true	
7	upstream	GeneID:5654	HTRA1	NP_002766.1	122461553	122514907	+	true	
8	upstream	GeneID:1755	DMBT1	NP_001364459.1	122560754	122643736	+	true	
9	upstream	GeneID:112577516	SPADH	NP_001351390.1	122672850	122679494	+	true	
10	upstream	GeneID:399814	C10orf120	NP_001010912.1	122697709	122699846	-	true	
